ticker,label,category,url,allow_holdings
EWJ,iShares MSCI Japan ETF,Japan,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf,0
EWG,iShares MSCI Germany ETF,Germany,https://www.ishares.com/us/products/239623/ishares-msci-germany-etf,0
EWU,iShares MSCI United Kingdom ETF,United Kingdom,https://www.ishares.com/us/products/239690/ishares-msci-united-kingdom-etf,0
EWQ,iShares MSCI France ETF,France,https://www.ishares.com/us/products/239677/ishares-msci-france-etf,0
MCHI,iShares MSCI China ETF,China,https://www.ishares.com/us/products/239619/ishares-msci-china-etf,0
INDA,iShares MSCI India ETF,India,https://www.ishares.com/us/products/239659/ishares-msci-india-etf,0
EWZ,iShares MSCI Brazil ETF,Brazil,https://www.ishares.com/us/products/239612/ishares-msci-brazil-etf,0
EWA,iShares MSCI Australia ETF,Australia,https://www.ishares.com/us/products/239602/ishares-msci-australia-etf,0
EWC,iShares MSCI Canada ETF,Canada,https://www.ishares.com/us/products/239615/ishares-msci-canada-etf,0
EWH,iShares MSCI Hong Kong ETF,Hong Kong,https://www.ishares.com/us/products/239636/ishares-msci-hong-kong-etf,0
