ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
A,150.1,1.02,42553413632.0,283054377.0,23.815,Healthcare,"Agilent Technologies, Inc.",5.94762,0.10298236941835581,0.15841126276144013,0.055772494486919316,2025-12-01
AA,41.65,0.4,10785852416.0,258964032.0,24.501,Basic Materials,Alcoa Corporation,3.43132,0.01,0.5882592773678094,0.058184607676951994,2025-12-01
AAL,13.96,0.0,9214807040.0,660086495.0,-6.002,Industrials,"American Airlines Group, Inc.",0.74304,0.75,,0.21730748284870383,2025-12-01
AAMI,43.85,0.04,1570352256.0,35709120.0,0.544,Financial Services,Acadian Asset Management Inc.,3.265,0.3588575803981624,0.012370320866403111,0.15016014164740243,2025-12-01
AAOI,26.53,0.0,1811465472.0,68279888.0,8.214,Technology,"Applied Optoelectronics, Inc.",0.73,0.04,0.3096117528603935,0.031238932768913305,2025-12-01
AAON,91.63,0.4,7480128512.0,81634058.0,10.578,Industrials,"AAON, Inc.",1.422,0.3980309423347399,0.11544254408713558,0.06992442210662075,2025-12-01
AAP,52.84,1.0,3171575296.0,60022245.0,36.583,Consumer Cyclical,Advance Auto Parts Inc.,1.81868,0.4821134009281456,0.6923353803405965,0.1443097455537833,2025-12-01
AAPL,283.1,1.04,4201314516992.0,14776353000.0,4.991,Technology,Apple Inc.,8.25269,0.10293128664714168,0.01755373884167131,0.04389174726081954,2025-12-01
AAT,19.44,1.36,1503383552.0,61152542.0,19.119,Real Estate,"American Assets Trust, Inc.",0.41,0.12195121951219523,0.7776960503143777,0.04319441743595871,2025-12-01
AB,41.43,3.47,4579560448.0,90993251.0,12.934,Financial Services,AllianceBernstein Holding L.P.,3.32229,0.13488888688224088,0.25699119419812055,0.13932625818294675,2025-12-01
ABBV,225.11,6.92,397855948800.0,1767384632.0,-1.495,Healthcare,AbbVie Inc.,10.63934,0.3388762836792507,,0.1383860075154132,2025-12-01
ABCB,76.16,0.8,5223574528.0,68315144.0,58.794,Financial Services,Ameris Bancorp,5.96857,0.04834826432462047,0.7689218474449226,0.07122610493070672,2025-12-01
ABEV,2.57,0.18,40944435200.0,15592466967.0,5.902,Consumer Defensive,Ambev S.A.,0.18115,0.061330389180237255,2.2476006712441845,0.09642322379132684,2025-12-01
ABG,232.12,0.0,4563627520.0,19440558.0,199.48,Consumer Cyclical,Asbury Automotive Group Inc,28.2616,0.01,0.8497631528525798,0.0731748654378882,2025-12-01
ABL,6.71,0.2,655921664.0,97752855.0,4.448,Financial Services,"Abacus Global Management, Inc.",0.8375,0.18208955223880596,0.6628912001296545,0.1535668739550028,2025-12-01
ABM,43.08,1.06,2682075904.0,61233895.0,29.662,Industrials,ABM Industries Incorporated,3.64387,0.10619204307508223,0.6772067079761513,0.09980537445517823,2025-12-01
ABNB,118.8,0.0,72733597696.0,425294120.0,14.161,Consumer Cyclical,"Airbnb, Inc.",4.1319,0.1645078535298532,0.08280341168454552,0.06078331364363096,2025-12-01
ABR,8.81,1.2,1866701696.0,195710635.0,12.078,Real Estate,Arbor Realty Trust,0.905,0.01,1.266293942195036,0.10543422288281568,2025-12-01
ABT,128.01,2.36,222796152832.0,1738871947.0,29.303,Healthcare,Abbott Laboratories,5.15449,0.10102842376258359,0.228703072361232,0.06027941734676895,2025-12-01
ACA,105.78,0.2,5187982336.0,49045025.0,52.646,Industrials,"Arcosa, Inc.",4.23333,0.14480326362461704,0.4976933649586736,0.0633798564325595,2025-12-01
ACAD,24.85,0.0,4204168448.0,169181817.0,5.423,Healthcare,ACADIA Pharmaceuticals Inc.,0.82844,0.01,0.218229360916178,0.029343600892192456,2025-12-01
ACCO,3.48,0.3,313673760.0,90136133.0,7.148,Industrials,Acco Brands Corporation,0.84333,0.249012841947992,2.0540228761372963,0.273921522677666,2025-12-01
ACEL,10.33,0.0,870754944.0,83207946.0,3.189,Consumer Cyclical,"Accel Entertainment, Inc.",0.9072,0.01,0.3047357257313488,0.05826388881815159,2025-12-01
ACGL,93.16,0.0,34769203200.0,362625938.0,62.577,Financial Services,Arch Capital Group Ltd.,9.20539,0.01,0.6526477811900503,0.06334720057435872,2025-12-01
ACHC,16.84,0.0,1555116672.0,90444261.0,34.505,Healthcare,"Acadia Healthcare Company, Inc.",2.34916,0.01,2.006781408748861,0.08017683123841801,2025-12-01
ACI,18.1,0.6,10133221376.0,549307530.0,5.577,Consumer Defensive,"Albertsons Companies, Inc.",2.14593,0.079089252678326,0.3023212442654919,0.11387429351976358,2025-12-01
ACIC,11.83,0.0,576893568.0,48765302.0,7.416,Financial Services,American Coastal Insurance Corp,2.0,0.01,0.6268807622275311,0.09092029250370681,2025-12-01
ACIW,46.16,0.0,4763345920.0,103088006.0,14.325,Technology,"ACI Worldwide, Inc.",2.95,0.14983050847457613,0.31002066840234854,0.08597682903501191,2025-12-01
ACLS,81.51,0.0,2560951296.0,30999133.0,32.91,Technology,"Axcelis Technologies, Inc.",4.45714,0.02404007951287146,0.3983603548507312,0.04583248789432315,2025-12-01
ACM,101.52,1.24,13383718912.0,131833332.0,18.914,Industrials,AECOM,5.3558,0.14706673139400261,0.18630812988849482,0.08105041476245123,2025-12-01
ACMR,33.31,0.0,2161034752.0,59854640.0,22.083,Technology,"ACM Research, Inc.",1.8325,0.1350613915416099,0.6116375564514753,0.07475400900025558,2025-12-01
ACN,257.43,6.52,160340951040.0,620138892.0,50.165,Technology,Accenture plc,13.83545,0.07988608971880207,0.19401947734125152,0.06941652566456213,2025-12-01
ACNB,47.92,1.52,501608224.0,10384812.0,39.206,Financial Services,ACNB Corporation,4.955,0.01,0.8116831419255199,0.07513382048498565,2025-12-01
ACNT,15.13,0.0,141737872.0,9364814.0,9.291,Basic Materials,Ascent Industries Co.,0.8,0.04,0.6138690079529344,0.049282965430334946,2025-12-01
ACR,21.07,0.0,156472432.0,7285680.0,61.39,Real Estate,ACRES Commercial Realty Corp.,1.9,0.75,2.858445347101143,0.26970007742909907,2025-12-01
ACRE,5.24,0.6,288338592.0,55026453.0,9.488,Real Estate,Ares Commercial Real Estate Cor,0.34,0.04,1.8106871592963871,0.08107127852857154,2025-12-01
