ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
MMM,152.79,3.12,80474488832,522396178,8.867,Industrials,3M Company,8.65641,0.08641226559278037,0.057559693482440485,0.07166094825256042,2026-04-13
AOS,67.18,1.4,9290316800,112376652,13.411,Industrials,A.O. Smith Corporation,4.00724,0.08427496231820397,0.16222087065663895,0.07355313219187581,2026-04-13
ABT,100.69,2.52,174967291904,1737674869,30.018,Healthcare,Abbott Laboratories,5.47162,0.11637504066437376,0.2981215726094776,0.08022075852331823,2026-04-13
ABBV,206.47,6.92,365196378112,1768762377,-1.85,Healthcare,AbbVie Inc.,14.40835,0.11691831472722392,,0.09711463788568664,2026-04-13
ACN,191.95,6.52,118132768768,613939268,50.762,Technology,Accenture plc,13.87887,0.07557675805018715,0.2638115185755129,0.08554688412663036,2026-04-13
ADBE,240.11,0.0,97877704704,404200000,28.16,Technology,Adobe Inc.,23.48673,0.12276336467443527,0.116290753184518,0.10246793377948099,2026-04-13
AMD,246.83,0.0,402434326528,1630338779,38.65,Technology,"Advanced Micro Devices, Inc.",6.6902,0.6191683357747153,0.15657857606728237,0.1356430056876935,2026-04-13
AES,14.4,0.7,10268230656,713071623,5.705,Utilities,The AES Corporation,2.29842,0.038591728230697564,0.39618058315021554,0.12162697804300368,2026-04-13
AFL,112.14,2.44,58774134784,515183672,56.855,Financial Services,AFLAC Incorporated,7.26848,0.06176119353702547,0.4983615289141403,0.070863792273122,2026-04-13
A,117.5,1.02,33233657856,282602317,24.436,Healthcare,"Agilent Technologies, Inc.",5.96983,0.1028471497513328,0.20779145792900588,0.06662847629708712,2026-04-13
APD,298.65,7.24,66496212992,222656008,69.216,Basic Materials,"Air Products and Chemicals, Inc",13.04882,0.07625517096565071,0.23176294643398868,0.0594261623449544,2026-04-13
ABNB,130.32,0.0,78128668672,423573275,13.62,Consumer Cyclical,"Airbnb, Inc.",4.93365,0.16370232991801204,0.07384060298940608,0.06417630845377109,2026-04-13
AKAM,94.94,0.0,13977356288,147223048,34.395,Technology,"Akamai Technologies, Inc.",6.85975,0.10571084952075505,0.36228143803613116,0.08067771511300725,2026-04-13
ALB,185.43,1.62,21859764224,117886887,61.999,Basic Materials,Albemarle Corporation,7.71045,0.12100590756700313,0.33435260473159806,0.062470359294141686,2026-04-13
ARE,43.75,4.08,7581891072,173127082,90.713,Real Estate,Alexandria Real Estate Equities,0.18253,0.01,2.0713667395544983,0.010000000000000002,2026-04-13
ALGN,180.67,0.0,12939091968,71617275,56.739,Healthcare,"Align Technology, Inc.",11.26997,0.08908009515553261,0.31404773814689063,0.06908319353192927,2026-04-13
ALLE,147.21,2.08,12681478144,86145484,24.023,Industrials,Allegion plc,8.80202,0.07847516820002687,0.16318862348953633,0.06938822293870767,2026-04-13
LNT,72.51,2.06,18727628800,258276483,28.522,Utilities,Alliant Energy Corporation,3.4218,0.07413057455140559,0.39335261964002616,0.06351391994276556,2026-04-13
ALL,215.09,4.32,55823564800,259535842,110.035,Financial Services,Allstate Corporation (The),26.02521,0.01,0.5115765443641105,0.07904844838625669,2026-04-13
GOOGL,321.31,0.84,3886887206912,5822000000,34.353,Communication Services,Alphabet Inc.,11.43734,0.16521061715398844,0.051455870817227994,0.06298279828301367,2026-04-13
GOOG,319.21,0.84,3861483356160,5438000000,34.353,Communication Services,Alphabet Inc.,11.55917,0.16208170655851584,0.048378199973849505,0.06307219502787506,2026-04-13
MO,66.81,4.24,111699509248,1671313564,-2.092,Consumer Defensive,"Altria Group, Inc.",5.62182,0.03427004066298811,,0.09007793134123487,2026-04-13
AMZN,239.89,0.0,2579837485056,10754251799,38.306,Consumer Cyclical,"Amazon.com, Inc.",7.76633,0.2198297007724368,0.1596815193975491,0.06845804461502214,2026-04-13
AMCR,40.96,2.6,18925391872,462045690,25.184,Consumer Cyclical,Amcor plc,3.96877,0.10677363515648408,0.6148437366930101,0.12833214077842892,2026-04-13
AEE,111.78,3.0,30924296192,276653219,48.484,Utilities,Ameren Corporation,5.37667,0.08617415612265589,0.43374486477289526,0.06706110481310057,2026-04-13
AEP,134.46,3.8,73087549440,543563480,57.571,Utilities,American Electric Power Company,6.36349,0.07860309358543827,0.4281644869317977,0.06483742499756195,2026-04-13
AXP,323.82,3.8,222339350528,685783466,48.796,Financial Services,American Express Company,17.56862,0.1449880525618974,0.15050637652520182,0.0816749625246247,2026-04-13
