ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
MMM,143.34,3.12,74761453568,521567261,6.256,Industrials,3M Company,8.69088,0.0876274899664935,0.043644480264795484,0.07567130968178731,2026-05-11
AXP,312.32,3.8,213104214016,682326443,49.846,Financial Services,American Express Company,17.64942,0.13955076144145262,0.1595991146154642,0.08248619766459686,2026-05-11
AMGN,329.59,10.08,177978605568,540000000,17.028,Healthcare,Amgen Inc.,22.42294,0.047432227888046796,0.05166418722438431,0.07159893860967032,2026-05-11
AMZN,268.99,0.0,2893554909184,10757109436,41.093,Consumer Cyclical,"Amazon.com, Inc.",8.60388,0.1471115357257422,0.15276775866617529,0.054131682348414895,2026-05-11
AAPL,292.68,1.08,4298695245824,14687356000,7.26,Technology,Apple Inc.,8.72795,0.10071208015627975,0.024805248677162384,0.04421816124723234,2026-05-11
BA,238.21,0.0,187781496832,788302331,7.591,Industrials,Boeing Company (The),4.28876,0.04,0.03186684042664027,0.02304000596599054,2026-05-11
CAT,926.79,6.04,426872012800,460591983,40.511,Industrials,"Caterpillar, Inc.",24.26972,0.2125352084820098,0.04371109199903255,0.06133750051573032,2026-05-11
CVX,184.74,7.12,367927754752,1991597732,92.906,Energy,Chevron Corporation,13.63832,0.01,0.5029013889259634,0.06238367119544251,2026-05-11
CSCO,98.72,1.68,389933465600,3949893042,12.085,Technology,"Cisco Systems, Inc.",4.15994,0.08456371966903387,0.12241692910127588,0.057487183421431054,2026-05-11
KO,78.66,2.12,338433277952,4302482418,7.816,Consumer Defensive,Coca-Cola Company (The),3.26469,0.06661275649449117,0.09936434969571015,0.055881745466182964,2026-05-11
DIS,104.72,1.5,181847490560,1736511424,61.079,Communication Services,Walt Disney Company (The),6.79824,0.09869024924098002,0.5832600765612457,0.07908384899023202,2026-05-11
GS,944.86,18.0,278740697088,295007421,356.271,Financial Services,"Goldman Sachs Group, Inc. (The)",59.36404,0.10165834400758422,0.37706223018416835,0.08032934064060637,2026-05-11
HD,311.4,9.32,310163013632,996027658,12.864,Consumer Cyclical,"Home Depot, Inc. (The)",15.05466,0.0833097525948776,0.04131021182207805,0.06774521171369305,2026-05-11
HON,219.11,4.76,138839736320,633653119,21.447,Industrials,Honeywell International Inc.,10.5273,0.09012567324955101,0.09788234120432676,0.06602301295362778,2026-05-11
IBM,223.55,6.76,210111365120,939885280,35.083,Technology,International Business Machines,12.42947,0.08240657083528102,0.1569358004951693,0.07369876256284436,2026-05-11
JNJ,221.43,5.36,533030010880,2407216971,33.735,Healthcare,Johnson & Johnson,11.57529,0.0980666575092286,0.15235064228863293,0.07290782334206183,2026-05-11
JPM,300.0,6.0,803853369344,2679511418,128.379,Financial Services,JP Morgan Chase & Co.,22.32918,0.05400108736639675,0.42793002984131806,0.0740483939959955,2026-05-11
MCD,274.6,7.44,195104915456,710505859,-2.519,Consumer Cyclical,McDonald's Corporation,12.97947,0.09577355623919925,,0.06908718691024907,2026-05-11
MRK,111.28,3.4,274842075136,2469824415,18.576,Healthcare,"Merck & Company, Inc.",3.04001,0.75,0.16693025734992537,0.20916468807709165,2026-05-11
MSFT,412.66,3.64,3065418088448,7428434704,55.777,Technology,Microsoft Corporation,16.85079,0.14858353821986992,0.1351645323835038,0.0679869870282116,2026-05-11
NKE,42.39,1.64,62774800384,1199499281,9.52,Consumer Cyclical,"Nike, Inc.",1.49765,0.23798617834607572,0.18190791663641076,0.09849999164655457,2026-05-11
NVDA,219.44,0.04,5333489549312,24300000000,6.472,Technology,NVIDIA Corporation,8.34076,0.3531045132577848,0.029487186305687463,0.10367703134708861,2026-05-11
PG,143.36,4.26,333827964928,2328598978,23.081,Consumer Defensive,Procter & Gamble Company (The),6.90017,0.027544248909809443,0.16100027157044802,0.0506377081643503,2026-05-11
CRM,177.49,1.76,145196367872,818053744,63.662,Technology,"Salesforce, Inc.",13.20252,0.13158397033293645,0.3586793403567709,0.09368242811902971,2026-05-11
SHW,312.7,3.2,77122961408,246635621,18.071,Basic Materials,Sherwin-Williams Company (The),11.75029,0.12987424140170156,0.05779021222373184,0.060912876122677706,2026-05-11
TRV,297.13,5.0,63183118336,212644693,150.452,Financial Services,"The Travelers Companies, Inc.",28.13607,0.013534583898888508,0.506350749912376,0.06815860747801691,2026-05-11
UNH,384.44,8.84,349127016448,908144404,103.874,Healthcare,UnitedHealth Group Incorporated,18.36484,0.13007627618862982,0.2701956233030341,0.07697845309073459,2026-05-11
VZ,47.23,2.83,197232476160,4176000000,24.77,Communication Services,Verizon Communications Inc.,4.96115,0.06301764711810764,0.524454805891537,0.11296906884766711,2026-05-11
V,323.86,2.68,615898677248,1659709932,20.034,Financial Services,Visa Inc.,13.09198,0.1330356447229526,0.05398717354981294,0.06382791321012399,2026-05-11
WMT,127.59,0.99,1017018646528,7970990515,12.501,Consumer Defensive,Walmart Inc.,2.91608,0.12710213711557983,0.0979779011606073,0.041825188425332796,2026-05-11
