ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
ADBE,246.15,0.0,99493830656,404200000,28.16,Technology,Adobe Inc.,23.54855,0.12050678279554372,0.1144017867736364,0.10045239758383334,2026-05-11
AMD,458.79,0.0,748103270400,1630600639,39.547,Technology,"Advanced Micro Devices, Inc.",7.3335,0.75,0.0861984782342331,0.12446282709382428,2026-05-11
ABNB,137.05,0.0,81479688192,418897799,12.834,Consumer Cyclical,"Airbnb, Inc.",5.01705,0.19182786697361998,0.06598128284067059,0.06841638306095932,2026-05-11
ALNY,284.84,0.0,38029721600,133512573,8.059,Healthcare,"Alnylam Pharmaceuticals, Inc.",9.33418,0.48638230674788785,0.028293076586892497,0.12190500011108854,2026-05-11
GOOGL,388.64,0.88,4708546117632,5823665113,34.353,Communication Services,Alphabet Inc.,14.22259,0.014471344530075037,0.042488777348431796,0.03282872461110292,2026-05-11
GOOG,386.77,0.88,4685890060288,5456000000,34.353,Communication Services,Alphabet Inc.,14.22979,0.01650059487877198,0.03999879757923308,0.03344232723887708,2026-05-11
AMZN,268.99,0.0,2893554909184,10757109436,41.093,Consumer Cyclical,"Amazon.com, Inc.",8.60388,0.1471115357257422,0.15276775866617529,0.054131682348414895,2026-05-11
AEP,130.7,3.8,71114514432,544104955,58.473,Utilities,American Electric Power Company,6.37627,0.07991035511356959,0.4473833406278414,0.066800720660538,2026-05-11
AMGN,329.59,10.08,177978605568,540000000,17.028,Healthcare,Amgen Inc.,22.42294,0.047432227888046796,0.05166418722438431,0.07159893860967032,2026-05-11
ADI,422.73,4.07,206378549248,488204157,69.207,Technology,"Analog Devices, Inc.",11.46783,0.1467165104470507,0.16371442292143365,0.05172131218892184,2026-05-11
AAPL,292.68,1.08,4298695245824,14687356000,7.26,Technology,Apple Inc.,8.72795,0.10071208015627975,0.024805248677162384,0.04421816124723234,2026-05-11
AMAT,443.62,2.12,352061194240,793609867,27.365,Technology,"Applied Materials, Inc.",11.11229,0.29534326407968114,0.06168567955163623,0.07382386018818907,2026-05-11
APP,478.42,0.0,160720191488,305732000,7.028,Communication Services,Applovin Corporation,16.16607,0.3037596645319487,0.01336910114470856,0.08696065585816506,2026-05-11
ARM,212.65,0.0,226259288064,1063998569,7.343,Technology,Arm Holdings plc,2.16063,0.39783303943757153,0.03453092051609842,0.04999769827858047,2026-05-11
ASML,1565.81,8.79,603490877440,385417665,1.1466724,Technology,ASML Holding N.V. - New York Re,31.40828,0.3022053420308275,0.0007323189387761459,0.06586869415908936,2026-05-11
ADSK,236.07,0.0,49845059584,211145251,14.363,Technology,"Autodesk, Inc.",12.42241,0.13535135291783162,0.06084212287884342,0.07271209527171296,2026-05-11
ADP,211.67,6.8,84611751936,399734282,15.851,Technology,"Automatic Data Processing, Inc.",11.06751,0.09805096177911743,0.07488543800363179,0.07641942083634184,2026-05-11
AXON,394.36,0.0,31786235904,80602077,43.863,Industrials,"Axon Enterprise, Inc.",7.68883,0.375158509161992,0.11122578068471758,0.07298697516386948,2026-05-11
BKR,64.6,0.92,64087633920,992068697,19.474,Energy,Baker Hughes Company,2.29827,0.2128949166111902,0.3014551267330981,0.07890462446322502,2026-05-11
BKNG,157.8,1.61,122275823616,774878436,-11.185,Consumer Cyclical,Booking Holdings Inc. Common St,10.4546,0.17690299007135635,,0.0999845615491321,2026-05-11
AVGO,428.43,2.6,2028473942016,4734668184,16.865,Technology,Broadcom Inc.,11.42564,0.5857273640688838,0.039364655995433116,0.1357038908921152,2026-05-11
CDNS,364.2,0.0,100452188160,275816000,24.118,Technology,"Cadence Design Systems, Inc.",4.49478,0.75,0.06622185549014127,0.10869703437115844,2026-05-11
CHTR,147.79,0.0,20864749568,141178369,133.228,Communication Services,"Charter Communications, Inc.",41.90553,0.08778173190984573,0.9014683681599988,0.16707890316134566,2026-05-11
CTAS,164.67,1.8,65882341376,400087119,11.971,Industrials,Cintas Corporation,4.88745,0.10991621397661366,0.07269691394564987,0.04821116767759037,2026-05-11
CSCO,98.72,1.68,389933465600,3949893042,12.085,Technology,"Cisco Systems, Inc.",4.15994,0.08456371966903387,0.12241692910127588,0.057487183421431054,2026-05-11
CCEP,93.45,2.41,41377513472,442777049,20.514437,Consumer Defensive,Coca-Cola Europacific Partners ,4.46453,0.09395389884265537,0.21952314468831147,0.06849033222235634,2026-05-11
CTSH,49.25,1.32,23295250432,473000000,31.789,Technology,Cognizant Technology Solutions ,5.68697,0.08320775386541523,0.6454619169642074,0.11094990145993366,2026-05-11
CMCSA,25.03,1.32,89412886528,3562784182,24.679,Communication Services,Comcast Corporation,3.53477,0.07850015701163016,0.9833700067388343,0.1342643120766963,2026-05-11
CEG,299.69,1.71,108576088064,362294672,46.476,Utilities,Constellation Energy Corporatio,11.61563,0.16966879971211202,0.15508025271592824,0.06895039390556212,2026-05-11
CPRT,33.27,0.0,32049270784,963308388,10.162,Industrials,"Copart, Inc.",1.57435,0.06706259726236219,0.3054403298231374,0.052089369229600835,2026-05-11
CSGP,32.92,0.0,13443068928,408355715,19.437,Real Estate,"CoStar Group, Inc.",1.36213,0.3052572074618427,0.5904314018596544,0.09826714962910443,2026-05-11
COST,999.47,5.88,443417395200,443652540,37.278,Consumer Defensive,Costco Wholesale Corporation,20.51843,0.09993016034852586,0.037297768570086084,0.03468445707763623,2026-05-11
