ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
A,111.46,1.02,31498852352.0,282602317.0,24.436,Healthcare,"Agilent Technologies, Inc.",5.96965,0.10260065497977267,0.21923561344524758,0.06907779403037384,2026-05-11
AA,65.34,0.4,17242562560.0,263889875.0,25.867,Basic Materials,Alcoa Corporation,7.21475,0.01,0.39588311614773114,0.0701973693334298,2026-05-11
AAL,12.79,0.0,8459116032.0,661385137.0,-6.164,Industrials,"American Airlines Group, Inc.",2.19216,0.04,,0.10750318748493559,2026-05-11
AAMI,72.38,0.4,2578825984.0,35628988.0,2.175,Financial Services,Acadian Asset Management Inc.,4.675,0.22352941176470598,0.03004973944763851,0.10833519110078038,2026-05-11
AAOI,184.9,0.0,14836887552.0,80242767.0,9.786,Technology,"Applied Optoelectronics, Inc.",0.88833,0.75,0.05292590613158271,0.062354700020091136,2026-05-11
AAON,141.7,0.4,11606889472.0,81911710.0,11.413,Industrials,"AAON, Inc.",2.25667,0.41004223036598164,0.08054340040759544,0.07170497512590412,2026-05-11
AAP,51.83,1.0,3126862848.0,60329208.0,36.633,Consumer Cyclical,Advance Auto Parts Inc.,2.7725,0.4159495040577097,0.7067914341294448,0.15692493798511997,2026-05-11
AAPL,292.68,1.08,4298695245824.0,14687356000.0,7.26,Technology,Apple Inc.,8.72795,0.10071208015627975,0.024805248677162384,0.04421816124723234,2026-05-11
AAT,20.98,1.36,1627470464.0,61390936.0,18.514,Real Estate,"American Assets Trust, Inc.",0.46,0.01,0.6983793649382013,0.024683845575430803,2026-05-11
AB,38.42,3.41,3584733952.0,93303853.0,13.419,Financial Services,AllianceBernstein Holding L.P.,3.479,0.10158953722333997,0.3492712207299115,0.13786997234839105,2026-05-11
ABBV,202.78,6.92,358669615104.0,1768762377.0,-3.767,Healthcare,AbbVie Inc.,14.24622,0.1377516281511868,,0.10445707866748827,2026-05-11
ABCB,85.05,0.8,5725591552.0,67320298.0,60.842,Financial Services,Ameris Bancorp,6.74571,0.06183930231213619,0.7153674050474776,0.0758379388379099,2026-05-11
ABEO,5.86,0.0,333331584.0,56882523.0,2.893,Healthcare,Abeona Therapeutics Inc.,0.24,0.04,0.4936860079811698,0.040727380420282455,2026-05-11
ABEV,3.28,0.28,51157155840.0,15596694040.0,1.1353345,Consumer Defensive,Ambev S.A.,0.20424,0.0708480219349783,0.34613857120866043,0.09017022383954376,2026-05-11
ABG,197.49,0.0,3677026816.0,18618800.0,211.205,Consumer Cyclical,Asbury Automotive Group Inc,25.84901,0.14094156797494373,1.06944655309253,0.12720007542049283,2026-05-11
ABM,39.39,1.16,2305607680.0,58532820.0,29.426,Industrials,ABM Industries Incorporated,3.95851,0.09754175182076086,0.7470424288836511,0.10906410876224959,2026-05-11
ABNB,137.05,0.0,81479688192.0,418897799.0,12.834,Consumer Cyclical,"Airbnb, Inc.",5.01705,0.19182786697361998,0.06598128284067059,0.06841638306095932,2026-05-11
ABR,6.66,1.07,1388816768.0,192361203.0,11.625,Real Estate,Arbor Realty Trust,0.618,0.4401294498381878,1.6101468792714058,0.2814472697923781,2026-05-11
ABT,82.56,2.52,143804088320.0,1741813154.0,29.889,Healthcare,Abbott Laboratories,5.48288,0.10597897455351935,0.36202763056400145,0.08959387420838305,2026-05-11
ABTC,1.19,0.0,2136333440.0,330788302.0,0.656,Financial Services,American Bitcoin Corp.,0.01,,0.10157455856329245,0.010000000000000002,2026-05-11
ABX,9.23,0.2,887358784.0,96138555.0,4.351,Financial Services,"Abacus Global Management, Inc.",1.004,0.12218127490039854,0.47139765824981117,0.11883177427321712,2026-05-11
ACA,129.6,0.2,6362889216.0,49096364.0,53.698,Industrials,"Arcosa, Inc.",4.341,0.1673807878369038,0.4143363909971303,0.06044818200362545,2026-05-11
ACAD,21.8,0.0,3732941824.0,171235870.0,7.207,Healthcare,ACADIA Pharmaceuticals Inc.,0.40627,0.75,0.3305963428510157,0.13447869319385253,2026-05-11
ACCO,3.92,0.3,,,7.369,Industrials,Acco Brands Corporation,0.87,0.09962068965517235,,0.18996705207766917,2026-05-11
ACCS,7.872,0.0,30560230.0,3882143.0,7.881,Communication Services,ACCESS Newswire Inc.,0.715,0.5664335664335667,1.0011432827239848,0.22139720289075948,2026-05-11
ACEL,11.55,0.0,940087936.0,81392900.0,3.338,Consumer Cyclical,"Accel Entertainment, Inc.",0.86467,0.1275978118819896,0.28900434714226564,0.0885645712279216,2026-05-11
ACGL,93.83,0.0,32783226880.0,349389588.0,65.371,Financial Services,Arch Capital Group Ltd.,9.28316,0.07073992045811983,0.696696113556836,0.08672456281877572,2026-05-11
ACH,3.89,0.0,297343520.0,76437917.0,-6.035,Healthcare,"Accendra Health, Inc.",0.66905,0.5543531873552052,,0.28483920376217287,2026-05-11
ACHC,25.01,0.0,2300095232.0,91967027.0,21.576,Healthcare,"Acadia Healthcare Company, Inc.",1.50337,0.16038633204068198,0.8626949645152779,0.08540755272288003,2026-05-11
ACI,15.92,0.68,7872994816.0,494534842.0,3.676,Consumer Defensive,"Albertsons Companies, Inc.",2.28786,0.07597929943265758,0.23090451876045032,0.12936903533617683,2026-05-11
ACIC,10.17,0.0,491646400.0,48342811.0,6.944,Financial Services,American Coastal Insurance Corp,1.41,0.08156028368794321,0.6827925101943185,0.11051619584717293,2026-05-11
ACIU,2.83,0.0,288019200.0,101773573.0,0.56242496,Healthcare,AC Immune SA,0.14930476,0.04,0.19873674297957244,0.04920306065961767,2026-05-11
ACIW,42.36,0.0,4306383872.0,101661570.0,14.79,Technology,"ACI Worldwide, Inc.",3.52,0.08522727272727271,0.34915016055029474,0.08200045582754723,2026-05-11
ACLS,165.08,0.0,5073403904.0,30733000.0,33.991,Technology,"Axcelis Technologies, Inc.",3.83,0.21044386422976502,0.2059062165691904,0.05322187922999577,2026-05-11
ACM,79.5,1.14,10278446080.0,129288624.0,17.264,Industrials,AECOM,5.9411,0.11363720523135457,0.21715722273225177,0.09067073256985247,2026-05-11
ACMR,64.67,0.0,4282115584.0,61223064.0,23.885,Technology,"ACM Research, Inc.",1.67667,0.34393172180572207,0.3414930902621801,0.08116587147713095,2026-05-11
ACN,172.35,6.52,106070245376.0,613939268.0,50.762,Technology,Accenture plc,13.87767,0.07414357021027307,0.29381269942142985,0.09225019868981266,2026-05-11
ACNB,52.28,1.68,533885632.0,10212044.0,41.156,Financial Services,ACNB Corporation,5.3925,0.012053778395920256,0.7872226890421354,0.0763854506237257,2026-05-11
ACNT,13.53,0.0,122287048.0,9038215.0,8.862,Basic Materials,Ascent Industries Co.,0.8,0.04,0.6549889186138502,0.05343842027025725,2026-05-11
ACR,21.95,0.0,159920704.0,7131101.0,64.131,Real Estate,ACRES Commercial Realty Corp.,0.7,0.15714285714285725,2.8596962544074342,0.05590704881416808,2026-05-11
ACRE,4.86,0.6,269638208.0,55481113.0,9.273,Real Estate,Ares Commercial Real Estate Cor,0.42,0.3452380952380951,1.908024699707988,0.23257590859992383,2026-05-11
ACT,42.86,0.87,5983288320.0,139600745.0,38.088,Financial Services,"Enact Holdings, Inc.",4.7999,0.036700764599262525,0.8886606981292856,0.08822436223161534,2026-05-11
ACU,41.6,0.64,158510928.0,3810359.0,30.896,Consumer Defensive,Acme,1.72,0.05232558139534893,0.7426923376790779,0.04818607599376634,2026-05-11
ACVA,6.09,0.0,1063222016.0,174584894.0,2.475,Consumer Cyclical,ACV Auctions Inc.,0.20494,0.75,0.40640393647567213,0.17788649816045232,2026-05-11
AD,52.52,0.0,4539983872.0,53437077.0,29.725,Communication Services,"Array Digital Infrastructure, I",7.21,0.01,0.3498728538710104,0.07932667257494985,2026-05-11
ADAM,8.66,0.89,778197120.0,89861108.0,10.193,Real Estate,"Adamas Trust, Inc.",1.06,0.01,1.1770208990801714,0.11463909731863497,2026-05-11
ADBE,246.15,0.0,99493830656.0,404200000.0,28.16,Technology,Adobe Inc.,23.54855,0.12050678279554372,0.1144017867736364,0.10045239758383334,2026-05-11
ADC,76.39,3.2,9201212416.0,120102859.0,50.567,Real Estate,Agree Realty Corporation,1.94,0.03052577319587635,0.660047936779748,0.0326020414524676,2026-05-11
ADEA,31.84,0.2,3511752960.0,110293749.0,4.232,Technology,Adeia Inc.,1.42025,0.09012497799683139,0.13291457317316535,0.05726911576772975,2026-05-11
ADI,422.73,4.07,206378549248.0,488204157.0,69.207,Technology,"Analog Devices, Inc.",11.46783,0.1467165104470507,0.16371442292143365,0.05172131218892184,2026-05-11
ADM,79.84,2.08,38479405056.0,481956527.0,47.311,Consumer Defensive,Archer-Daniels-Midland Company,4.68913,0.10700279156261394,0.5925727078085778,0.08171778946583022,2026-05-11
ADMA,7.88,0.0,1826369024.0,231772715.0,2.007,Healthcare,ADMA Biologics Inc,0.83,0.27309638554216864,0.2546954273163363,0.1521357110199032,2026-05-11
ADNT,22.12,0.0,1734504064.0,78413387.0,21.846,Consumer Cyclical,Adient plc,2.12907,0.5369621477922286,0.9876130520279945,0.21889659160522956,2026-05-11
ADP,211.67,6.8,84611751936.0,399734282.0,15.851,Technology,"Automatic Data Processing, Inc.",11.06751,0.09805096177911743,0.07488543800363179,0.07641942083634184,2026-05-11
ADSE,10.87,0.0,653531968.0,60122536.0,-0.3090098,Industrials,ADS-TEC ENERGY PLC,0.82425,0.04,,0.06364548779597362,2026-05-11
ADSK,236.07,0.0,49845059584.0,211145251.0,14.363,Technology,"Autodesk, Inc.",12.42241,0.13535135291783162,0.06084212287884342,0.07271209527171296,2026-05-11
ADT,6.79,0.22,5362024448.0,734949788.0,4.767,Industrials,ADT Inc.,0.91384,0.05974787709008145,0.6533923284707859,0.11351067680597116,2026-05-11
ADTN,15.68,0.0,1270050176.0,80998100.0,1.707,Technology,"ADTRAN Holdings, Inc.",0.57333,0.33554846249106096,0.10886479866130896,0.09767431912160307,2026-05-11
ADUS,97.79,0.0,1825228416.0,18664776.0,61.046,Healthcare,Addus HomeCare Corporation,6.99799,0.0681681454246148,0.6242560688338528,0.06963984625157604,2026-05-11
ADV,35.84,0.0,476502848.0,13295280.0,36.544,Communication Services,Advantage Solutions Inc.,4.71,0.75,1.0196428297528244,0.3124246449727305,2026-05-11
AEBI,12.26,0.1,949353408.0,77435027.0,10.583,Industrials,Aebi Schmidt Holding AG,0.79,0.6772151898734176,0.863213724030788,0.22791596711805384,2026-05-11
AEE,109.99,3.0,30429085696.0,276653219.0,48.992,Utilities,Ameren Corporation,5.372,0.08711839166046165,0.4454223383724503,0.06815402239007418,2026-05-11
AEG,8.42,0.47,12735464448.0,1504328323.0,5.8294387,Financial Services,Aegon Ltd. New York Registry Sh,0.845,0.09585798816568047,0.6885802853447925,0.12174512945515048,2026-05-11
AEHR,104.56,0.0,3288752128.0,31453254.0,4.484,Technology,Aehr Test Systems,0.15,0.04,0.042884469685396734,0.010000000000000002,2026-05-11
AEIS,354.97,0.4,13499742208.0,38030657.0,36.053,Industrials,"Advanced Energy Industries, Inc",9.3235,0.26103716415509215,0.10156633035618037,0.06749502415231359,2026-05-11
AEM,196.84,1.8,98427125760.0,500036237.0,52.546,Basic Materials,Agnico Eagle Mines Limited,13.68954,0.035061806313433586,0.2669477941829722,0.06104607854045388,2026-05-11
AENT,6.85,0.0,349057952.0,50957370.0,2.307,Communication Services,Alliance Entertainment Holding ,0.59,0.01,0.3367883525254855,0.05745716748971204,2026-05-11
AEO,15.52,0.5,2586790656.0,166674664.0,10.021,Consumer Cyclical,"American Eagle Outfitters, Inc.",1.73,0.1001907514450866,0.6456830219600114,0.11765203733659801,2026-05-11
AEP,130.7,3.8,71114514432.0,544104955.0,58.473,Utilities,American Electric Power Company,6.37627,0.07991035511356959,0.4473833406278414,0.066800720660538,2026-05-11
AER,146.22,1.6,23056715776.0,157685101.0,116.673,Industrials,AerCap Holdings N.V.,17.0539,0.01,0.7979277694060516,0.07430333393532307,2026-05-11
AERO,15.69,0.0,2289224448.0,145903409.0,-3.982,Industrials,"Grupo Aeromexico, S.A.B. de C.V",1.29595,0.41828002623558014,,0.17325411720116157,2026-05-11
AES,14.35,0.7,10233812992.0,713157713.0,6.198,Utilities,The AES Corporation,2.28689,0.04455833030884748,0.43191638430654655,0.12460037039292071,2026-05-11
AESI,18.84,1.0,2353221120.0,124905584.0,9.358,Energy,Atlas Energy Solutions Inc.,0.36667,0.04,0.4967091469381339,0.027704296515454543,2026-05-11
AEYE,7.69,0.0,95644736.0,12437547.0,0.388,Technology,"AudioEye, Inc.",0.885,0.2768361581920902,0.050455136767798704,0.16017118877150416,2026-05-11
AFCG,3.23,0.58,75998168.0,23528844.0,7.462,Financial Services,Advanced Flower Capital Inc.,0.69,0.20772463768115945,2.31021666111741,0.3163527167818694,2026-05-11
AFG,131.97,3.52,10964870144.0,83086083.0,57.778,Financial Services,"American Financial Group, Inc.",11.44333,0.05576174068212669,0.43781163301791315,0.08469048668545087,2026-05-11
AFL,115.48,2.44,58777579520.0,508984904.0,58.686,Financial Services,AFLAC Incorporated,7.068,0.08061969439728345,0.5081918704389684,0.07377522024447583,2026-05-11
AFRM,66.45,0.0,22254008320.0,294357801.0,11.299,Financial Services,"Affirm Holdings, Inc.",3.12888,0.2387979085167855,0.1494539206453842,0.09084379261417971,2026-05-11
AFYA,14.01,0.66,1259046272.0,51293547.0,10.824,Consumer Defensive,Afya Limited,9.63,0.09268535825545166,0.4409697761513248,0.2848876848346441,2026-05-11
