ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
A,113.26,1.02,32007536640,282602317,24.436,Healthcare,"Agilent Technologies, Inc.",5.96965,0.10260065497977267,0.2157513805539769,0.06830738103467315,2026-05-14
AA,66.02,0.4,17422008320,263889875,25.867,Basic Materials,Alcoa Corporation,7.21475,0.01,0.39180554108614957,0.06968600860449381,2026-05-14
AAL,12.7,0.0,8399591424,661385137,-6.164,Industrials,"American Airlines Group, Inc.",2.19299,0.04,,0.10798458356721052,2026-05-14
AAMI,71.22,0.4,2537496576,35628988,2.175,Financial Services,Acadian Asset Management Inc.,4.675,0.22352941176470598,0.030539173779756065,0.10936277558763174,2026-05-14
AAOI,203.57,0.0,16335021056,80242767,14.005,Technology,"Applied Optoelectronics, Inc.",0.88833,0.75,0.06879696989568423,0.058564223073855115,2026-05-14
AAON,140.0,0.4,11467639808,81911710,11.413,Industrials,"AAON, Inc.",2.26,0.45663716814159305,0.08152142567102855,0.07987937854847496,2026-05-14
AAP,49.71,1.0,2998964992,60329208,36.633,Consumer Cyclical,Advance Auto Parts Inc.,2.77076,0.4162107147497436,0.7369342031532458,0.16064169380014193,2026-05-14
AAPL,298.21,1.08,4379916369920,14687356000,7.26,Technology,Apple Inc.,8.72795,0.10071208015627975,0.024345260400930355,0.04359310048192799,2026-05-14
AAT,20.85,1.36,1617386112,61390936,18.514,Real Estate,"American Assets Trust, Inc.",0.46,0.01,0.7027337385125265,0.02481629673604202,2026-05-14
AB,38.12,3.41,3560555008,93403853,13.419,Financial Services,AllianceBernstein Holding L.P.,3.479,0.10158953722333997,0.3520199240261253,0.13876723819941017,2026-05-14
ABBV,210.77,6.92,372386922496,1766792821,-3.767,Healthcare,AbbVie Inc.,14.24684,0.13793163957761845,,0.10169985385183378,2026-05-14
ABCB,83.67,0.8,5630363648,67292503,60.842,Financial Services,Ameris Bancorp,6.74571,0.06183930231213619,0.7271662584316969,0.0766916536870137,2026-05-14
ABEO,5.6,0.0,319172800,56995144,2.549,Healthcare,Abeona Therapeutics Inc.,0.1,0.04,0.45517858055573657,0.022899167158679304,2026-05-14
ABEV,3.15,0.28,49053986816,15572694040,1.1771303,Consumer Defensive,Ambev S.A.,0.19482,0.12467919104814706,0.3736921542355521,0.10937675072736741,2026-05-14
ABG,193.09,0.0,3595104000,18618800,211.205,Consumer Cyclical,Asbury Automotive Group Inc,25.84901,0.14094156797494373,1.0938163830587377,0.12878281519983947,2026-05-14
ABM,39.63,1.16,2319655680,58532820,29.426,Industrials,ABM Industries Incorporated,3.95851,0.09754175182076086,0.7425182867312445,0.10861979950635103,2026-05-14
ABNB,133.67,0.0,79333801984,417930233,12.834,Consumer Cyclical,"Airbnb, Inc.",5.08578,0.18524002217948876,0.06760947384576062,0.06880127827629268,2026-05-14
ABR,5.84,1.07,1217823488,192361203,11.625,Real Estate,Arbor Realty Trust,0.4425,0.75,1.8362258627048258,0.3606192214885874,2026-05-14
ABT,84.9,2.52,147879936000,1741813154,29.889,Healthcare,Abbott Laboratories,5.48288,0.10597897455351935,0.3520494718087111,0.08777907459110967,2026-05-14
