ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,icc_method,ICC,bm,date
ADBE,205.02,0.0,81495449600,397500000,28.867,Technology,Adobe Inc.,24.42773,0.12737081996567023,forecast_icc,0.11635878300227753,0.14080089816450317,2026-06-30
AMD,580.91,0.0,947232112640,1630600639,39.547,Technology,"Advanced Micro Devices, Inc.",7.3825,0.75,forecast_icc,0.11041435766963958,0.06807767875479635,2026-06-30
ABNB,143.1,0.0,84930551808,417930233,12.834,Consumer Cyclical,"Airbnb, Inc.",5.08589,0.18879488152516077,forecast_icc,0.06650305265899378,0.06315414766699734,2026-06-30
ALNY,301.03,0.0,40191291392,133512573,8.059,Healthcare,"Alnylam Pharmaceuticals, Inc.",9.42061,0.44088758583573684,forecast_icc,0.10992262565252642,0.026771417104083678,2026-06-30
GOOGL,357.37,0.88,4360833335296,5867155790,39.514,Communication Services,Alphabet Inc.,14.22039,0.02032996282099142,forecast_icc,0.03618538487811873,0.05316295672426192,2026-06-30
GOOG,353.33,0.88,4311534796800,5499638298,39.514,Communication Services,Alphabet Inc.,14.21976,0.02346804728068541,forecast_icc,0.03717922409524668,0.050402633389033634,2026-06-30
AMZN,238.34,0.0,2563849584640,10757109436,41.093,Consumer Cyclical,"Amazon.com, Inc.",8.66465,0.14011067960044543,forecast_icc,0.05773301359973926,0.1724133508852536,2026-06-30
AEP,136.81,3.8,74439008256,544105032,58.473,Utilities,American Electric Power Company,6.35508,0.07925785355967196,forecast_icc,0.06406202654978257,0.4274029743480842,2026-06-30
AMGN,362.12,10.08,195439165440,539708274,17.028,Healthcare,Amgen Inc.,22.38785,0.04861431535408722,forecast_icc,0.06678082809297253,0.047023085004389176,2026-06-30
ADI,397.17,4.4,193456373760,487087040,69.273,Technology,"Analog Devices, Inc.",12.34056,0.19778194830704598,forecast_icc,0.06785147402386915,0.17441648401711465,2026-06-30
AAPL,289.36,1.08,4249933053952,14687356000,7.26,Technology,Apple Inc.,8.75958,0.10537034880667795,forecast_icc,0.04560101812488926,0.02508985511215168,2026-06-30
AMAT,723.0,2.12,574032642048,793959430,30.114,Technology,"Applied Materials, Inc.",12.23922,0.3402929271636592,forecast_icc,0.06333736759219499,0.04165145415723716,2026-06-30
APP,515.23,0.0,173086113792,305732000,7.028,Communication Services,Applovin Corporation,16.09006,0.31291120107693815,forecast_icc,0.0846950951730247,0.01241396232734247,2026-06-30
ARM,354.57,0.0,378708688896,1068078760,7.787,Technology,Arm Holdings plc,2.17364,0.4198993393570234,forecast_icc,0.03709838442700841,0.0219618127283159,2026-06-30
ASML,1989.44,8.79,766765301760,385417665,1.10451,Technology,ASML Holding N.V. - New York Re,31.71332,0.33779591666845343,forecast_icc,0.0615240135219146,0.0005551863969222681,2026-06-30
ALAB,483.02,0.0,82793455616,171407939,8.722,Technology,"Astera Labs, Inc.",3.01022,0.4309053823308595,forecast_icc,0.0384293018984484,0.018057224847480388,2026-06-30
ADSK,194.42,0.0,41050857472,211145251,15.114,Technology,"Autodesk, Inc.",12.61455,0.13078786005049725,forecast_icc,0.08186943830681026,0.07773891996752297,2026-06-30
ADP,223.95,6.8,89520488448,399734282,15.851,Technology,"Automatic Data Processing, Inc.",11.07361,0.1011260103976932,forecast_icc,0.07399947981570931,0.070779194951137,2026-06-30
AXON,560.61,0.0,45186330624,80602077,43.863,Industrials,"Axon Enterprise, Inc.",7.68883,0.375158509161992,forecast_icc,0.05808987592343995,0.07824155789213834,2026-06-30
BKR,55.5,0.92,55059812352,992068697,19.474,Energy,Baker Hughes Company,2.31296,0.20514838129496393,forecast_icc,0.08606039378958902,0.3508828849954523,2026-06-30
BKNG,178.24,1.61,138114334720,774878436,-11.185,Consumer Cyclical,Booking Holdings Inc. Common St,10.4546,0.17686951198515488,forecast_icc,0.09262285932976194,,2026-06-30
AVGO,377.75,2.6,1797175902208,4757580198,18.43,Technology,Broadcom Inc.,11.62393,0.6686077772319687,forecast_icc,0.16413924114809364,0.048788882012837,2026-06-30
CDNS,375.32,0.0,103519264768,275816000,23.789,Technology,"Cadence Design Systems, Inc.",4.49978,0.75,forecast_icc,0.10701663854728352,0.06338324406287962,2026-06-30
CTAS,170.08,1.8,68055285760,400136881,11.971,Industrials,Cintas Corporation,4.88906,0.1097920663685863,forecast_icc,0.04698582570525389,0.07038451971744392,2026-06-30
CSCO,117.46,1.68,462960918528,3941434665,12.401,Technology,"Cisco Systems, Inc.",4.27693,0.11685952306911718,forecast_icc,0.05839620507401186,0.10557636578930553,2026-06-30
CCEP,100.07,2.41,44308701184,442777049,19.881018,Consumer Defensive,Coca-Cola Europacific Partners ,4.45959,0.09526660522604069,forecast_icc,0.06520338625281641,0.19867110174591665,2026-06-30
CMCSA,24.55,1.32,87698210816,3562784182,24.679,Communication Services,Comcast Corporation,3.50677,0.07633520305010033,forecast_icc,0.13458701493505376,1.0025968604086555,2026-06-30
CEG,248.37,1.71,88693424128,357102017,92.403,Utilities,Constellation Energy Corporatio,11.67369,0.15849744168296387,forecast_icc,0.07581083503241748,0.37203770179433115,2026-06-30
CPRT,28.19,0.0,26098624512,925811482,9.477,Industrials,"Copart, Inc.",1.5849,0.06536690011988133,forecast_icc,0.05838216640811933,0.33618305864662723,2026-06-30
COST,935.47,5.88,414861099008,443478804,37.278,Consumer Defensive,Costco Wholesale Corporation,20.57569,0.1018828530173228,forecast_icc,0.03665593418928449,0.03984948913032023,2026-06-30
CRWD,763.14,0.0,194268594176,254564820,18.205,Technology,"CrowdStrike Holdings, Inc.",4.92833,0.26640261508462304,forecast_icc,0.025826483487657106,0.023855387268111136,2026-06-30
CSX,47.53,0.56,88317337600,1858138856,7.307,Industrials,CSX Corporation,1.92183,0.1376292387984368,forecast_icc,0.06635241935382485,0.15373448735836892,2026-06-30
DDOG,260.36,0.0,92677791744,330825798,11.208,Technology,"Datadog, Inc.",2.42145,0.179739412335584,forecast_icc,0.02553280748556752,0.04000845805892921,2026-06-30
DXCM,67.35,0.0,25988544512,385872977,7.662,Healthcare,"DexCom, Inc.",2.59272,0.18889814557684592,forecast_icc,0.07008228416240547,0.11376392196218735,2026-06-30
FANG,175.78,4.4,49449254912,281313297,129.653,Energy,"Diamondback Energy, Inc.",20.22216,0.01,forecast_icc,0.0781264953847621,0.7375867029917563,2026-06-30
DASH,184.53,0.0,80403177472,411336610,23.392,Consumer Cyclical,"DoorDash, Inc.",2.54974,0.7332120137739535,forecast_icc,0.11272991277003686,0.11967171302988376,2026-06-30
EA,205.04,0.76,51414081536,250751484,26.979,Communication Services,Electronic Arts Inc.,5.59366,0.074820421691701,forecast_icc,0.03726551347888139,0.13157921107856702,2026-06-30
EXC,46.62,1.68,47701962752,1023208142,28.65,Utilities,Exelon Corporation,2.85569,0.06381645066516306,forecast_icc,0.07461805879608988,0.6145431252107317,2026-06-30
FAST,48.03,0.92,55140122624,1148035061,3.475,Industrials,Fastenal Company,1.23723,0.10445107215311622,forecast_icc,0.04534673585754134,0.07235061597847418,2026-06-30
FER,68.61,1.66,49106665472,715736287,9.335882,Industrials,Ferrovial N.V.,1.12956,0.1413205141825138,forecast_icc,0.03797548095502845,0.136071742080719,2026-06-30
FTNT,153.62,0.0,112549437440,732648391,1.348,Technology,"Fortinet, Inc.",3.15682,0.08524084363378326,forecast_icc,0.03148063054372863,0.008774899755447414,2026-06-30
GEHC,64.01,0.14,29117624320,454891786,23.452,Healthcare,GE HealthCare Technologies Inc.,4.87066,0.10052436425453637,forecast_icc,0.08273477507495086,0.3663802392678168,2026-06-30
GILD,126.34,3.28,156859940864,1241569874,18.933,Healthcare,"Gilead Sciences, Inc.",9.66191,0.548,forecast_icc,0.2285896653858982,0.14985752445758363,2026-06-30
HON,223.9,9.52,70937468928,316826559,42.894,Industrials,Honeywell International Inc.,21.03805,0.06271969122613563,forecast_icc,0.0982960936715137,0.19157659030010663,2026-06-30
IDXX,526.44,0.0,41527164928,78882997,19.638,Healthcare,"IDEXX Laboratories, Inc.",14.62513,0.12928432089150665,forecast_icc,0.045873350446785977,0.037303396409840275,2026-06-30
INTC,139.63,0.0,701780393984,5026000000,22.177,Technology,Intel Corporation,1.09088,0.42541801114696365,forecast_icc,0.044434694157380286,0.158826896498538,2026-06-30
INTU,261.0,4.8,71393157120,273537000,75.215,Technology,Intuit Inc.,23.83308,0.1465051936216386,forecast_icc,0.11427660129647521,0.2881800761439698,2026-06-30
ISRG,397.68,0.0,140843483136,354162842,49.307,Healthcare,"Intuitive Surgical, Inc.",10.41917,0.13116495843718834,forecast_icc,0.04426314357782102,0.12398661877477014,2026-06-30
KDP,32.73,0.92,44531109888,1360559471,18.568,Consumer Defensive,Keurig Dr Pepper Inc.,2.28719,0.1046742946585113,forecast_icc,0.09065995018385267,0.567308300221273,2026-06-30
KLAC,301.71,0.92,394116268032,1306275210,4.461,Technology,KLA Corporation,3.71497,0.362500908486475,forecast_icc,0.054354624332316026,0.014785722347641984,2026-06-30
KHC,23.62,1.6,28008069120,1185777638,35.348,Consumer Defensive,The Kraft Heinz Company,2.05582,0.01709780039108466,forecast_icc,0.08494814109233906,1.496528295772215,2026-06-30
LRCX,433.33,1.04,541909909504,1250571000,8.464,Technology,Lam Research Corporation,5.67988,0.41291365310534744,forecast_icc,0.06349200835795232,0.019532458732279132,2026-06-30
LIN,518.94,6.4,239930507264,462347310,83.368,Basic Materials,Linde plc,17.95,0.098050139275766,forecast_icc,0.051590258406520165,0.1606505607795354,2026-06-30
LITE,858.06,0.0,66757066752,77800000,41.47,Technology,Lumentum Holdings Inc.,8.22502,0.75,forecast_icc,0.09460091656331071,0.048329954519808795,2026-06-30
MAR,370.59,2.92,97720369152,263688623,-15.459,Consumer Cyclical,Marriott International,11.5996,0.12806734714990164,forecast_icc,0.05259288422432147,,2026-06-30
MRVL,297.89,0.24,260594188288,874800000,20.804,Technology,"Marvell Technology, Inc.",4.04933,0.5256647395988965,forecast_icc,0.08047031378582992,0.06983785524751111,2026-06-30
