ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,icc_method,ICC,bm,date
MMM,157.52,3.12,82157281280,521567261,6.256,Industrials,3M Company,8.71942,0.08825357649935439,forecast_icc,0.07089410254338135,0.03971558861223311,2026-07-10
GOOGL,357.18,0.88,4358514933760,5867155790,39.514,Communication Services,Alphabet Inc.,14.21589,0.023133971914526708,forecast_icc,0.03683208705195519,0.05319123541147557,2026-07-10
AXP,350.58,3.8,239210004480,682326443,49.846,Financial Services,American Express Company,17.74912,0.13544389806367851,forecast_icc,0.07550685553182779,0.14218152769869466,2026-07-10
AMGN,363.39,10.08,196124606464,539708274,17.028,Healthcare,Amgen Inc.,22.34826,0.04926871264250554,forecast_icc,0.06673598832644123,0.0468587427929851,2026-07-10
AMZN,245.34,0.0,2639149400064,10757109436,41.093,Consumer Cyclical,"Amazon.com, Inc.",8.66702,0.1419149834660587,forecast_icc,0.05695927466536366,0.1674940789797002,2026-07-10
AAPL,315.32,1.08,4631217307648,14687356000,7.26,Technology,Apple Inc.,8.7595,0.10538386894229146,forecast_icc,0.04272489101266441,0.02302422829175187,2026-07-10
BA,222.28,0.0,175223848960,788302331,7.591,Industrials,Boeing Company (The),4.1856,0.04,forecast_icc,0.023822501805515928,0.034150619508346865,2026-07-10
CAT,952.41,6.52,438672392192,460591983,40.511,Industrials,"Caterpillar, Inc.",24.74769,0.22878337331686316,forecast_icc,0.0642205788113458,0.04253525445281779,2026-07-10
CVX,176.4,7.12,351317819392,1991597732,92.906,Energy,Chevron Corporation,14.17611,0.01,forecast_icc,0.06658335695415107,0.5266780353168885,2026-07-10
CSCO,121.31,1.68,478135418880,3941434665,12.401,Technology,"Cisco Systems, Inc.",4.27693,0.11685952306911718,forecast_icc,0.05697313840133866,0.10222570709184815,2026-07-10
KO,83.49,2.12,359214252032,4302482418,7.816,Consumer Defensive,Coca-Cola Company (The),3.26612,0.06591000943014969,forecast_icc,0.052973653352797884,0.09361600323166544,2026-07-10
DIS,95.62,1.5,166045237248,1736511424,62.297,Communication Services,Walt Disney Company (The),6.8236,0.09687261855911822,forecast_icc,0.08383219272054165,0.6515059026917739,2026-07-10
GS,1055.18,18.0,311285940224,295007421,356.271,Financial Services,"Goldman Sachs Group, Inc. (The)",60.6206,0.10418900505768658,forecast_icc,0.07591591452350543,0.33764001294584534,2026-07-10
HD,343.3,9.32,342310125568,997116682,13.916,Consumer Cyclical,"Home Depot, Inc. (The)",14.95531,0.07602249635748093,forecast_icc,0.06035360519784605,0.04053597808036664,2026-07-10
HON,226.42,9.52,71735869440,316826559,42.894,Industrials,Honeywell International Inc.,8.23922,0.1672524826379198,forecast_icc,0.0816141442236053,0.18944439550025477,2026-07-10
IBM,287.56,6.76,270273413120,939885280,35.083,Technology,International Business Machines,12.47086,0.08040423836046595,forecast_icc,0.059955679614016016,0.12200236381963221,2026-07-10
JNJ,256.98,5.36,618606624768,2407216971,33.735,Healthcare,Johnson & Johnson,11.58234,0.09994439810953559,forecast_icc,0.06557465530660253,0.13127480577360573,2026-07-10
JPM,336.47,6.0,901575147520,2679511418,128.379,Financial Services,JP Morgan Chase & Co.,22.78807,0.0500033570197036,forecast_icc,0.06765078374285236,0.3815466711539884,2026-07-10
MCD,274.6,7.44,195104915456,710505859,-1.81,Consumer Cyclical,McDonald's Corporation,12.97671,0.09528378148236327,forecast_icc,0.06894300950380672,,2026-07-10
MRK,123.54,3.4,305122115584,2469824415,18.576,Healthcare,"Merck & Company, Inc.",2.92077,0.75,forecast_icc,0.19297546466045834,0.15036425086797553,2026-07-10
MSFT,385.1,3.64,2860690440192,7428434704,55.777,Technology,Microsoft Corporation,16.81912,0.1508533145610471,forecast_icc,0.07178222037641946,0.1448376925597022,2026-07-10
NKE,44.37,1.64,65706954752,1199499281,10.026,Consumer Cyclical,"Nike, Inc.",1.50811,0.501097400057025,forecast_icc,0.16679465243886094,0.18302750198509155,2026-07-10
NVDA,210.96,1.0,5109662089216,24221000000,8.07,Technology,NVIDIA Corporation,8.97274,0.4225119640154513,forecast_icc,0.12957112139043925,0.03825369791331757,2026-07-10
PG,147.04,4.26,342397190144,2328598978,23.081,Consumer Defensive,Procter & Gamble Company (The),6.89695,0.025015405360340415,forecast_icc,0.04866147414602555,0.15697089391596408,2026-07-10
CRM,163.32,1.76,133759082496,819000000,41.801,Technology,"Salesforce, Inc.",14.12753,0.09802208878692875,forecast_icc,0.09231220938676354,0.25594537852054855,2026-07-10
SHW,333.99,3.2,82373828608,246635621,18.071,Basic Materials,Sherwin-Williams Company (The),11.73893,0.13010214729962621,forecast_icc,0.058045288833107445,0.05410641198068763,2026-07-10
TRV,338.92,5.0,72069537792,212644693,150.452,Financial Services,"The Travelers Companies, Inc.",28.31124,0.012540249031833373,forecast_icc,0.061505070798923867,0.44391597797630566,2026-07-10
UNH,424.62,9.28,385616248832,908144404,107.798,Healthcare,UnitedHealth Group Incorporated,18.42102,0.13910576070163327,forecast_icc,0.07438727518714006,0.25386936042999075,2026-07-10
V,348.97,2.68,663651549184,1659709932,18.642,Financial Services,Visa Inc.,13.14165,0.13120726849368225,forecast_icc,0.06026770927364933,0.046621321972934435,2026-07-10
WMT,113.9,0.99,906425204736,7958079155,11.848,Consumer Defensive,Walmart Inc.,2.90381,0.13153753172556049,forecast_icc,0.046413411755837575,0.10402107237949276,2026-07-10
