ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,icc_method,ICC,bm,date
A,159.0,1.02,44906676224.0,282431944.0,25.236,Healthcare,"Agilent Technologies, Inc.",6.05947,0.09059373179502495,forecast_icc,0.05146539969088393,0.15871699128279712,2026-08-21
AA,51.85,0.4,13683703808.0,263909445.0,27.926,Basic Materials,Alcoa Corporation,6.49824,0.01,forecast_icc,0.07692988244544063,0.5385921285990758,2026-08-21
AACB,10.59,0.0,293078240.0,22175000.0,-0.62,Financial Services,Artius II Acquisition Inc.,0.17,0.01,trailing_eps_fallback_icc,0.016946051441481973,,2026-08-21
AADX,14.96,0.0,2579006976.0,172393518.0,4.802,Industrials,"Applied Aerospace & Defense, In",0.4,0.04,forecast_icc,0.030627063033548278,0.32098931144418896,2026-08-21
AAL,13.82,0.0,9148424192.0,661969951.0,-6.001,Industrials,"American Airlines Group, Inc.",0.10387,0.75,forecast_icc,0.08221628153381577,,2026-08-21
AAME,1.35,0.02,27536258.0,20397228.0,5.365,Financial Services,Atlantic American Corporation,0.23,0.04,trailing_eps_fallback_icc,0.11258886761175735,3.974074045209774,2026-08-21
AAMI,92.3,0.4,3275738880.0,35490128.0,2.592,Financial Services,Acadian Asset Management Inc.,5.375,0.21178232558139531,forecast_icc,0.09861617674391587,0.028082339632638852,2026-08-21
AAOI,124.82,0.0,10555932672.0,84569237.0,19.767,Technology,"Applied Optoelectronics, Inc.",0.68,0.75,forecast_icc,0.06755942226589218,0.15836403657757245,2026-08-21
AAON,79.44,0.4,6550117376.0,82453639.0,12.255,Industrials,"AAON, Inc.",2.368,0.4898648648648649,forecast_icc,0.1217914901893854,0.15426736468073332,2026-08-21
AAP,42.58,1.0,,,36.883,Consumer Cyclical,Advance Auto Parts Inc.,2.93478,0.3637240270139499,forecast_icc,0.1640023514868908,,2026-08-21
AAPL,309.35,1.08,4514709504000.0,14594180000.0,7.36,Technology,Apple Inc.,8.80532,0.08255463742373936,forecast_icc,0.03945044757980509,0.023791821977656086,2026-08-21
AAT,22.83,1.36,1771282688.0,61404213.0,18.276,Real Estate,"American Assets Trust, Inc.",0.39,0.01,forecast_icc,0.019866010643228772,0.6335653842217195,2026-08-21
ABBV,264.96,6.92,468215398400.0,1767117285.0,-3.359,Healthcare,AbbVie Inc.,14.00943,0.15958607880549014,forecast_icc,0.09152870196081808,,2026-08-21
ABCB,86.2,0.8,5784644096.0,67107239.0,61.163,Financial Services,Ameris Bancorp,6.63571,0.05920391337174169,forecast_icc,0.07351287641249515,0.7095475522504816,2026-08-21
ABEV,2.88,0.16,44409597952.0,15419998554.0,1.095394,Consumer Defensive,Ambev S.A.,0.20052,0.0692200279273889,forecast_icc,0.09150123063591387,0.38034512076233706,2026-08-21
ABG,214.81,0.0,3856251136.0,17951917.0,218.546,Consumer Cyclical,Asbury Automotive Group Inc,26.39582,0.14724679892498127,forecast_icc,0.12488373831446309,1.0173921547940388,2026-08-21
ABM,46.81,1.16,2742173184.0,58580923.0,29.846,Industrials,ABM Industries Incorporated,3.97749,0.09490910096568439,forecast_icc,0.09640512032572712,0.6375987622005715,2026-08-21
ABNB,187.3,0.0,112152559616.0,419529556.0,13.219,Consumer Cyclical,"Airbnb, Inc.",5.28991,0.16843008671225035,forecast_icc,0.05335890796451652,0.04944836943313798,2026-08-21
ABR,5.19,0.94,1052159680.0,186558043.0,11.346,Real Estate,Arbor Realty Trust,0.2725,0.75,forecast_icc,0.29745752449044904,2.0117550559226904,2026-08-21
ABT,116.64,2.52,201831907328.0,1730383296.0,29.537,Healthcare,Abbott Laboratories,5.51806,0.09887714160411454,forecast_icc,0.06765484926538068,0.2532321677508197,2026-08-21
ABTC,7.93,0.0,966030272.0,24004726.0,9.229,Financial Services,American Bitcoin Corp.,0.02,0.04,forecast_icc,0.010000000000000002,0.2293298902479942,2026-08-21
ABUS,5.21,0.0,1030787264.0,197847835.0,1.309,Healthcare,Arbutus Biopharma Corporation,1.027,0.01,forecast_icc,0.10025832529175821,0.2512475901283545,2026-08-21
ABX,9.66,0.2,944673088.0,97792249.0,4.477,Financial Services,"Abacus Global Management, Inc.",1.02,0.11176470588235277,forecast_icc,0.11291292096267436,0.463457575254859,2026-08-21
ACA,144.9,0.2,7115576320.0,49106809.0,60.76,Industrials,"Arcosa, Inc.",4.29167,0.19289227736522152,forecast_icc,0.060239247435121546,0.4193236894183154,2026-08-21
ACAD,29.5,0.0,5083012608.0,172305518.0,7.591,Healthcare,ACADIA Pharmaceuticals Inc.,0.59856,0.48447941726811017,forecast_icc,0.093350531182681,0.2573220426562436,2026-08-21
ACCL,2.92,0.0,40733708.0,13949900.0,0.415,Industrials,Acco Group Holdings Limited,0.04,0.01,trailing_eps_fallback_icc,0.014903553143590539,0.1421232876712329,2026-08-21
ACCO,4.24,0.3,391384064.0,92307568.0,7.488,Industrials,Acco Brands Corporation,0.88,0.09469318181818176,forecast_icc,0.17900733045550143,1.7660378455879082,2026-08-21
ACCS,4.96,0.0,18983428.0,3827304.0,7.59,Communication Services,ACCESS Newswire Inc.,0.445,0.7303370786516854,forecast_icc,0.26395097672275647,1.5302419225863737,2026-08-21
ACEL,12.06,0.0,979193280.0,81193475.0,3.495,Consumer Cyclical,"Accel Entertainment, Inc.",0.82822,0.30400135229769876,forecast_icc,0.12956528393552957,0.2898010034597051,2026-08-21
ACFN,18.81,0.0,47677968.0,2534714.0,3.496,Technology,"Acorn Energy, Inc.",0.61,0.01,trailing_eps_fallback_icc,0.02877985218917456,0.1858585949803901,2026-08-21
ACGL,99.39,0.0,33914761216.0,341229126.0,68.318,Financial Services,Arch Capital Group Ltd.,9.37563,0.04165586739237792,forecast_icc,0.07434994946554985,0.687373007924055,2026-08-21
ACH,1.2,0.0,92285648.0,76904704.0,-7.164,Healthcare,"Accendra Health, Inc.",0.14973,0.04,forecast_icc,0.08839851726687986,,2026-08-21
ACHC,27.82,0.0,2590049536.0,93100275.0,21.78,Healthcare,"Acadia Healthcare Company, Inc.",1.5526,0.1736055648589463,forecast_icc,0.08475447575911088,0.7828900417987991,2026-08-21
ACI,12.38,0.68,6008332288.0,485325683.0,3.3,Consumer Defensive,"Albertsons Companies, Inc.",1.79259,0.03179756664937328,forecast_icc,0.11480465219526692,0.266558951324764,2026-08-21
ACIC,9.18,0.0,433934176.0,47269517.0,7.302,Financial Services,American Coastal Insurance Corp,0.93,0.17204301075268824,forecast_icc,0.11953745344164546,0.7954248183807491,2026-08-21
ACIU,2.9,0.0,288338112.0,99426932.0,0.43553683,Healthcare,AC Immune SA,0.6211637,0.04,forecast_icc,0.12263363065370231,0.15018510900114918,2026-08-21
ACIW,51.86,0.0,5235538944.0,100955241.0,14.786,Technology,"ACI Worldwide, Inc.",3.59,0.08356545961002793,forecast_icc,0.07244615199722404,0.2851137598998633,2026-08-21
ACLS,127.07,0.0,3924110592.0,30881489.0,34.514,Technology,"Axcelis Technologies, Inc.",4.106,0.2830004870920604,forecast_icc,0.0805986151474577,0.2716140858820118,2026-08-21
ACM,64.79,1.19,8338241536.0,128696425.0,17.042,Industrials,AECOM,3.97906,0.6135494312727128,forecast_icc,0.21982855922789646,0.2630344138366299,2026-08-21
ACMR,79.41,0.0,5530843136.0,64657388.0,26.71,Technology,"ACM Research, Inc.",2.01,0.3482587064676619,forecast_icc,0.0807645636038494,0.31224874598938546,2026-08-21
ACN,185.28,6.52,113380630528.0,611942109.0,52.121,Technology,Accenture plc,13.87199,0.057538247937029885,forecast_icc,0.08148489928168845,0.28130937810680406,2026-08-21
ACNB,64.45,1.6,655451968.0,10169930.0,41.621,Financial Services,ACNB Corporation,5.6625,0.01,forecast_icc,0.0653824546184435,0.6457874523156516,2026-08-21
ACNT,14.72,0.0,132619152.0,9009453.0,8.835,Basic Materials,Ascent Industries Co.,0.8,0.01,forecast_icc,0.04076319369340334,0.6002037869688687,2026-08-21
ACP,5.09,0.93,638645760.0,125470678.0,5.648,Financial Services,Aberdeen Income Credit Strategi,0.66,0.04,trailing_eps_fallback_icc,0.1533638217234593,1.1096267034545098,2026-08-21
