ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,icc_method,ICC,bm,date
AAPL,333.08,1.08,4861029515264,14594180000,7.36,Technology,Apple Inc.,8.82155,0.08456790473329523,forecast_icc,0.03791856090553701,0.02209679337735238,2026-09-14
ABBV,261.77,6.92,462578286592,1767117285,-3.359,Healthcare,AbbVie Inc.,14.01058,0.1619447588893539,forecast_icc,0.09298583298521279,,2026-09-14
ABT,103.09,2.52,178385207296,1730383296,29.537,Healthcare,Abbott Laboratories,5.51967,0.09887909965632025,forecast_icc,0.07432179495513722,0.286516646692251,2026-09-14
ACN,195.0,6.52,119328702464,611942109,52.121,Technology,Accenture plc,13.86349,0.05874062014687498,forecast_icc,0.07870778896285302,0.2672871991783481,2026-09-14
ADBE,265.6,0.0,105576005632,397500000,29.782,Technology,Adobe Inc.,24.47956,0.1303753008632509,forecast_icc,0.10119040389593803,0.1121310181147051,2026-09-14
AMAT,424.21,2.12,336651976704,793597443,32.291,Technology,"Applied Materials, Inc.",12.79441,0.44241039641530944,forecast_icc,0.11265931497870751,0.0761203165441224,2026-09-14
AMD,493.41,0.0,805479514112,1632475042,41.191,Technology,"Advanced Micro Devices, Inc.",7.56435,0.75,forecast_icc,0.1218241345304637,0.08348229629297808,2026-09-14
AMGN,381.5,10.08,206251114496,540632005,21.62,Healthcare,Amgen Inc.,23.04171,0.05906853267400747,forecast_icc,0.06863318251727113,0.05667103412586255,2026-09-14
AMT,176.94,6.98,82446974976,465960048,7.983,Real Estate,American Tower Corporation (REI,6.98352,0.01,forecast_icc,0.04058919772214836,0.04511698657551484,2026-09-14
AMZN,253.54,0.0,2734761705472,10786313572,51.156,Consumer Cyclical,"Amazon.com, Inc.",12.89337,0.01,forecast_icc,0.0389429432025518,0.20176699709710097,2026-09-14
AVGO,344.72,2.6,1645565706240,4773629865,20.882,Technology,Broadcom Inc.,11.65766,0.6627616519953405,forecast_icc,0.17070146140318176,0.06057669922442562,2026-09-14
AXP,327.78,3.8,221353050112,675309833,50.785,Financial Services,American Express Company,17.68032,0.13962077609455048,forecast_icc,0.07994270914258339,0.15493624258419814,2026-09-14
BA,210.27,0.0,166191120384,790370020,7.716,Industrials,Boeing Company (The),4.09038,0.04,forecast_icc,0.024402196334466164,0.03669567339235009,2026-09-14
BAC,59.47,1.28,415858753536,6992748365,39.342,Financial Services,Bank of America Corporation,4.6692,0.1306883406150947,forecast_icc,0.1019427675102983,0.6615436222914914,2026-09-14
BKNG,175.35,1.68,131754573824,751380500,-14.226,Consumer Cyclical,Booking Holdings Inc. Common St,10.44865,0.18456547018035807,forecast_icc,0.09576539098142722,,2026-09-14
BLK,1065.6,22.92,173134626816,154869259,371.704,Financial Services,"BlackRock, Inc.",56.28574,0.14256737141592168,forecast_icc,0.08440489258403028,0.3324899478861276,2026-09-14
BMY,64.1,2.52,130938003456,2042714656,10.925,Healthcare,Bristol-Myers Squibb Company,6.94924,0.01,forecast_icc,0.08011774133036986,0.17043682527433088,2026-09-14
BNY,157.66,2.22,106972962816,678504142,58.821,Financial Services,The Bank of New York Mellon Cor,9.25034,0.10794630251428594,forecast_icc,0.07669628351465085,0.373087657721794,2026-09-14
BRK-B,514.95,0.0,1102358511616,1408035161,522225.9,Financial Services,Berkshire Hathaway Inc. New,22.25303,0.01,forecast_icc,0.03502326809158425,667.035652590862,2026-09-14
C,136.18,2.68,228433330176,1677436783,114.738,Financial Services,"Citigroup, Inc.",11.15454,0.15498173837737816,forecast_icc,0.11097922651311609,0.8425466697857348,2026-09-14
CAT,784.0,6.52,360385118208,459674889,42.193,Industrials,"Caterpillar, Inc.",27.18657,0.19093140473402848,forecast_icc,0.06980231022609817,0.053817601259503,2026-09-14
CL,87.89,2.12,70063513600,797172829,0.296,Consumer Defensive,Colgate-Palmolive Company,3.87527,0.0600603312801431,forecast_icc,0.05535734525366476,0.003367846476143611,2026-09-14
CMCSA,24.88,1.32,88290074624,3539192198,25.311,Communication Services,Comcast Corporation,3.51659,0.03089356450424985,forecast_icc,0.11203006855289088,1.0146156757152318,2026-09-14
COF,206.68,3.2,126795046912,613484836,167.859,Financial Services,Capital One Financial Corporati,20.3117,0.18359467695958487,forecast_icc,0.12916905662535882,0.8121685633161588,2026-09-14
COP,136.67,3.36,164186783744,1201337479,54.397,Energy,ConocoPhillips,10.62712,0.01,forecast_icc,0.06011098426475406,0.3980171445897581,2026-09-14
COST,918.91,5.88,407517102080,443478804,37.278,Consumer Defensive,Costco Wholesale Corporation,20.57914,0.10170250068758957,forecast_icc,0.03708780583040128,0.04056762960654002,2026-09-14
CRM,259.43,1.76,213510881280,823000000,46.632,Technology,"Salesforce, Inc.",16.65055,0.01,forecast_icc,0.04789134673237702,0.17974791621823988,2026-09-14
CSCO,110.06,1.68,433921097728,3942586873,12.743,Technology,"Cisco Systems, Inc.",5.14263,0.08937644745976292,forecast_icc,0.06216781606151345,0.11578230416934414,2026-09-14
