ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,icc_method,ICC,bm,date
A,146.8,1.02,41392582656.0,281965813.0,26.113,Healthcare,"Agilent Technologies, Inc.",6.20196,0.08955072267476738,forecast_icc,0.05525349195804352,0.17788146577033437,2026-09-14
AA,46.95,0.4,12390548480.0,263909445.0,27.926,Basic Materials,Alcoa Corporation,6.5199,0.01,forecast_icc,0.0825585105587362,0.5948029801074634,2026-09-14
AADX,11.65,0.0,2008384384.0,172393518.0,4.802,Industrials,"Applied Aerospace & Defense, In",0.4,0.04,forecast_icc,0.036247700345533776,0.41218886186878456,2026-09-14
AAL,13.1,0.0,8671806464.0,661969951.0,-6.001,Industrials,"American Airlines Group, Inc.",2.24512,0.01,forecast_icc,0.09172191164294297,,2026-09-14
AAME,1.29,0.02,26312424.0,20397228.0,5.365,Financial Services,Atlantic American Corporation,0.23,0.04,trailing_eps_fallback_icc,0.11584782572761221,4.158914747649248,2026-09-14
AAMI,88.92,0.4,3155782144.0,35490128.0,2.592,Financial Services,Acadian Asset Management Inc.,5.36,0.20646828358208946,forecast_icc,0.09933507657114526,0.029149797919637385,2026-09-14
AAOI,95.76,0.0,8130626560.0,84906289.0,19.767,Technology,"Applied Optoelectronics, Inc.",0.68,0.75,forecast_icc,0.07948904899953893,0.20642229750409294,2026-09-14
AAON,75.54,0.4,6228548096.0,82453639.0,12.255,Industrials,"AAON, Inc.",2.368,0.4898648648648649,forecast_icc,0.1252125556545075,0.16223192473923861,2026-09-14
AAP,45.01,1.0,2715417600.0,60329208.0,37.617,Consumer Cyclical,Advance Auto Parts Inc.,2.99215,0.3009675317079692,forecast_icc,0.14240015677794804,0.8357476276709703,2026-09-14
AAPL,333.08,1.08,4861029515264.0,14594180000.0,7.36,Technology,Apple Inc.,8.82155,0.08456790473329523,forecast_icc,0.03791856090553701,0.02209679337735238,2026-09-14
AAT,21.64,1.36,1678955648.0,61404213.0,18.276,Real Estate,"American Assets Trust, Inc.",0.39,0.01,forecast_icc,0.020820827913155218,0.6684056235343747,2026-09-14
ABBV,261.77,6.92,462578286592.0,1767117285.0,-3.359,Healthcare,AbbVie Inc.,14.01058,0.1619447588893539,forecast_icc,0.09298583298521279,,2026-09-14
ABCB,84.82,0.8,5692036096.0,67107239.0,61.163,Financial Services,Ameris Bancorp,6.63571,0.05920391337174169,forecast_icc,0.07433666053699295,0.7210917130060659,2026-09-14
ABEV,3.03,0.16,46711955456.0,15416486524.0,1.119317,Consumer Defensive,Ambev S.A.,0.20009,0.06736968364236096,forecast_icc,0.0869024200052394,0.3694115409670275,2026-09-14
ABG,208.91,0.0,3750334720.0,17951917.0,218.546,Consumer Cyclical,Asbury Automotive Group Inc,26.40127,0.14700997338385613,forecast_icc,0.12675001826235077,1.0461251983081659,2026-09-14
ABM,49.59,1.16,2906697728.0,58614592.0,30.542,Industrials,ABM Industries Incorporated,4.00738,0.08612110655839955,forecast_icc,0.09017126048037005,0.6158902770037188,2026-09-14
ABNB,170.65,0.0,102182772736.0,419529556.0,13.219,Consumer Cyclical,"Airbnb, Inc.",5.31197,0.1719079738778646,forecast_icc,0.05772895075401385,0.05427295670564803,2026-09-14
