ticker,fetch_status,has_price,has_market_cap,has_forward_eps,has_trailing_eps,has_icc,icc_method,unavailable_reason,mktcap
MMM,ok,True,True,True,True,True,forecast_icc,,91772805120.0
AOS,ok,True,True,True,True,True,forecast_icc,,8550887936.0
ABT,ok,True,False,True,True,True,forecast_icc,,
ABBV,ok,True,True,True,True,True,forecast_icc,,465196515328.0
ACN,ok,True,True,True,True,True,forecast_icc,,105970008064.0
ADBE,ok,True,True,True,True,True,forecast_icc,,104713420800.0
AMD,ok,True,False,True,True,True,forecast_icc,,
AES,ok,True,True,True,True,True,forecast_icc,,10568996864.0
AFL,ok,True,False,True,True,True,forecast_icc,,
A,ok,True,True,True,True,True,forecast_icc,,39625199616.0
APD,ok,True,False,True,True,True,forecast_icc,,
ABNB,ok,True,True,True,True,True,forecast_icc,,90812178432.0
AKAM,ok,True,True,True,True,True,forecast_icc,,15615852544.0
ALB,ok,True,True,True,False,True,forecast_icc,,13430396928.0
ARE,ok,True,False,True,False,True,forecast_icc,,
ALGN,ok,True,True,True,True,True,forecast_icc,,12896992256.0
ALLE,ok,True,True,True,True,True,forecast_icc,,13475779584.0
LNT,ok,True,True,True,True,True,forecast_icc,,18595946496.0
ALL,ok,True,True,True,True,True,forecast_icc,,70633734144.0
GOOGL,ok,True,True,True,True,True,forecast_icc,,4117941452800.0
GOOG,ok,True,True,True,True,True,forecast_icc,,4106323230720.0
MO,ok,True,False,True,True,True,forecast_icc,,
AMZN,ok,True,True,True,True,True,forecast_icc,,2438098845696.0
AMCR,ok,True,True,True,True,True,forecast_icc,,21193926656.0
AEE,ok,True,False,True,True,True,forecast_icc,,
AEP,ok,True,True,True,True,True,forecast_icc,,70407184384.0
AXP,ok,True,True,True,True,True,forecast_icc,,223865208832.0
AIG,ok,True,False,True,True,True,forecast_icc,,
AMT,ok,True,True,True,True,True,forecast_icc,,83515990016.0
AWK,ok,True,False,True,True,True,forecast_icc,,
AMP,ok,True,True,True,True,True,forecast_icc,,47761633280.0
AME,ok,True,True,True,True,True,forecast_icc,,53920006144.0
AMGN,ok,True,True,True,True,True,forecast_icc,,209212522496.0
APH,ok,True,False,True,True,True,forecast_icc,,
ADI,ok,True,False,True,True,True,forecast_icc,,
AON,ok,True,True,True,True,True,forecast_icc,,80552681472.0
APA,ok,True,False,True,True,True,forecast_icc,,
APO,ok,True,True,True,True,True,forecast_icc,,69049499648.0
AAPL,ok,True,True,True,True,True,forecast_icc,,4967117094912.0
AMAT,ok,True,True,True,True,True,forecast_icc,,346523598848.0
APP,ok,True,True,True,True,True,forecast_icc,,134194397184.0
APTV,ok,True,True,True,True,True,forecast_icc,,12267641856.0
ACGL,ok,True,True,True,True,True,forecast_icc,,36528685056.0
ADM,ok,True,False,True,True,True,forecast_icc,,
ARES,ok,True,True,True,True,True,forecast_icc,,41098887168.0
ANET,ok,True,True,True,True,True,forecast_icc,,198911000576.0
AJG,ok,True,False,True,True,True,forecast_icc,,
AIZ,ok,True,False,True,True,True,forecast_icc,,
T,ok,True,True,True,True,True,forecast_icc,,164046127104.0
ATO,ok,True,True,True,True,True,forecast_icc,,29656645632.0
ADSK,ok,True,True,True,True,True,forecast_icc,,51783372800.0
ADP,ok,True,True,True,True,True,forecast_icc,,109275357184.0
AZO,ok,True,False,True,True,True,forecast_icc,,
AVB,ok,True,True,True,True,True,forecast_icc,,27517208576.0
AVY,ok,True,False,True,True,True,forecast_icc,,
AXON,ok,True,True,True,True,True,forecast_icc,,42815823872.0
BKR,ok,True,True,True,True,True,forecast_icc,,58289819648.0
BALL,ok,True,True,True,True,True,forecast_icc,,17529669632.0
