ticker,security_name,exchange,source,is_etf,is_test_issue,raw_category,exclude_reason,is_common_equity_candidate,source_rank
A,"Agilent Technologies, Inc. Common Stock",N,nasdaqtrader_otherlisted,False,False,N,,True,1.0
AA,Alcoa Corporation Common Stock ,N,nasdaqtrader_otherlisted,False,False,N,,True,1.0
AAA,Alternative Access First Priority CLO Bond ETF,P,nasdaqtrader_otherlisted,True,False,P,non_common_security_name,False,1.0
AAAA,Amplius Aggressive Asset Allocation ETF,Z,nasdaqtrader_otherlisted,True,False,Z,non_common_security_name,False,1.0
AAAC,Columbia AAA CLO ETF,P,nasdaqtrader_otherlisted,True,False,P,non_common_security_name,False,1.0
AAAU,Goldman Sachs Physical Gold ETF Shares,Z,nasdaqtrader_otherlisted,True,False,Z,non_common_security_name,False,1.0
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,nasdaqtrader_nasdaqlisted,False,False,G,,True,0.0
AACBR,Artius II Acquisition Inc. - Rights,NASDAQ,nasdaqtrader_nasdaqlisted,False,False,G,non_common_security_name,False,0.0
AACBU,Artius II Acquisition Inc. - Units,NASDAQ,nasdaqtrader_nasdaqlisted,False,False,G,non_common_security_name,False,0.0
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,nasdaqtrader_nasdaqlisted,False,False,S,,True,0.0
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,nasdaqtrader_nasdaqlisted,False,False,G,,True,0.0
AACIU,Armada Acquisition Corp. III - Units,NASDAQ,nasdaqtrader_nasdaqlisted,False,False,G,non_common_security_name,False,0.0
AACIW,Armada Acquisition Corp. III - Warrant,NASDAQ,nasdaqtrader_nasdaqlisted,False,False,G,non_common_security_name,False,0.0
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,nasdaqtrader_nasdaqlisted,False,False,G,,True,0.0
AACOU,Abony Acquisition Corp. I - Units,NASDAQ,nasdaqtrader_nasdaqlisted,False,False,G,non_common_security_name,False,0.0
AACOW,Abony Acquisition Corp. I - Warrants,NASDAQ,nasdaqtrader_nasdaqlisted,False,False,G,non_common_security_name,False,0.0
AACPU,Apogee Acquisition Corp - Units,NASDAQ,nasdaqtrader_nasdaqlisted,False,False,G,non_common_security_name,False,0.0
AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,nasdaqtrader_nasdaqlisted,True,False,G,etf,False,0.0
AAEQ,Alpha Architect US Equity 2 ETF,NASDAQ,nasdaqtrader_nasdaqlisted,True,False,G,non_common_security_name,False,0.0
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,nasdaqtrader_nasdaqlisted,False,False,Q,,True,0.0
AALG,Leverage Shares 2X Long AAL Daily ETF,NASDAQ,nasdaqtrader_nasdaqlisted,True,False,G,non_common_security_name,False,0.0
AAME,Atlantic American Corporation - Common Stock,NASDAQ,nasdaqtrader_nasdaqlisted,False,False,G,,True,0.0
AAMI,Acadian Asset Management Inc. Common Stock,N,nasdaqtrader_otherlisted,False,False,N,,True,1.0
AAOG,Leverage Shares 2X Long AAOI Daily ETF,Z,nasdaqtrader_otherlisted,True,False,Z,non_common_security_name,False,1.0
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,nasdaqtrader_nasdaqlisted,False,False,G,,True,0.0
AAON,"AAON, Inc. - Common Stock",NASDAQ,nasdaqtrader_nasdaqlisted,False,False,Q,,True,0.0
AAOX,Tradr 2X Long AAOI Daily ETF,Z,nasdaqtrader_otherlisted,True,False,Z,etf,False,1.0
AAP,Advance Auto Parts Inc.,N,nasdaqtrader_otherlisted,False,False,N,,True,1.0
AAPB,GraniteShares 2x Long AAPL Daily ETF,NASDAQ,nasdaqtrader_nasdaqlisted,True,False,G,non_common_security_name,False,0.0
AAPD,Direxion Daily AAPL Bear 1X ETF,NASDAQ,nasdaqtrader_nasdaqlisted,True,False,G,non_common_security_name,False,0.0
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,nasdaqtrader_nasdaqlisted,False,False,G,,True,0.0
AAPL,Apple Inc. - Common Stock,NASDAQ,nasdaqtrader_nasdaqlisted,False,False,Q,,True,0.0
AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2028,Z,nasdaqtrader_otherlisted,True,False,Z,non_common_security_name,False,1.0
AAPU,Direxion Daily AAPL Bull 2X ETF,NASDAQ,nasdaqtrader_nasdaqlisted,True,False,G,non_common_security_name,False,0.0
AAPW,Roundhill AAPL WeeklyPay ETF,Z,nasdaqtrader_otherlisted,True,False,Z,non_common_security_name,False,1.0
AAPX,T-Rex 2X Long Apple Daily Target ETF,Z,nasdaqtrader_otherlisted,True,False,Z,non_common_security_name,False,1.0
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Z,nasdaqtrader_otherlisted,True,False,Z,non_common_security_name,False,1.0
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,nasdaqtrader_nasdaqlisted,False,False,Q,,True,0.0
AAT,"American Assets Trust, Inc. Common Stock",N,nasdaqtrader_otherlisted,False,False,N,,True,1.0
AAUA,Alpha Architect US Equity 3 ETF,Z,nasdaqtrader_otherlisted,True,False,Z,non_common_security_name,False,1.0
AAUC,Allied Gold Corporation Common Shares,N,nasdaqtrader_otherlisted,False,False,N,,True,1.0
AAUM,Tema Alternative Asset Managers ETF,Z,nasdaqtrader_otherlisted,True,False,Z,non_common_security_name,False,1.0
AAUS,Alpha Architect US Equity ETF,NASDAQ,nasdaqtrader_nasdaqlisted,True,False,G,non_common_security_name,False,0.0
AAVM,Alpha Architect Global Factor Equity ETF,NASDAQ,nasdaqtrader_nasdaqlisted,True,False,G,non_common_security_name,False,0.0
AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ,nasdaqtrader_nasdaqlisted,True,False,G,non_common_security_name,False,0.0
AB,AllianceBernstein Holding L.P.  Units,N,nasdaqtrader_otherlisted,False,False,N,non_common_security_name,False,1.0
ABAT,American Battery Technology Company - Common Stock,NASDAQ,nasdaqtrader_nasdaqlisted,False,False,S,,True,0.0
ABBV,AbbVie Inc. Common Stock,N,nasdaqtrader_otherlisted,False,False,N,,True,1.0
ABCB,Ameris Bancorp Common Stock,N,nasdaqtrader_otherlisted,False,False,N,,True,1.0
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,nasdaqtrader_nasdaqlisted,False,False,Q,,True,0.0
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,NASDAQ,nasdaqtrader_nasdaqlisted,True,False,G,non_common_security_name,False,0.0
