ticker,fetch_status,has_price,has_market_cap,has_forward_eps,has_trailing_eps,has_icc,icc_method,unavailable_reason,mktcap
A,ok,True,True,True,True,True,forecast_icc,,48728584192.0
AA,ok,True,True,True,True,True,forecast_icc,,11263654912.0
AAC,failed,True,True,False,False,False,,missing_positive_eps,497646816.0
AAC-U,failed,False,False,False,False,False,,missing_price,
AAC-W,failed,False,False,False,False,False,,missing_price,
AACG,failed,True,True,False,False,False,,missing_positive_eps,35672736.0
AACI,failed,True,True,False,False,False,,missing_positive_eps,341999808.0
AACO,failed,True,True,False,False,False,,missing_positive_eps,313616672.0
AACP,failed,True,True,False,False,False,,missing_positive_eps,295122016.0
AADX,ok,True,True,True,False,True,forecast_icc,,2196293376.0
AAL,ok,True,True,True,False,True,forecast_icc,,8837298176.0
AAME,ok,True,True,False,True,True,trailing_eps_fallback_icc,,26720368.0
AAMI,ok,True,True,True,True,True,forecast_icc,,3311938816.0
AAOI,ok,True,True,True,False,True,forecast_icc,,8578082304.0
AAON,ok,True,True,True,True,True,forecast_icc,,6948367872.0
AAP,ok,True,True,True,True,True,forecast_icc,,2502372096.0
AAPG,failed,True,True,False,False,False,,missing_positive_eps,1422313600.0
AAPL,ok,True,True,True,True,True,forecast_icc,,4902477103104.0
AARD,failed,True,True,False,False,False,,missing_positive_eps,121460896.0
AAT,ok,True,True,True,True,True,forecast_icc,,1667032448.0
AAUC,failed,True,True,False,False,False,,missing_positive_eps,3072620800.0
ABAT,failed,True,True,False,False,False,,missing_positive_eps,320799968.0
ABBV,ok,True,True,True,True,True,forecast_icc,,468498120704.0
ABCB,ok,True,True,True,True,True,forecast_icc,,5488701440.0
ABCL,failed,True,True,False,False,False,,missing_positive_eps,4099198976.0
ABEO,failed,True,True,False,False,False,,missing_positive_eps,310509184.0
ABEV,ok,True,True,True,True,True,forecast_icc,,44861976576.0
ABG,ok,True,True,True,True,True,forecast_icc,,3230267904.0
ABLV,failed,True,True,False,False,False,,missing_positive_eps,62951740.0
ABM,ok,True,True,True,True,True,forecast_icc,,2903767040.0
ABNB,ok,True,True,True,True,True,forecast_icc,,90650165248.0
ABOS,failed,True,True,False,False,False,,missing_positive_eps,161629136.0
ABR,ok,True,True,True,True,True,forecast_icc,,825104064.0
ABSI,failed,True,True,False,False,False,,missing_positive_eps,1775347072.0
