date,country,country_region,icc,vw_icc,method,n_candidates,n_selected,n_icc_available,coverage_mktcap,status,constituents,source_note
2026-05-04,United Kingdom,United Kingdom,0.08382008300137074,0.08382008300137074,ICC calculation,26,10,10,1.0,icc_calculation,"SHEL, ARM, UL, BTI, GSK, NGG, LYG, RELX, NWG, HLN",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Argentina,Argentina,0.24548466913111924,0.24548466913111924,Partial ADR ICC calculation,9,9,9,1.0,partial_adr_icc_calculation,"GGAL, BMA, BBAR, CEPU, LOMA, EDN, IRS, CRESY, SUPV",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Brazil,Brazil,0.10203990209694631,0.10203990209694631,Partial ADR ICC calculation,18,10,9,0.9298291397163089,partial_adr_icc_calculation,"PBR, SBS, VALE, ABEV, BBD, AXIA, VIV, TIMB, SUZ",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Chile,Chile,0.1715460623041977,0.1715460623041977,Partial ADR ICC calculation,4,4,4,1.0,partial_adr_icc_calculation,"BCH, BSAC, LTM, ENIC",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,China,China,0.2636526924903519,0.2636526924903519,Partial ADR ICC calculation,104,10,9,0.9429145352176674,partial_adr_icc_calculation,"NTES, BIDU, JD, BEKE, ZTO, LI, XPEV, HTHT, TME",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,France,France,0.11943080547186899,0.11943080547186899,Partial ADR ICC calculation,13,10,4,0.8971546752722643,partial_adr_icc_calculation,"SNY, NBTX, CRTO, VALN",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Hong Kong,Hong Kong,0.31010268410660585,0.31010268410660585,Partial ADR ICC calculation,7,7,6,0.9986753565896161,partial_adr_icc_calculation,"BABA, FUTU, SIMO, HCM, MLCO, UCL",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Israel,Israel,0.11695576759753847,0.11695576759753847,Partial ADR ICC calculation,16,10,4,0.9554214850027144,partial_adr_icc_calculation,"TEVA, NICE, BWAY, ALAR",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Japan,Japan,0.12736159033396974,0.12736159033396974,Partial ADR ICC calculation,14,10,7,0.9994808567119696,partial_adr_icc_calculation,"SMFG, SONY, MFG, TAK, IX, NMR, PAYP",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Mexico,Mexico,0.14645654906040176,0.14645654906040176,Partial ADR ICC calculation,7,7,6,0.9789614642285335,partial_adr_icc_calculation,"CX, VIST, OMAB, SIM, VTMX, AERO",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Singapore,Singapore,0.15990933635553164,0.15990933635553164,Partial ADR ICC calculation,12,10,6,0.9911489734336365,partial_adr_icc_calculation,"SE, TCOM, JOYY, TIGR, HDL, LITB",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,South Africa,South Africa,0.13895260141700447,0.13895260141700447,Partial ADR ICC calculation,4,4,4,1.0,partial_adr_icc_calculation,"GFI, SSL, SBSW, DRD",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,South Korea,South Korea,0.17001850937610358,0.17001850937610358,Partial ADR ICC calculation,6,6,5,0.9945760238077063,partial_adr_icc_calculation,"SHG, PKX, WF, LPL, DDI",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Australia,Australia,,,Unavailable,12,10,3,0.9854124959646149,unavailable,"BHP, TLX, MESO, ELVR, IONR, NVA, NVX, KZIA, IMMP, ATHE",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Belgium,Belgium,,,Unavailable,4,4,2,0.9832009758166494,unavailable,"BUD, GLPG, AGMB, MTLS",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Canada,Canada,,,Unavailable,1,1,0,0.0,unavailable,NICM,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Cayman Islands,Cayman Islands,,,Unavailable,1,1,0,0.0,unavailable,ANL,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Colombia,Colombia,,,Unavailable,1,1,1,1.0,unavailable,EC,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Denmark,Denmark,,,Unavailable,3,3,1,0.8682417810317766,unavailable,"GMAB, CDLR, EVAX",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Finland,Finland,,,Unavailable,1,1,1,1.0,unavailable,NOK,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Germany,Germany,,,Unavailable,8,8,3,0.8772927103104321,unavailable,"SAP, BNTX, FMS, LUXE, EVO, JMIA, TRVG, XCH",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,India,India,,,Unavailable,2,2,2,1.0,unavailable,"INFY, SIFY",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Ireland,Ireland,,,Unavailable,4,4,3,0.9999249322508635,unavailable,"PDD, RYAAY, AMRN, TRIB",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Italy,Italy,,,Unavailable,1,1,0,0.0,unavailable,GNTA,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Kazakhstan,Kazakhstan,,,Unavailable,1,1,1,1.0,unavailable,KSPI,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Luxembourg,Luxembourg,,,Unavailable,2,2,2,1.0,unavailable,"TS, TX",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Macau,Macau,,,Unavailable,1,1,0,0.0,unavailable,NWGL,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Netherlands,Netherlands,,,Unavailable,3,3,3,1.0,unavailable,"ARGX, PHAR, ZEPP",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Norway,Norway,,,Unavailable,1,1,1,1.0,unavailable,OPRA,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
