date,country,icc,n_candidates,n_selected,n_icc_available,coverage_mktcap,method,status
2026-07-17,Argentina,0.16722143944187487,7,5,5,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-17,Brazil,0.14155921726344395,10,9,9,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-17,Canada,0.0881481084775717,11,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-17,Chile,0.15596047810092473,5,3,3,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-17,China,0.30630200554393794,15,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-17,Colombia,0.088252568368297,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-17,France,0.10222941557098755,9,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-17,Germany,0.11563652021021638,10,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-17,India,0.09445007648154424,8,7,7,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-17,Israel,0.13653010280049985,7,4,4,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-17,Italy,0.06600020159950885,4,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-17,Japan,0.11523519042659994,9,9,9,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-17,Luxembourg,0.06427386255253104,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-17,Mexico,0.07426519731981353,8,5,5,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-17,Netherlands,0.08554282813776426,8,7,7,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-17,Peru,0.15662335286043183,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-17,Singapore,0.10823001610060287,4,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-17,South Africa,0.19211895832647535,4,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-17,South Korea,0.22084728766109354,6,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-17,Spain,0.10674211227084596,5,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-17,Switzerland,0.08541418467927998,6,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-17,Taiwan,0.09455650432658208,4,4,4,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-17,United Kingdom,0.0886133730090809,14,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
