date,country,icc,n_selected,n_icc_available,coverage_mktcap,method,status
2026-07-07,Argentina,0.1718332634963759,9,9,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,Brazil,0.1330607091203397,8,8,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,Canada,0.0900139758362411,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,Cayman Islands,0.127413427177588,7,5,0.9927467198068738,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,Chile,0.1251915863682098,5,5,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,China,0.3034430480107261,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,France,0.0976302351878949,10,7,0.9877185644012442,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,Germany,0.0990310563342757,10,8,0.9708522877324424,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,Greece,0.1378120465431498,3,3,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-07,Hong Kong,0.3815338448335837,10,7,0.9801752576405712,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,India,0.0948713561472345,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,Ireland,0.1240263161483668,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,Israel,0.0895622732425253,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,Italy,0.0789776035925112,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,Japan,0.1302483648193863,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,Luxembourg,0.171487655092038,5,5,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,Malaysia,0.0165297482799212,5,2,0.8685264162540577,Partial ADR estimate,partial_adr_estimate
2026-07-07,Mexico,0.0880666893637789,9,8,0.9999875606655082,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,Netherlands,0.077547404342268,8,7,0.9995050680954484,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,Singapore,0.0331480017796862,10,6,0.162260346529281,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,South Africa,0.129999972934456,5,5,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,South Korea,0.2351798481223955,8,8,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,Spain,0.1071032977437533,4,3,0.9998139357291967,Partial ADR estimate,partial_adr_estimate
2026-07-07,Sweden,0.0629577835392224,3,2,0.991691820458511,Partial ADR estimate,partial_adr_estimate
2026-07-07,Switzerland,0.090820496539618,8,6,0.9928487497397722,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,Taiwan,0.0929196476644568,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,United Arab Emirates,0.1004898475626926,4,2,0.6143524818596418,Partial ADR estimate,partial_adr_estimate
2026-07-07,United Kingdom,0.0839016444726961,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-07,United States,0.1056168109507111,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
