date,country,ticker,name,mktcap,icc,selected
2026-09-21,Argentina,YPF,YPF Sociedad Anonima,20850552832.0,0.0747040254554631,True
2026-09-21,Australia,BHP,BHP Group Limited,218795737088.0,0.0759289585916657,True
2026-09-21,Belgium,BUD,Anheuser-Busch Inbev SA Sponsor,153493585920.0,0.0795710829814509,True
2026-09-21,Bermuda,VIK,Viking Holdings Ltd,38433210368.0,0.1038099062066119,True
2026-09-21,Brazil,PBR,Petroleo Brasileiro S.A. Petrob,132947271680.0,0.1381610743497811,True
2026-09-21,Cambodia,FMFC,Kandal M Venture Limited,3731370.0,0.0466301842320944,True
2026-09-21,Canada,RY,Royal Bank Of Canada,285455581184.0,0.0913785071524546,True
2026-09-21,Cayman Islands,CRDO,Credo Technology Group Holding ,35197755392.0,0.1198605398869468,True
2026-09-21,Chile,BCH,Banco De Chile,21021655040.0,0.1051142760701785,True
2026-09-21,China,BABA,Alibaba Group Holding Limited,287710937088.0,0.3366325672803237,True
2026-09-21,Colombia,EC,Ecopetrol S.A.,34620256256.0,0.0885484069814349,True
2026-09-21,Costa Rica,LPA,Logistic Properties of the Amer,99850704.0,0.0471875920497691,True
2026-09-21,Cyprus,FRO,Frontline Plc,11088846848.0,0.1342946224058204,True
2026-09-21,Denmark,GMAB,Genmab A/S,21330968576.0,0.1055666595742777,True
2026-09-21,Finland,NOK,Nokia Corporation Sponsored,61249171456.0,0.0792920848341295,True
2026-09-21,France,LRLCY,L'Oreal Co.,234658889728.0,0.0593883601235586,True
2026-09-21,Germany,SIEGY,Siemens AG,245237022720.0,0.0823149161764725,True
2026-09-21,Greece,TEN,Tsakos Energy Navigation Ltd,1534097536.0,0.0714045968640501,True
2026-09-21,Guernsey,SGHC,Super Group (SGHC) Limited,6361121792.0,0.093856281574071,True
2026-09-21,Hong Kong,FUTU,Futu Holdings Limited,15989182464.0,0.3552910424900038,True
2026-09-21,India,HDB,HDFC Bank Limited,121534038016.0,0.0828534033088511,True
2026-09-21,Ireland,ETN,"Eaton Corporation, PLC",169121005568.0,0.065901533890384,True
2026-09-21,Israel,TEVA,Teva Pharmaceutical Industries ,46721683456.0,0.1295380876481261,True
2026-09-21,Italy,ISNPY,Intesa Sanpaolo S.p.A.,135759642624.0,0.134863815485693,True
2026-09-21,Japan,MUFG,"Mitsubishi UFJ Financial Group,",263610023936.0,0.0745131004741077,True
2026-09-21,Jersey,CSHR,CoinShares PLC,850970048.0,0.1844006362947753,True
2026-09-21,Jordan,IGIC,International General Insurance,1056980096.0,0.1605098971475876,True
2026-09-21,Luxembourg,MT,Arcelor Mittal NY Registry Shar,54582108160.0,0.2306776021784757,True
2026-09-21,Malaysia,TMDE,TMD Energy Limited,16504926.0,0.0727469529915466,True
2026-09-21,Mexico,AMX,"America Movil, S.A.B. de C.V.",67147616256.0,0.1017967390511968,True
2026-09-21,Netherlands,ASML,ASML Holding N.V. - New York Re,657318019072.0,0.0789687792567398,True
2026-09-21,New Zealand,SNSC,SunScout Holding Limited,46101000.0,0.0410046975898125,True
2026-09-21,Norway,OPRA,Opera Limited,1612072064.0,0.1490956293503895,True
2026-09-21,Panama,CPA,"Copa Holdings, S.A.",5596751360.0,0.1577192688747386,True
2026-09-21,Peru,BAP,Credicorp Ltd.,30971152384.0,0.1154236999329728,True
2026-09-21,Philippines,YDDL,One and One Green Technologies.,82369000.0,0.1654117235973041,True
2026-09-21,Singapore,STX,Seagate Technology Holdings PLC,199497580544.0,0.1534783741765411,True
2026-09-21,South Africa,GFI,Gold Fields Limited,37408747520.0,0.1507433575175994,True
2026-09-21,South Korea,SKHY,SK hynix Inc.,1340631941120.0,0.1781658451966848,True
2026-09-21,Spain,SAN,"Banco Santander, S.A. Sponsored",212117274624.0,0.1031018089386167,True
2026-09-21,Sweden,SPOT,Spotify Technology S.A.,106239754240.0,0.0617430628296176,True
2026-09-21,Switzerland,RHHBY,Roche Holding Ltd,352552976384.0,0.0719579194020111,True
2026-09-21,Taiwan,TSM,Taiwan Semiconductor Manufactur,2308707188736.0,0.0974876522288764,True
2026-09-21,Thailand,NIVF,NewGenIvf Group Limited,1537603.0,0.4,True
2026-09-21,Turkey,HEPS,D-Market Electronic Services & ,889490816.0,0.3640318024260932,True
2026-09-21,United Arab Emirates,VEON,VEON Ltd.,4797559296.0,0.1254858310481666,True
2026-09-21,United Kingdom,HSBC,"HSBC Holdings, plc.",353202044928.0,0.1030366126868668,True
2026-09-21,United States,BAM,Brookfield Asset Management Inc,73824968704.0,0.0922831636489399,True
2026-09-21,Uruguay,MELI,"MercadoLibre, Inc.",92292005888.0,0.0918106221119882,True
