ticker,country,market_cap,sector,yf_name,quote_type,name,exchange,source
CRESY,Argentina,773369472.0,Industrials,Cresud S.A.C.I.F. y A.,EQUITY,"Cresud S.A.C.I.F. y A. - American Depositary Shares, each representing ten shares of Common Stock",NASDAQ,nasdaq_trader_symbol_directories
ATHE,Australia,82632504.0,Healthcare,Alterity Therapeutics Limited,EQUITY,Alterity Therapeutics Limited - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories
AGMB,Belgium,526651264.0,Healthcare,AgomAb Therapeutics NV,EQUITY,AgomAb Therapeutics NV - ADRs representing one common share.,NASDAQ,nasdaq_trader_symbol_directories
BRBI,Brazil,417620416.0,Financial Services,BRBI BR Partners S.A.,EQUITY,BRBI BR Partners S.A. - ADSs,NASDAQ,nasdaq_trader_symbol_directories
NICM,Canada,129013272.0,Basic Materials,Nicola Mining Inc.,EQUITY,Nicola Mining Inc. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories
ANL,Cayman Islands,791380928.0,Healthcare,Adlai Nortye Ltd.,EQUITY,Adlai Nortye Ltd. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories
BCH,Chile,19072024576.0,Financial Services,Banco De Chile,EQUITY,Banco De Chile ADS,N,nasdaq_trader_symbol_directories
AACG,China,49484496.0,Consumer Defensive,ATA Creativity Global,EQUITY,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,nasdaq_trader_symbol_directories
EC,Colombia,29665695744.0,Energy,Ecopetrol S.A.,EQUITY,Ecopetrol S.A. American Depositary Shares,N,nasdaq_trader_symbol_directories
EVAX,Denmark,35445912.0,Healthcare,Evaxion A/S,EQUITY,Evaxion A/S - American Depositary Share,NASDAQ,nasdaq_trader_symbol_directories
NOK,Finland,57667575808.0,Technology,Nokia Corporation Sponsored,EQUITY,Nokia Corporation Sponsored American Depositary Shares,N,nasdaq_trader_symbol_directories
ABVX,France,8959903744.0,Healthcare,Abivax SA,EQUITY,Abivax SA - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories
BNTX,Germany,26694461440.0,Healthcare,BioNTech SE,EQUITY,BioNTech SE - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories
FUTU,Hong Kong,21615185920.0,Financial Services,Futu Holdings Limited,EQUITY,Futu Holdings Limited - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories
SIFY,India,1128666240.0,Communication Services,Sify Technologies Limited - Ame,EQUITY,Sify Technologies Limited - American Depository Shares,NASDAQ,nasdaq_trader_symbol_directories
AMRN,Ireland,305995072.0,Healthcare,Amarin Corporation plc,EQUITY,Amarin Corporation plc - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories
ALAR,Israel,51087780.0,Technology,Alarum Technologies Ltd.,EQUITY,Alarum Technologies Ltd. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories
GNTA,Italy,16558537.0,Healthcare,Genenta Science S.p.A.,EQUITY,Genenta Science S.p.A. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories
LAWR,Japan,172350000.0,Industrials,"Robot Consulting Co., Ltd.",EQUITY,"Robot Consulting Co., Ltd. - ADS",NASDAQ,nasdaq_trader_symbol_directories
KSPI,Kazakhstan,16171661312.0,Technology,Joint Stock Company Kaspi.kz - ,EQUITY,Joint Stock Company Kaspi.kz - American Depository Shares,NASDAQ,nasdaq_trader_symbol_directories
TS,Luxembourg,31616868352.0,Energy,Tenaris S.A.,EQUITY,Tenaris S.A. American Depositary Shares,N,nasdaq_trader_symbol_directories
NWGL,Macao,15559975.0,Basic Materials,CL Workshop Group Limited,EQUITY,CL Workshop Group Limited - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories
OMAB,Mexico,5509189120.0,Industrials,Grupo Aeroportuario del Centro ,EQUITY,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. - American Depositary Shares each representing 8 Series B shares,NASDAQ,nasdaq_trader_symbol_directories
ARGX,Netherlands,49242910720.0,Healthcare,argenx SE,EQUITY,argenx SE - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories
OPRA,Norway,1488421248.0,Communication Services,Opera Limited,EQUITY,Opera Limited - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories
CPAC,Peru,917861056.0,Basic Materials,Cementos Pacasmayo S.A.A.,EQUITY,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares),N,nasdaq_trader_symbol_directories
PHI,Philippines,4592592384.0,Communication Services,PLDT Inc. Sponsored,EQUITY,PLDT Inc. Sponsored ADR,N,nasdaq_trader_symbol_directories
AMBR,Singapore,221091696.0,Technology,Amber International Holding Lim,EQUITY,Amber International Holding Limited - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories
DRD,South Africa,2499840000.0,Basic Materials,DRDGOLD Limited,EQUITY,DRDGOLD Limited American Depositary Shares,N,nasdaq_trader_symbol_directories
