ticker,country,market_cap,sector,yf_name,quote_type,name,exchange,source,rank_in_country,ICC,mktcap,name_icc,sector_icc
GGAL,Argentina,7366141440.0,Financial Services,Grupo Financiero Galicia S.A.,EQUITY,"Grupo Financiero Galicia S.A. - American Depositary Shares, Class B Shares underlying",NASDAQ,nasdaq_trader_symbol_directories,1,0.30436085713437444,7366141440.0,Grupo Financiero Galicia S.A.,Financial Services
BMA,Argentina,4764097536.0,Financial Services,Banco Macro S.A.,EQUITY,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),N,nasdaq_trader_symbol_directories,2,0.4,4764097536.0,Banco Macro S.A.,Financial Services
BBAR,Argentina,2951220224.0,Financial Services,Banco BBVA Argentina S.A.,EQUITY,Banco BBVA Argentina S.A. ADS,N,nasdaq_trader_symbol_directories,3,0.20204927579788057,2951220224.0,Banco BBVA Argentina S.A.,Financial Services
CEPU,Argentina,2183799808.0,Utilities,Central Puerto S.A.,EQUITY,Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),N,nasdaq_trader_symbol_directories,4,0.08591369365988125,2183799808.0,Central Puerto S.A.,Utilities
LOMA,Argentina,1300000512.0,Basic Materials,Loma Negra Compania Industrial ,EQUITY,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS,N,nasdaq_trader_symbol_directories,5,0.15319398450500465,1300000512.0,Loma Negra Compania Industrial ,Basic Materials
IRS,Argentina,1203852672.0,Real Estate,IRSA Inversiones Y Representaci,EQUITY,IRSA Inversiones Y Representaciones S.A. Global Depositary Shares (Each representing ten shares of Common Stock),N,nasdaq_trader_symbol_directories,6,0.10594030593438897,1203852672.0,IRSA Inversiones Y Representaci,Real Estate
EDN,Argentina,1200296704.0,Utilities,Empresa Distribuidora Y Comerci,EQUITY,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,N,nasdaq_trader_symbol_directories,7,0.010000000000000002,1200296704.0,Empresa Distribuidora Y Comerci,Utilities
SUPV,Argentina,846793536.0,Financial Services,Grupo Supervielle S.A.,EQUITY,Grupo Supervielle S.A. American Depositary Shares each Representing five Class B shares,N,nasdaq_trader_symbol_directories,8,0.23216853380404523,846793536.0,Grupo Supervielle S.A.,Financial Services
CRESY,Argentina,773369472.0,Industrials,Cresud S.A.C.I.F. y A.,EQUITY,"Cresud S.A.C.I.F. y A. - American Depositary Shares, each representing ten shares of Common Stock",NASDAQ,nasdaq_trader_symbol_directories,9,0.02621110415103655,773369472.0,Cresud S.A.C.I.F. y A.,Industrials
BHP,Australia,202821140480.0,Basic Materials,BHP Group Limited,EQUITY,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),N,nasdaq_trader_symbol_directories,1,0.07373790504635125,202821140480.0,BHP Group Limited,Basic Materials
TLX,Australia,3452137984.0,Healthcare,Telix Pharmaceuticals Limited,EQUITY,Telix Pharmaceuticals Limited - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,2,0.09908533903556449,3452137984.0,Telix Pharmaceuticals Limited,Healthcare
MESO,Australia,2003879552.0,Healthcare,Mesoblast Limited,EQUITY,Mesoblast Limited - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,3,,,,
ELVR,Australia,1400606208.0,Basic Materials,Elevra Lithium Limited - Americ,EQUITY,Elevra Lithium Limited - American Depository Shares,NASDAQ,nasdaq_trader_symbol_directories,4,0.010000000000000002,1400606208.0,Elevra Lithium Limited - Americ,Basic Materials
IONR,Australia,309563584.0,Basic Materials,ioneer Ltd,EQUITY,ioneer Ltd - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,5,,,,
NVA,Australia,234138688.0,Basic Materials,Nova Minerals Limited,EQUITY,Nova Minerals Limited - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,6,,,,
NVX,Australia,159576272.0,Industrials,NOVONIX Limited - American Depo,EQUITY,NOVONIX Limited - American Depository Shares,NASDAQ,nasdaq_trader_symbol_directories,7,,,,
