ticker,country,market_cap,sector,yf_name,quote_type,name,exchange,source,company,country_final,rank_in_country,ICC,mktcap,name_icc,sector_icc,weight_mktcap,country_region
GGAL,Argentina,7366141440.0,Financial Services,Grupo Financiero Galicia S.A.,EQUITY,"Grupo Financiero Galicia S.A. - American Depositary Shares, Class B Shares underlying",NASDAQ,nasdaq_trader_symbol_directories,"Grupo Financiero Galicia S.A. - American Depositary Shares, Class B Shares underlying",Argentina,1,0.31482565535920004,6847613440.0,Grupo Financiero Galicia S.A.,Financial Services,6847613440.0,Argentina
BMA,Argentina,4764097536.0,Financial Services,Banco Macro S.A.,EQUITY,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),N,nasdaq_trader_symbol_directories,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),Argentina,2,0.4,4435450880.0,Banco Macro S.A.,Financial Services,4435450880.0,Argentina
BBAR,Argentina,2951220224.0,Financial Services,Banco BBVA Argentina S.A.,EQUITY,Banco BBVA Argentina S.A. ADS,N,nasdaq_trader_symbol_directories,Banco BBVA Argentina S.A. ADS,Argentina,3,0.20692776869744767,2820508672.0,Banco BBVA Argentina S.A.,Financial Services,2820508672.0,Argentina
CEPU,Argentina,2183799808.0,Utilities,Central Puerto S.A.,EQUITY,Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),N,nasdaq_trader_symbol_directories,Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),Argentina,4,0.08693790035022331,2143303424.0,Central Puerto S.A.,Utilities,2143303424.0,Argentina
LOMA,Argentina,1300000512.0,Basic Materials,Loma Negra Compania Industrial ,EQUITY,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS,N,nasdaq_trader_symbol_directories,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS,Argentina,5,0.15786969784669103,1221813760.0,Loma Negra Compania Industrial ,Basic Materials,1221813760.0,Argentina
IRS,Argentina,1203852672.0,Real Estate,IRSA Inversiones Y Representaci,EQUITY,IRSA Inversiones Y Representaciones S.A. Global Depositary Shares (Each representing ten shares of Common Stock),N,nasdaq_trader_symbol_directories,IRSA Inversiones Y Representaciones S.A. Global Depositary Shares (Each representing ten shares of Common Stock),Argentina,6,0.1088666858278261,1153794816.0,IRSA Inversiones Y Representaci,Real Estate,1153794816.0,Argentina
EDN,Argentina,1200296704.0,Utilities,Empresa Distribuidora Y Comerci,EQUITY,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,N,nasdaq_trader_symbol_directories,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,Argentina,7,0.010000000000000002,1157479936.0,Empresa Distribuidora Y Comerci,Utilities,1157479936.0,Argentina
SUPV,Argentina,846793536.0,Financial Services,Grupo Supervielle S.A.,EQUITY,Grupo Supervielle S.A. American Depositary Shares each Representing five Class B shares,N,nasdaq_trader_symbol_directories,Grupo Supervielle S.A. American Depositary Shares each Representing five Class B shares,Argentina,8,0.24299983454977225,751340224.0,Grupo Supervielle S.A.,Financial Services,751340224.0,Argentina
CRESY,Argentina,773369472.0,Industrials,Cresud S.A.C.I.F. y A.,EQUITY,"Cresud S.A.C.I.F. y A. - American Depositary Shares, each representing ten shares of Common Stock",NASDAQ,nasdaq_trader_symbol_directories,"Cresud S.A.C.I.F. y A. - American Depositary Shares, each representing ten shares of Common Stock",Argentina,9,0.025866751612867972,785398080.0,Cresud S.A.C.I.F. y A.,Industrials,785398080.0,Argentina
BHP,Australia,202821140480.0,Basic Materials,BHP Group Limited,EQUITY,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),N,nasdaq_trader_symbol_directories,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Australia,1,0.0786347993199491,197816680448.0,BHP Group Limited,Basic Materials,197816680448.0,Australia
