date,ticker,label,category,icc,coverage_weight,n_holdings,n_matched,method,holding_source,status
2026-08-19,SPY,SPDR S&P 500 ETF Trust,Broad Market,0.0731679373987992,0.49849999999999994,25,24,Partial holdings estimate,stockanalysis_full_holdings,partial_holdings
2026-08-19,IVV,iShares Core S&P 500 ETF,Broad Market,0.07316715041971296,0.49539999999999995,25,24,Partial holdings estimate,stockanalysis_full_holdings,partial_holdings
2026-08-19,VOO,Vanguard S&P 500 ETF,Broad Market,0.07211589773112467,0.4894,25,24,Partial holdings estimate,stockanalysis_full_holdings,partial_holdings
2026-08-19,VTI,Vanguard Total Stock Market ETF,Broad Market,0.07220568819687691,0.4476,25,24,Partial holdings estimate,stockanalysis_full_holdings,partial_holdings
2026-08-19,QQQ,Invesco QQQ Trust,Growth / Nasdaq,0.07038752234323135,0.6567000000000001,25,24,Partial holdings estimate,stockanalysis_full_holdings,partial_holdings
2026-08-19,DIA,SPDR Dow Jones Industrial Average ETF,Index,0.06489626079302029,0.8881000000000001,25,23,ICC calculation,stockanalysis_full_holdings,ok_full_holdings
2026-08-19,IWM,iShares Russell 2000 ETF,Small Cap,0.054908969023513436,0.058800000000000005,25,20,Partial holdings estimate,stockanalysis_full_holdings,partial_holdings
2026-08-19,IJR,iShares Core S&P Small-Cap ETF,Small Cap,0.06787246647382134,0.10289999999999999,25,22,Partial holdings estimate,stockanalysis_full_holdings,partial_holdings
2026-08-19,MDY,SPDR S&P MidCap 400 ETF Trust,Mid Cap,0.061295917389640596,0.1332,24,20,Partial holdings estimate,stockanalysis_full_holdings,partial_holdings
2026-08-19,VUG,Vanguard Growth ETF,Style,0.07466383582498806,0.7728,25,25,ICC calculation,stockanalysis_full_holdings,ok_full_holdings
2026-08-19,VTV,Vanguard Value ETF,Style,0.06611078808050581,0.33360000000000006,25,23,Partial holdings estimate,stockanalysis_full_holdings,partial_holdings
2026-08-19,IWF,iShares Russell 1000 Growth ETF,Style,0.08171748987770008,0.6941,25,23,Partial holdings estimate,stockanalysis_full_holdings,partial_holdings
2026-08-19,IWD,iShares Russell 1000 Value ETF,Style,0.057848876068911134,0.4066,25,25,Partial holdings estimate,stockanalysis_full_holdings,partial_holdings
2026-08-19,XLK,Technology Select Sector SPDR Fund,Sector,0.08684237577589832,0.773,25,22,ICC calculation,stockanalysis_full_holdings,ok_full_holdings
2026-08-19,XLF,Financial Select Sector SPDR Fund,Sector,0.06891874051951273,0.7741000000000001,25,25,ICC calculation,stockanalysis_full_holdings,ok_full_holdings
2026-08-19,XLV,Health Care Select Sector SPDR Fund,Sector,0.07643342729513333,0.8517000000000001,25,25,ICC calculation,stockanalysis_full_holdings,ok_full_holdings
2026-08-19,XLY,Consumer Discretionary Select Sector SPDR Fund,Sector,0.05062163350567784,0.8001,25,22,ICC calculation,stockanalysis_full_holdings,ok_full_holdings
2026-08-19,XLP,Consumer Staples Select Sector SPDR Fund,Sector,0.055847845448717785,0.8486000000000001,25,22,ICC calculation,stockanalysis_full_holdings,ok_full_holdings
2026-08-19,XLE,Energy Select Sector SPDR Fund,Sector,0.06718685934062044,0.9978999999999999,24,21,ICC calculation,stockanalysis_full_holdings,ok_full_holdings
2026-08-19,XLI,Industrial Select Sector SPDR Fund,Sector,0.059551333220009,0.6478,25,25,Partial holdings estimate,stockanalysis_full_holdings,partial_holdings
2026-08-19,XLB,Materials Select Sector SPDR Fund,Sector,0.08603525617287094,0.9974999999999999,25,25,ICC calculation,stockanalysis_full_holdings,ok_full_holdings
2026-08-19,XLU,Utilities Select Sector SPDR Fund,Sector,0.07138733485133222,0.9209,25,25,ICC calculation,stockanalysis_full_holdings,ok_full_holdings
2026-08-19,XLRE,Real Estate Select Sector SPDR Fund,Sector,0.043639875470420315,0.8876999999999999,25,23,ICC calculation,stockanalysis_full_holdings,ok_full_holdings
2026-08-19,XLC,Communication Services Select Sector SPDR Fund,Sector,0.07510652790988347,0.9891000000000001,23,22,ICC calculation,stockanalysis_full_holdings,ok_full_holdings
2026-08-19,SMH,VanEck Semiconductor ETF,Theme,0.10043892596289787,0.9054000000000002,25,23,ICC calculation,stockanalysis_full_holdings,ok_full_holdings
2026-08-19,XBI,SPDR S&P Biotech ETF,Theme,0.07037195771132916,0.1005,25,8,Partial holdings estimate,stockanalysis_full_holdings,partial_holdings
