symbol,weight,name_x,holding_source,ticker,ICC,mktcap,name_y,sector,etf,etf_label
NVDA,0.15761615369535384,NVIDIA Corporation,stockanalysis_full_holdings,NVDA,0.10811743820434627,4852250312704.0,NVIDIA Corporation,Technology,SPY,SPDR S&P 500 ETF Trust
AAPL,0.12860223485591063,Apple Inc.,stockanalysis_full_holdings,AAPL,0.0458718420471306,4014264025088.0,Apple Inc.,Technology,SPY,SPDR S&P 500 ETF Trust
MSFT,0.10311703587531858,Microsoft Corporation,stockanalysis_full_holdings,MSFT,0.0643197322531511,3090011127808.0,Microsoft Corporation,Technology,SPY,SPDR S&P 500 ETF Trust
AMZN,0.07998431680062734,"Amazon.com, Inc.",stockanalysis_full_holdings,AMZN,0.0679947311316784,2743194615808.0,"Amazon.com, Inc.",Consumer Cyclical,SPY,SPDR S&P 500 ETF Trust
AVGO,0.06430111742795531,Broadcom Inc.,stockanalysis_full_holdings,AVGO,0.1371656141209647,1988276649984.0,Broadcom Inc.,Technology,SPY,SPDR S&P 500 ETF Trust
GOOGL,0.06332091746716333,Alphabet Inc.,stockanalysis_full_holdings,GOOGL,0.0601531931043571,4099552575488.0,Alphabet Inc.,Communication Services,SPY,SPDR S&P 500 ETF Trust
GOOG,0.050578317976867286,Alphabet Inc.,stockanalysis_full_holdings,GOOG,0.0597020261385529,4085761966080.0,Alphabet Inc.,Communication Services,SPY,SPDR S&P 500 ETF Trust
META,0.04724563811017448,"Meta Platforms, Inc.",stockanalysis_full_holdings,META,0.0727607445502462,1673201713152.0,"Meta Platforms, Inc.",Communication Services,SPY,SPDR S&P 500 ETF Trust
TSLA,0.034895118604195266,"Tesla, Inc.",stockanalysis_full_holdings,TSLA,0.02274929981837165,1403589099520.0,"Tesla, Inc.",Consumer Cyclical,SPY,SPDR S&P 500 ETF Trust
BRK-B,0.027445598902176044,Berkshire Hathaway Inc.,stockanalysis_full_holdings,BRK-B,0.0470223263223999,1014915596288.0,Berkshire Hathaway Inc. New,Financial Services,SPY,SPDR S&P 500 ETF Trust
JPM,0.027053518917859246,JPMorgan Chase & Co.,stockanalysis_full_holdings,JPM,0.0722943453958092,835173351424.0,JP Morgan Chase & Co.,Financial Services,SPY,SPDR S&P 500 ETF Trust
LLY,0.023328759066849638,Eli Lilly and Company,stockanalysis_full_holdings,LLY,0.0785131763624115,819789496320.0,Eli Lilly and Company,Healthcare,SPY,SPDR S&P 500 ETF Trust
XOM,0.019996079200156835,Exxon Mobil Corporation,stockanalysis_full_holdings,XOM,0.0549862740093251,625686872064.0,Exxon Mobil Corporation,Energy,SPY,SPDR S&P 500 ETF Trust
WMT,0.018231719270731233,Walmart Inc.,stockanalysis_full_holdings,WMT,0.04044647592199724,1052596305920.0,Walmart Inc.,Consumer Defensive,SPY,SPDR S&P 500 ETF Trust
MU,0.017643599294256032,"Micron Technology, Inc.",stockanalysis_full_holdings,MU,0.3017523448119107,543252021248.0,"Micron Technology, Inc.",Technology,SPY,SPDR S&P 500 ETF Trust
JNJ,0.017447559302097633,Johnson & Johnson,stockanalysis_full_holdings,JNJ,0.0706822556616386,555546574848.0,Johnson & Johnson,Healthcare,SPY,SPDR S&P 500 ETF Trust
V,0.016859439325622432,Visa Inc.,stockanalysis_full_holdings,V,0.0648539254255643,595532840960.0,Visa Inc.,Financial Services,SPY,SPDR S&P 500 ETF Trust
AMD,0.015879239364830433,"Advanced Micro Devices, Inc.",stockanalysis_full_holdings,AMD,0.1251230060534719,497813323776.0,"Advanced Micro Devices, Inc.",Technology,SPY,SPDR S&P 500 ETF Trust
COST,0.014310919427563224,Costco Wholesale Corporation,stockanalysis_full_holdings,COST,0.0342627765524331,450032271360.0,Costco Wholesale Corporation,Consumer Defensive,SPY,SPDR S&P 500 ETF Trust
MA,0.013330719466771224,Mastercard Incorporated,stockanalysis_full_holdings,MA,0.0670191652285051,448342851584.0,Mastercard Incorporated,Financial Services,SPY,SPDR S&P 500 ETF Trust
NFLX,0.012546559498137622,"Netflix, Inc.",stockanalysis_full_holdings,NFLX,0.04439716574655439,390846316544.0,"Netflix, Inc.",Communication Services,SPY,SPDR S&P 500 ETF Trust
CAT,0.01215447951382082,Caterpillar Inc.,stockanalysis_full_holdings,CAT,0.063996832775995,388626579456.0,"Caterpillar, Inc.",Industrials,SPY,SPDR S&P 500 ETF Trust
ABBV,0.011370319545187219,AbbVie Inc.,stockanalysis_full_holdings,ABBV,0.1020824433628721,355432792064.0,AbbVie Inc.,Healthcare,SPY,SPDR S&P 500 ETF Trust
BAC,0.011370319545187219,Bank of America Corporation,stockanalysis_full_holdings,BAC,0.1049164154224203,374106292224.0,Bank of America Corporation,Financial Services,SPY,SPDR S&P 500 ETF Trust
CSCO,0.011370319545187219,"Cisco Systems, Inc.",stockanalysis_full_holdings,CSCO,0.0626506195663776,349921017856.0,"Cisco Systems, Inc.",Technology,SPY,SPDR S&P 500 ETF Trust
NVDA,0.08025987006496751,NVIDIA CORP,ishares_full_holdings,,,,,,IVV,iShares Core S&P 500 ETF
