family,label,date,value,method,source,n_items,coverage_weight,status
Basic Materials,Basic Materials,2026-04-17,0.08117220112366844,ICC calculation,Constituent ICC aggregation,167,,available
Communication Services,Communication Services,2026-04-17,0.06822541150716326,ICC calculation,Constituent ICC aggregation,124,,available
Consumer Cyclical,Consumer Cyclical,2026-04-17,0.09358116414266184,ICC calculation,Constituent ICC aggregation,334,,available
Consumer Defensive,Consumer Defensive,2026-04-17,0.0736365246117874,ICC calculation,Constituent ICC aggregation,135,,available
Energy,Energy,2026-04-17,0.08279438338487694,ICC calculation,Constituent ICC aggregation,187,,available
Financial Services,Financial Services,2026-04-17,0.08921223925838043,ICC calculation,Constituent ICC aggregation,515,,available
Healthcare,Healthcare,2026-04-17,0.09350474615779983,ICC calculation,Constituent ICC aggregation,256,,available
Industrials,Industrials,2026-04-17,0.06902784336734938,ICC calculation,Constituent ICC aggregation,383,,available
Real Estate,Real Estate,2026-04-17,0.05727034701546847,ICC calculation,Constituent ICC aggregation,164,,available
Technology,Technology,2026-04-17,0.08106303961069243,ICC calculation,Constituent ICC aggregation,376,,available
Utilities,Utilities,2026-04-17,0.07752876833620392,ICC calculation,Constituent ICC aggregation,80,,available
