country,ticker,label,vw_icc,coverage_weight,n_holdings,n_matched,holding_source,status
Australia,EWA,Australia Equity Proxy,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
Brazil,EWZ,Brazil Equity Proxy,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
Canada,EWC,Canada Equity Proxy,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
China,MCHI,China Equity Proxy,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
France,EWQ,France Equity Proxy,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
Germany,EWG,Germany Equity Proxy,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
India,INDA,India Equity Proxy,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
Japan,EWJ,Japan Equity Proxy,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
United Kingdom,EWU,UK Equity Proxy,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
United States,SPY,US Equity Proxy,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
