date,ticker,label,category,vw_icc,coverage_weight,n_items,n_matched,source,status,country,yyyymm
2026-04-16,EWA,iShares MSCI Australia ETF,,0.0457663599862884,,,,yfinance_pe_ratio_proxy,ok_yfinance_proxy,,2026-04
2026-04-16,EWC,iShares MSCI Canada ETF,,0.0497017892644135,,,,official_page_pe_ratio_proxy,ok_page_proxy,,2026-04
2026-04-17,EWG,iShares MSCI Germany ETF,,0.057175528873642086,,,,official_page_pe_ratio_proxy,ok_page_proxy,Germany,2026-04
2026-04-16,EWH,iShares MSCI Hong Kong ETF,,0.0542955960842016,,,,yfinance_pe_ratio_proxy,ok_yfinance_proxy,,2026-04
2026-04-17,EWJ,iShares MSCI Japan ETF,,0.04957858205255329,,,,official_page_pe_ratio_proxy,ok_page_proxy,Japan,2026-04
2026-04-16,EWQ,iShares MSCI France ETF,,0.0529582224763275,,,,yfinance_pe_ratio_proxy,ok_yfinance_proxy,,2026-04
2026-04-16,EWU,iShares MSCI United Kingdom ETF,,0.0576036866359447,,,,official_page_pe_ratio_proxy,ok_page_proxy,,2026-04
2026-04-16,EWZ,iShares MSCI Brazil ETF,,0.0819000819000819,,,,official_page_pe_ratio_proxy,ok_page_proxy,,2026-04
2026-04-17,INDA,iShares MSCI India ETF,,0.04084967320261438,,,,official_page_pe_ratio_proxy,ok_page_proxy,India,2026-04
2026-04-17,MCHI,iShares MSCI China ETF,,0.07032348804500703,,,,official_page_pe_ratio_proxy,ok_page_proxy,China,2026-04
