ticker,label,category,vw_icc,coverage_weight,n_holdings,n_matched,holding_source,status
IWF,iShares Russell 1000 Growth ETF,Growth,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
VUG,Vanguard Growth ETF,Growth,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
QQQ,Invesco QQQ ETF,Growth / Tech,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
SPY,SPDR S&P 500 ETF,Market,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
XLE,Energy Select Sector SPDR,Sector,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
XLF,Financial Select Sector SPDR,Sector,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
XLI,Industrial Select Sector SPDR,Sector,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
XLK,Technology Select Sector SPDR,Sector,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
XLV,Health Care Select Sector SPDR,Sector,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
IWM,iShares Russell 2000 ETF,Small Cap,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
IWD,iShares Russell 1000 Value ETF,Value,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
VTV,Vanguard Value ETF,Value,,0.0,10,0,yfinance_top_holdings,no_matched_holdings
