date,country,icc,method,n_candidates,n_selected,n_icc_available,coverage_mktcap,status,source_file,country_region,vw_icc,constituents,source_note
2026-05-04,Argentina,0.2454846691311192,Partial ADR ICC calculation,9,9,9,1.0,partial_adr_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Argentina,0.2454846691311192,"GGAL, BMA, BBAR, CEPU, LOMA, EDN, IRS, CRESY, SUPV",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Australia,,Unavailable,12,10,3,0.9854124959646148,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Australia,,"BHP, TLX, MESO, ELVR, IONR, NVA, NVX, KZIA, IMMP, ATHE",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Belgium,,Unavailable,4,4,2,0.9832009758166494,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Belgium,,"BUD, GLPG, AGMB, MTLS",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Brazil,0.1020399020969463,Partial ADR ICC calculation,18,10,9,0.9298291397163088,partial_adr_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Brazil,0.1020399020969463,"PBR, SBS, VALE, ABEV, BBD, AXIA, VIV, TIMB, SUZ",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Canada,,Unavailable,1,1,0,0.0,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Canada,,NICM,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Cayman Islands,,Unavailable,1,1,0,0.0,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Cayman Islands,,ANL,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Chile,0.1715460623041977,Partial ADR ICC calculation,4,4,4,1.0,partial_adr_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Chile,0.1715460623041977,"BCH, BSAC, LTM, ENIC",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,China,0.2636526924903519,Partial ADR ICC calculation,104,10,9,0.9429145352176674,partial_adr_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,China,0.2636526924903519,"NTES, BIDU, JD, BEKE, ZTO, LI, XPEV, HTHT, TME",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Colombia,,Unavailable,1,1,1,1.0,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Colombia,,EC,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Denmark,,Unavailable,3,3,1,0.8682417810317766,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Denmark,,"GMAB, CDLR, EVAX",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
