date,country,icc,method,n_candidates,n_selected,n_icc_available,coverage_mktcap,status,source_file
2026-05-05,Argentina,0.2096486155287937,ADR Top-10 ICC calculation,17,17,8,1.0,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Australia,0.0815120654566887,ADR Top-10 ICC calculation,121,25,5,0.9948637101741042,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Austria,0.1286275193071477,ADR Top-10 ICC calculation,20,20,4,1.0,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Bahrain,,Unavailable,3,3,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Bangladesh,,Unavailable,1,1,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Belgium,0.0874888044728072,ADR Top-10 ICC calculation,26,25,5,0.9977886475232822,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Bermuda,,Unavailable,4,4,1,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Bolivia,,Unavailable,1,1,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Brazil,0.1186997562942446,ADR Top-10 ICC calculation,71,25,10,0.9759647949885688,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Cambodia,,Unavailable,1,1,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Canada,0.093485800214148,ADR Top-10 ICC calculation,56,25,10,0.967181265435782,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Cayman Islands,0.1147080309022644,Partial ADR estimate,5,5,2,0.9987632869146946,partial_adr_composite,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Chile,0.130555779323255,ADR Top-10 ICC calculation,5,5,5,1.0,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,China,0.3049328490899632,ADR Top-10 ICC calculation,311,25,10,0.8936553330096694,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Colombia,0.1041263536345365,Partial ADR estimate,7,7,2,1.0,partial_adr_composite,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Cyprus,,Unavailable,1,1,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Czech Republic,,Unavailable,2,2,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Denmark,0.1554382528602023,ADR Top-10 ICC calculation,34,25,10,0.9315063828999556,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Egypt,,Unavailable,13,13,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Faroe Islands,,Unavailable,1,1,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Finland,0.131757315586994,ADR Top-10 ICC calculation,27,25,8,1.0,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,France,0.0912308559108443,ADR Top-10 ICC calculation,102,25,10,0.9774543040517788,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Germany,0.100815278421024,ADR Top-10 ICC calculation,117,25,10,0.9238132156869384,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Gibraltar,,Unavailable,2,2,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Greece,0.1210472043818177,Partial ADR estimate,22,22,2,0.9604594000378466,partial_adr_composite,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Hong Kong,,Unavailable,163,25,1,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Hungary,,Unavailable,6,6,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Iceland,,Unavailable,1,1,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,India,0.0959811910013434,ADR Top-10 ICC calculation,73,25,7,1.0,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Indonesia,0.3969942153104492,Partial ADR estimate,46,25,2,1.0,partial_adr_composite,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Ireland,0.1001666632788933,ADR Top-10 ICC calculation,19,19,6,1.0,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Isle of Man,,Unavailable,1,1,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Israel,0.0812143055445453,ADR Top-10 ICC calculation,41,25,10,0.9557668891987802,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Italy,0.0887596798830733,ADR Top-10 ICC calculation,49,25,6,1.0,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Japan,0.1018815367070662,ADR Top-10 ICC calculation,364,25,10,0.9961966143147668,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Jersey,,Unavailable,3,3,1,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Jordan,,Unavailable,2,2,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Kazakhstan,,Unavailable,13,13,1,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Korea,,Unavailable,15,15,1,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Latvia,,Unavailable,1,1,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Lebanon,,Unavailable,5,5,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Lithuania,,Unavailable,2,2,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Luxembourg,0.1073741324021906,ADR Top-10 ICC calculation,18,18,5,1.0,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
2026-05-05,Macau,,Unavailable,3,3,0,,insufficient_adr_icc,data/derived/country_adr/202605/country_adr_icc_2026_05_05.csv
