country,month,month_end_date,icc,method,n_candidates,n_selected,n_icc_available,coverage_mktcap,status,source_file
Argentina,2026-05,2026-05-14,0.2114196902130185,ADR Top-10 ICC calculation,,9,9,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Argentina,2026-04,2026-04-23,0.242903044114228,Partial ADR estimate,9.0,9,9,1.0,partial_adr_estimate,data/derived/country_adr/202604/country_adr_icc_2026_04_23.csv
Austria,2026-05,2026-05-07,0.1250395921540232,ADR Top-10 ICC calculation,20.0,20,4,1.0,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_0507.csv
Brazil,2026-05,2026-05-14,0.1306243849643534,ADR Top-10 ICC calculation,,8,8,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Brazil,2026-04,2026-04-23,0.1314923254795482,Partial ADR estimate,18.0,10,9,0.9157737193433296,partial_adr_estimate,data/derived/country_adr/202604/country_adr_icc_2026_04_23.csv
Canada,2026-05,2026-05-14,0.0945032446226136,ADR Top-10 ICC calculation,,10,10,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Cayman Islands,2026-05,2026-05-14,0.1502679824144356,ADR Top-10 ICC calculation,,6,4,0.994138042696644,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Chile,2026-05,2026-05-14,0.1179354702054269,ADR Top-10 ICC calculation,,5,5,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
China,2026-05,2026-05-14,0.2530326150371094,ADR Top-10 ICC calculation,,10,9,0.945457559394351,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
China,2026-04,2026-04-23,0.2696887669370765,Partial ADR estimate,104.0,10,9,0.9417226320327968,partial_adr_estimate,data/derived/country_adr/202604/country_adr_icc_2026_04_23.csv
Colombia,2026-05,2026-05-12,0.1115959549589234,ADR Top-10 ICC calculation,,4,4,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_12.csv
Cyprus,2026-05,2026-05-12,0.100125146408289,Partial ADR estimate,,3,2,0.9988504863497564,partial_adr_estimate,data/derived/country_adr/202605/country_adr_icc_2026_05_12.csv
Finland,2026-05,2026-05-12,0.0713811926636335,Partial ADR estimate,,2,2,1.0,partial_adr_estimate,data/derived/country_adr/202605/country_adr_icc_2026_05_12.csv
France,2026-05,2026-05-14,0.0985908957002949,ADR Top-10 ICC calculation,,10,7,0.9890123852337755,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Germany,2026-05,2026-05-14,0.1001956900951685,ADR Top-10 ICC calculation,,10,8,0.9718465305496112,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Greece,2026-05,2026-05-14,0.1279353480206582,Partial ADR estimate,,3,3,1.0,partial_adr_estimate,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Guernsey,2026-05,2026-05-12,0.0900799374185076,Partial ADR estimate,,2,2,1.0,partial_adr_estimate,data/derived/country_adr/202605/country_adr_icc_2026_05_12.csv
Hong Kong,2026-05,2026-05-14,0.2964605197386797,ADR Top-10 ICC calculation,,10,7,0.9988787711759236,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Hong Kong,2026-04,2026-04-23,0.31086076193229,Partial ADR estimate,7.0,7,6,0.998649966429188,partial_adr_estimate,data/derived/country_adr/202604/country_adr_icc_2026_04_23.csv
India,2026-05,2026-05-14,0.0974353286587162,ADR Top-10 ICC calculation,,6,6,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Indonesia,2026-05,2026-05-07,0.397959499086463,Partial ADR estimate,46.0,25,2,1.0,partial_adr_composite,data/derived/country_adr/202605/country_adr_icc_2026_0507.csv
Ireland,2026-05,2026-05-14,0.1265825041212008,ADR Top-10 ICC calculation,,10,10,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Israel,2026-05,2026-05-14,0.0818372092614984,ADR Top-10 ICC calculation,,10,10,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Italy,2026-05,2026-05-14,0.0891778136780615,ADR Top-10 ICC calculation,,5,5,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Japan,2026-05,2026-05-14,0.078589267904848,ADR Top-10 ICC calculation,,10,10,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Japan,2026-04,2026-04-23,0.1314893357567844,Partial ADR estimate,14.0,10,7,0.9994744801882716,partial_adr_estimate,data/derived/country_adr/202604/country_adr_icc_2026_04_23.csv
Luxembourg,2026-05,2026-05-14,0.1698286730217553,ADR Top-10 ICC calculation,,5,5,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
