date,ticker,label,category,icc,coverage_weight,n_holdings_total,n_holdings_matched,method,holding_source,status,source_file,n_holdings,n_matched
2026-05-07,DIA,SPDR Dow Jones Industrial Average ETF,Large Blend,0.1098849482666086,0.9939663192731826,,,ICC calculation,spdr_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_07.csv,30.0,28.0
2026-05-07,IJR,iShares Core S&P Small-Cap ETF,Small Blend,0.0925736916550751,0.7674184217221578,,,ICC calculation,ishares_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_07.csv,607.0,464.0
2026-05-07,IVV,iShares Core S&P 500 ETF,Large Blend,0.0808944874249586,0.8635905875027401,,,ICC calculation,ishares_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_07.csv,506.0,440.0
2026-05-07,IWD,iShares Russell 1000 Value ETF,Large Value,0.071774123200583,0.847761654257256,,,ICC calculation,ishares_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_07.csv,321.0,268.0
2026-05-07,IWF,iShares Russell 1000 Growth ETF,Large Growth,0.081227667160871,0.8670915757162344,,,ICC calculation,ishares_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_07.csv,901.0,776.0
2026-05-07,IWM,iShares Russell 2000 ETF,Small Blend,0.0891569144327923,0.6511215117251734,,,Partial holdings estimate,ishares_full_holdings,ok_partial_holdings,data/derived/etf/202605/etf_icc_2026_05_07.csv,1663.0,1013.0
2026-05-07,MDY,SPDR S&P MidCap 400 ETF,Mid Blend,0.0839378225479877,0.8513464959826891,,,ICC calculation,spdr_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_07.csv,400.0,342.0
2026-05-07,QQQ,Invesco QQQ Trust,Large Growth,0.0661515435138537,0.3112622383772058,,,Partial holdings estimate,stockanalysis_full_holdings,ok_partial_holdings,data/derived/etf/202605/etf_icc_2026_05_07.csv,25.0,16.0
2026-05-07,SMH,VanEck Semiconductor ETF,Industry,0.0953013525684269,0.5932169076514902,,,Partial holdings estimate,stockanalysis_full_holdings,ok_partial_holdings,data/derived/etf/202605/etf_icc_2026_05_07.csv,25.0,17.0
2026-05-07,SPY,SPDR S&P 500 ETF Trust,Large Blend,0.0799027624497263,0.8879509511193553,,,ICC calculation,spdr_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_07.csv,503.0,440.0
