date,ticker,label,category,icc,coverage_weight,n_holdings_total,n_holdings_matched,method,holding_source,status,source_file,n_holdings,n_matched
2026-05-06,DIA,SPDR Dow Jones Industrial Average ETF,Large Blend,0.1098923212699891,0.994072065948451,,,ICC calculation,spdr_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,30.0,28.0
2026-04-23,EEM,iShares MSCI Emerging Markets ETF,Emerging markets,0.2449245886251108,0.5895953757225434,3.0,2.0,Partial holdings estimate,stockanalysis_full_holdings,partial_holdings,data/derived/etf/202604/etf_icc_2026_04_23.csv,,
2026-04-23,EFA,iShares MSCI EAFE ETF,International equity,0.0964356901413256,0.2647176611934321,690.0,97.0,Partial holdings estimate,ishares_full_holdings,partial_holdings,data/derived/etf/202604/etf_icc_2026_04_23.csv,,
2026-04-23,EWG,iShares MSCI Germany ETF,Country ETF,0.1110726942335507,0.3868226354729053,57.0,12.0,Partial holdings estimate,ishares_full_holdings,partial_holdings,data/derived/etf/202604/etf_icc_2026_04_23.csv,,
2026-04-23,EWJ,iShares MSCI Japan ETF,Country ETF,,0.0,10.0,0.0,Unavailable,yfinance_top_holdings,unavailable,data/derived/etf/202604/etf_icc_2026_04_23.csv,,
2026-04-23,EWZ,iShares MSCI Brazil ETF,Country ETF,0.1534075368314095,0.8918705603788477,4.0,3.0,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202604/etf_icc_2026_04_23.csv,,
2026-05-06,IJR,iShares Core S&P Small-Cap ETF,Small Blend,0.0921795887298775,0.7697100782848743,,,ICC calculation,ishares_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,607.0,464.0
2026-04-23,INDA,iShares MSCI India ETF,Country ETF,0.0895170422166877,0.0393511565034544,164.0,3.0,Partial holdings estimate,ishares_full_holdings,partial_holdings,data/derived/etf/202604/etf_icc_2026_04_23.csv,,
2026-05-06,IVV,iShares Core S&P 500 ETF,Large Blend,0.0794153630890902,0.8632062184889908,,,ICC calculation,ishares_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,506.0,439.0
2026-04-23,IWB,iShares Russell 1000 ETF,US equity,0.0765544817747846,1.0,25.0,25.0,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202604/etf_icc_2026_04_23.csv,,
2026-05-06,IWD,iShares Russell 1000 Value ETF,Large Value,0.0696613493874483,0.8464034927758002,,,ICC calculation,ishares_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,322.0,268.0
2026-05-06,IWF,iShares Russell 1000 Growth ETF,Large Growth,0.080036226864689,0.8671115527557713,,,ICC calculation,ishares_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,903.0,780.0
2026-05-06,IWM,iShares Russell 2000 ETF,Small Blend,0.0896301180945039,0.651492560922468,,,Partial holdings estimate,ishares_full_holdings,ok_partial_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,1670.0,1018.0
2026-04-23,MCHI,iShares MSCI China ETF,Country ETF,0.3334643704006036,1.0,1.0,1.0,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202604/etf_icc_2026_04_23.csv,,
2026-05-06,MDY,SPDR S&P MidCap 400 ETF,Mid Blend,0.0828753071346173,0.8551854646013741,,,ICC calculation,spdr_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,400.0,343.0
2026-05-06,QQQ,Invesco QQQ Trust,Large Growth,0.0642720437388977,0.59377235677007,,,Partial holdings estimate,stockanalysis_full_holdings,ok_partial_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,25.0,17.0
2026-05-06,SMH,VanEck Semiconductor ETF,Industry,0.088786492868142,0.5919401364599189,,,Partial holdings estimate,stockanalysis_full_holdings,ok_partial_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,25.0,17.0
2026-05-06,SPY,SPDR S&P 500 ETF Trust,Large Blend,0.078551617112692,0.887719499245968,,,ICC calculation,spdr_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,504.0,441.0
2026-05-06,VOO,Vanguard S&P 500 ETF,Large Blend,0.0816440804347007,0.8197618402432783,,,ICC calculation,stockanalysis_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,25.0,20.0
2026-05-06,VTI,Vanguard Total Stock Market ETF,Total Market,0.0761318035683973,0.8787954507594689,,,ICC calculation,stockanalysis_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,25.0,21.0
2026-05-06,VTV,Vanguard Value ETF,Large Value,0.0845711878419853,0.9514090451166716,,,ICC calculation,stockanalysis_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,25.0,23.0
2026-05-06,VUG,Vanguard Growth ETF,Large Growth,0.0590340205516419,0.8029684798106967,,,ICC calculation,stockanalysis_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,25.0,21.0
2026-05-06,XBI,SPDR S&P Biotech ETF,Industry,0.0915832608213259,0.2499490852486236,,,Unavailable,spdr_full_holdings,insufficient_matching_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,145.0,29.0
2026-05-06,XLB,Materials Select Sector SPDR Fund,Sector,,0.0,,,Unavailable,spdr_full_holdings,insufficient_matching_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,29.0,0.0
2026-05-06,XLC,Communication Services Select Sector SPDR Fund,Sector,0.0751329709006669,0.2531727196449734,,,Unavailable,spdr_full_holdings,insufficient_matching_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,24.0,14.0
2026-05-06,XLE,Energy Select Sector SPDR Fund,Sector,0.0717568421641647,0.999271635548028,,,ICC calculation,spdr_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,23.0,22.0
2026-05-06,XLF,Financial Select Sector SPDR Fund,Sector,0.0960472108197017,0.9270345556083434,,,ICC calculation,spdr_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,77.0,70.0
2026-05-06,XLI,Industrial Select Sector SPDR Fund,Sector,0.0705558109368557,0.9043952316103984,,,ICC calculation,spdr_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,80.0,73.0
2026-05-06,XLK,Technology Select Sector SPDR Fund,Sector,0.0736857556971404,0.6723826430638192,,,Partial holdings estimate,spdr_full_holdings,ok_partial_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,74.0,52.0
2026-05-06,XLP,Consumer Staples Select Sector SPDR Fund,Sector,0.0816021601158858,0.9893633355248644,,,ICC calculation,spdr_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,37.0,34.0
2026-05-06,XLRE,Real Estate Select Sector SPDR Fund,Sector,0.0424302868434498,0.85768343551444,,,ICC calculation,spdr_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,32.0,29.0
2026-05-06,XLU,Utilities Select Sector SPDR Fund,Sector,0.0818988014649254,0.993460730012392,,,ICC calculation,spdr_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_06.csv,31.0,30.0
