family,date,month,value,method
IVE,2026-04-16,2026-04,0.04229105533184057,P/E estimate
IVV,2026-04-16,2026-04,0.035951956394015896,P/E estimate
IVW,2026-04-16,2026-04,0.03057580353211683,P/E estimate
IWD,2026-04-16,2026-04,0.04525509391337089,P/E estimate
IWF,2026-04-16,2026-04,0.028423011725060794,P/E estimate
IYW,2026-04-16,2026-04,0.028164452236609565,P/E estimate
SPY,2026-04-16,2026-04,1.0,P/E estimate
XLE,2026-04-16,2026-04,1.0,P/E estimate
XLF,2026-04-16,2026-04,1.0,P/E estimate
XLK,2026-04-16,2026-04,1.0,P/E estimate
