family,date,month,value,method,n_items
dow30,2026-04-16,2026-04,0.07363831672062235,ICC calculation,30
ndx100,2026-04-16,2026-04,0.07520109474516204,ICC calculation,100
rut1000,2026-04-16,2026-04,0.07601832096846213,ICC calculation,978
sp100,2026-04-16,2026-04,0.07499110979862825,ICC calculation,101
sp400,2026-04-16,2026-04,0.08413663850907217,ICC calculation,396
sp500,2025-10-31,2025-10,0.06511265513855775,ICC calculation,501
sp500,2025-11-28,2025-11,0.06704505106919476,ICC calculation,502
sp500,2025-12-31,2025-12,0.06846715355482065,ICC calculation,499
sp500,2026-01-30,2026-01,0.06949106104919214,ICC calculation,497
sp500,2026-02-27,2026-02,0.07395991999074679,ICC calculation,496
sp500,2026-03-31,2026-03,0.07889568917176408,ICC calculation,500
sp500,2026-04-16,2026-04,0.0754672706502571,ICC calculation,500
sp600,2026-04-16,2026-04,0.09415219656154872,ICC calculation,572
