family,date,month,value,method,n_firms,source_file
dow30,2026-04-16,2026-04,0.07363831672062235,ICC calculation,30,data/202604/icc_live_dow30_2026_0416.csv
ndx100,2026-04-16,2026-04,0.07520109474516204,ICC calculation,100,data/202604/icc_live_ndx100_2026_0416.csv
rut1000,2026-04-16,2026-04,0.07601832096846213,ICC calculation,978,data/202604/icc_live_rut1000_2026_0416.csv
sp100,2026-04-16,2026-04,0.07499110979862825,ICC calculation,101,data/202604/icc_live_sp100_2026_0416.csv
sp400,2026-04-16,2026-04,0.08413663850907217,ICC calculation,396,data/202604/icc_live_sp400_2026_0416.csv
sp500,2025-10-30,2025-10,0.06508549053558753,ICC calculation,502,data/202510/icc_live_sp500_2025_1030.csv
sp500,2025-11-28,2025-11,0.06704505106919476,ICC calculation,502,data/202511/icc_live_sp500_2025_1128.csv
sp500,2025-12-31,2025-12,0.06846715355482065,ICC calculation,499,data/202512/icc_live_sp500_2025_1231.csv
sp500,2026-01-30,2026-01,0.06949106104919214,ICC calculation,497,data/202601/icc_live_sp500_2026_0130_r1.csv
sp500,2026-02-27,2026-02,0.07395991999074679,ICC calculation,496,data/202602/icc_live_sp500_2026_0227_r1.csv
sp500,2026-03-31,2026-03,0.07889568917176408,ICC calculation,500,data/202603/icc_live_sp500_2026_0331_r1.csv
sp500,2026-04-16,2026-04,0.0754672706502571,ICC calculation,500,data/202604/icc_live_sp500_2026_0416_r1.csv
sp600,2026-04-16,2026-04,0.09415219656154872,ICC calculation,572,data/202604/icc_live_sp600_2026_0416.csv
