date,family,label,value,method,n_firms,yyyymm,year
2026-02-03,Basic Materials,Basic Materials,0.09467960908259103,ICC calculation,161.0,202602,2026
2026-02-03,Communication Services,Communication Services,0.05338055802950976,ICC calculation,118.0,202602,2026
2026-02-03,Consumer Cyclical,Consumer Cyclical,0.08473808661077092,ICC calculation,329.0,202602,2026
2026-02-03,Consumer Defensive,Consumer Defensive,0.06830515282927468,ICC calculation,135.0,202602,2026
2026-02-03,Energy,Energy,0.09578635110304219,ICC calculation,179.0,202602,2026
2026-02-03,Financial Services,Financial Services,0.08811018429535862,ICC calculation,515.0,202602,2026
2026-02-03,Healthcare,Healthcare,0.09059663108852746,ICC calculation,252.0,202602,2026
2026-02-03,Industrials,Industrials,0.06689627382864928,ICC calculation,376.0,202602,2026
2026-02-03,Real Estate,Real Estate,0.06345229797265822,ICC calculation,164.0,202602,2026
2026-02-03,Technology,Technology,0.07125602979255176,ICC calculation,367.0,202602,2026
2026-02-03,Utilities,Utilities,0.0817831438916081,ICC calculation,80.0,202602,2026
2026-02-04,Basic Materials,Basic Materials,0.09622920766841786,ICC calculation,161.0,202602,2026
2026-02-04,Communication Services,Communication Services,0.06895180174454786,ICC calculation,119.0,202602,2026
2026-02-04,Consumer Cyclical,Consumer Cyclical,0.08483991361864865,ICC calculation,329.0,202602,2026
2026-02-04,Consumer Defensive,Consumer Defensive,0.06801008265193832,ICC calculation,135.0,202602,2026
2026-02-04,Energy,Energy,0.09659783093631417,ICC calculation,179.0,202602,2026
2026-02-04,Financial Services,Financial Services,0.08836011122312448,ICC calculation,515.0,202602,2026
2026-02-04,Healthcare,Healthcare,0.08455571786369513,ICC calculation,252.0,202602,2026
2026-02-04,Industrials,Industrials,0.06682777682796504,ICC calculation,376.0,202602,2026
2026-02-04,Real Estate,Real Estate,0.0629314795811358,ICC calculation,164.0,202602,2026
2026-02-04,Technology,Technology,0.07222108468434943,ICC calculation,366.0,202602,2026
2026-02-04,Utilities,Utilities,0.08221095003718881,ICC calculation,80.0,202602,2026
2026-02-05,Basic Materials,Basic Materials,0.09697449403345591,ICC calculation,161.0,202602,2026
2026-02-05,Communication Services,Communication Services,0.0692349485667645,ICC calculation,119.0,202602,2026
2026-02-05,Consumer Cyclical,Consumer Cyclical,0.09442461129040787,ICC calculation,329.0,202602,2026
2026-02-05,Consumer Defensive,Consumer Defensive,0.0679456241543226,ICC calculation,135.0,202602,2026
2026-02-05,Energy,Energy,0.09929980956813153,ICC calculation,179.0,202602,2026
2026-02-05,Financial Services,Financial Services,0.08807546627277797,ICC calculation,515.0,202602,2026
2026-02-05,Healthcare,Healthcare,0.08565414386397613,ICC calculation,252.0,202602,2026
2026-02-05,Industrials,Industrials,0.06723880617349123,ICC calculation,376.0,202602,2026
2026-02-05,Real Estate,Real Estate,0.06476057836751485,ICC calculation,165.0,202602,2026
2026-02-05,Technology,Technology,0.07290678079274311,ICC calculation,366.0,202602,2026
2026-02-05,Utilities,Utilities,0.0824065053866086,ICC calculation,80.0,202602,2026
2026-02-06,Basic Materials,Basic Materials,0.09663032390646507,ICC calculation,161.0,202602,2026
