date,group,daily_icc,ew_icc,n_firms,method,source_file
2026-04-29,Basic Materials,0.08360359153445933,0.11098946665951252,167,ICC calculation,data/202604/icc_live_usall_2026_0429_r1.csv
2026-04-29,Communication Services,0.0675454786666696,0.1358405061347865,119,ICC calculation,data/202604/icc_live_usall_2026_0429_r1.csv
2026-04-29,Consumer Cyclical,0.09443529805888584,0.11961192828982266,333,ICC calculation,data/202604/icc_live_usall_2026_0429_r1.csv
2026-04-29,Consumer Defensive,0.07274670597001667,0.1088111149007675,137,ICC calculation,data/202604/icc_live_usall_2026_0429_r1.csv
2026-04-29,Energy,0.08118625710665524,0.10897453139211521,186,ICC calculation,data/202604/icc_live_usall_2026_0429_r1.csv
2026-04-29,Financial Services,0.09299997272168334,0.12182447414082508,510,ICC calculation,data/202604/icc_live_usall_2026_0429_r1.csv
2026-04-29,Healthcare,0.09603111834325741,0.09918466218584146,257,ICC calculation,data/202604/icc_live_usall_2026_0429_r1.csv
2026-04-29,Industrials,0.06886237693739536,0.09001877144824211,383,ICC calculation,data/202604/icc_live_usall_2026_0429_r1.csv
2026-04-29,Real Estate,0.056405429233013636,0.08981685159557715,164,ICC calculation,data/202604/icc_live_usall_2026_0429_r1.csv
2026-04-29,Technology,0.08169636380945301,0.09601769555359368,377,ICC calculation,data/202604/icc_live_usall_2026_0429_r1.csv
2026-04-29,Unknown,0.1180533889305283,0.12154843896479049,2,ICC calculation,data/202604/icc_live_usall_2026_0429_r1.csv
2026-04-29,Utilities,0.07223037483248919,0.0842092357007347,80,ICC calculation,data/202604/icc_live_usall_2026_0429_r1.csv
