group,month,month_end_date,daily_icc,ew_icc,n_firms,method,source_file
Basic Materials,2025-10,2025-10-30,0.09314549637907472,0.11899494736076567,158,ICC calculation,data/202510/icc_live_usall_2025_1030.csv
Basic Materials,2025-11,2025-11-28,0.09458724528864364,0.1149421537282136,159,ICC calculation,data/202511/icc_live_usall_2025_1128.csv
Basic Materials,2025-12,2025-12-31,0.10006840596182996,0.11339125199745331,154,ICC calculation,data/202512/icc_live_usall_2025_1231.csv
Basic Materials,2026-01,2026-01-30,0.09703400799100133,0.11121583797634488,161,ICC calculation,data/202601/icc_live_usall_2026_0130_r1.csv
Basic Materials,2026-02,2026-02-27,0.07600533054393632,0.09784795577748837,165,ICC calculation,data/202602/icc_live_usall_2026_0227_r1.csv
Basic Materials,2026-03,2026-03-31,0.08283637001403374,0.11447840494076934,165,ICC calculation,data/202603/icc_live_usall_2026_0331_r1.csv
Basic Materials,2026-04,2026-04-23,0.08188431696664206,0.10991549239063263,167,ICC calculation,data/202604/icc_live_usall_2026_0423_r1.csv
Communication Services,2025-10,2025-10-30,0.06076404935895621,0.12347205671376908,157,ICC calculation,data/202510/icc_live_usall_2025_1030.csv
Communication Services,2025-11,2025-11-28,0.05847491985482143,0.12295406676112719,160,ICC calculation,data/202511/icc_live_usall_2025_1128.csv
Communication Services,2025-12,2025-12-31,0.05944583056313778,0.12033114683197495,166,ICC calculation,data/202512/icc_live_usall_2025_1231.csv
Communication Services,2026-01,2026-01-30,0.053222753087121634,0.12254657628535595,118,ICC calculation,data/202601/icc_live_usall_2026_0130_r1.csv
Communication Services,2026-02,2026-02-27,0.07167510791561736,0.12749703750879718,121,ICC calculation,data/202602/icc_live_usall_2026_0227_r1.csv
Communication Services,2026-03,2026-03-31,0.07620109253319962,0.1264318176324869,123,ICC calculation,data/202603/icc_live_usall_2026_0331_r1.csv
Communication Services,2026-04,2026-04-23,0.06911052544932858,0.1348992115405224,124,ICC calculation,data/202604/icc_live_usall_2026_0423_r1.csv
Consumer Cyclical,2025-10,2025-10-30,0.08497267329760003,0.1132869378800753,394,ICC calculation,data/202510/icc_live_usall_2025_1030.csv
Consumer Cyclical,2025-11,2025-11-28,0.08076901044071406,0.10857849974631138,390,ICC calculation,data/202511/icc_live_usall_2025_1128.csv
Consumer Cyclical,2025-12,2025-12-31,0.07829922298957434,0.1055095829225496,384,ICC calculation,data/202512/icc_live_usall_2025_1231.csv
Consumer Cyclical,2026-01,2026-01-30,0.08424222649141257,0.10654323729111081,329,ICC calculation,data/202601/icc_live_usall_2026_0130_r1.csv
Consumer Cyclical,2026-02,2026-02-27,0.09727118773155727,0.113342142333627,330,ICC calculation,data/202602/icc_live_usall_2026_0227_r1.csv
