date,family,value,method,n_items
2026-04-16,Basic Materials,0.08146835236434928,ICC calculation,167
2026-04-16,Communication Services,0.06914275757751538,ICC calculation,124
2026-04-16,Consumer Cyclical,0.09489073738816745,ICC calculation,334
2026-04-16,Consumer Defensive,0.07434008356070375,ICC calculation,135
2026-04-16,Energy,0.08199122121092564,ICC calculation,187
2026-04-16,Financial Services,0.08969589658682242,ICC calculation,515
2026-04-16,Healthcare,0.0944102029204048,ICC calculation,257
2026-04-16,Industrials,0.0700104042007966,ICC calculation,383
2026-04-16,Real Estate,0.05828893776082633,ICC calculation,164
2026-04-16,Technology,0.08157802446736395,ICC calculation,376
2026-04-16,Utilities,0.0772369067138059,ICC calculation,80
