family,date,month,value,method,n_items
Basic Materials,2025-10-31,2025-10,0.09407933567263825,ICC calculation,158
Basic Materials,2025-11-28,2025-11,0.09458724528864364,ICC calculation,159
Basic Materials,2025-12-31,2025-12,0.10006840596182996,ICC calculation,154
Basic Materials,2026-01-30,2026-01,0.09703400799100133,ICC calculation,161
Basic Materials,2026-02-27,2026-02,0.07600533054393632,ICC calculation,165
Basic Materials,2026-03-31,2026-03,0.08283637001403374,ICC calculation,165
Basic Materials,2026-04-16,2026-04,0.08146835236434928,ICC calculation,167
Communication Services,2025-10-31,2025-10,0.06066222850007688,ICC calculation,157
Communication Services,2025-11-28,2025-11,0.05847491985482143,ICC calculation,160
Communication Services,2025-12-31,2025-12,0.05944583056313778,ICC calculation,166
Communication Services,2026-01-30,2026-01,0.053222753087121634,ICC calculation,118
Communication Services,2026-02-27,2026-02,0.07167510791561736,ICC calculation,121
Communication Services,2026-03-31,2026-03,0.07620109253319962,ICC calculation,123
Communication Services,2026-04-16,2026-04,0.06914275757751538,ICC calculation,124
Consumer Cyclical,2025-10-31,2025-10,0.0820009186993626,ICC calculation,394
Consumer Cyclical,2025-11-28,2025-11,0.08076901044071406,ICC calculation,390
Consumer Cyclical,2025-12-31,2025-12,0.07829922298957434,ICC calculation,384
Consumer Cyclical,2026-01-30,2026-01,0.08424222649141257,ICC calculation,329
Consumer Cyclical,2026-02-27,2026-02,0.09727118773155727,ICC calculation,330
Consumer Cyclical,2026-03-31,2026-03,0.1016865851964242,ICC calculation,333
Consumer Cyclical,2026-04-16,2026-04,0.09489073738816745,ICC calculation,334
Consumer Defensive,2025-10-31,2025-10,0.06812435125997682,ICC calculation,155
Consumer Defensive,2025-11-28,2025-11,0.06585566040538396,ICC calculation,158
Consumer Defensive,2025-12-31,2025-12,0.07329959879769248,ICC calculation,156
Consumer Defensive,2026-01-30,2026-01,0.06957261941623143,ICC calculation,135
Consumer Defensive,2026-02-27,2026-02,0.06761981263124323,ICC calculation,132
Consumer Defensive,2026-03-31,2026-03,0.07346963678616435,ICC calculation,135
Consumer Defensive,2026-04-16,2026-04,0.07434008356070375,ICC calculation,135
Energy,2025-10-31,2025-10,0.09994834556905308,ICC calculation,186
Energy,2025-11-28,2025-11,0.09738940433567828,ICC calculation,185
Energy,2025-12-31,2025-12,0.10383065398626748,ICC calculation,183
Energy,2026-01-30,2026-01,0.08757910996228611,ICC calculation,180
Energy,2026-02-27,2026-02,0.10586075622810628,ICC calculation,180
Energy,2026-03-31,2026-03,0.08273670845327648,ICC calculation,185
Energy,2026-04-16,2026-04,0.08199122121092564,ICC calculation,187
Financial Services,2025-10-31,2025-10,0.08461067183216653,ICC calculation,623
Financial Services,2025-11-28,2025-11,0.08681286724060583,ICC calculation,629
Financial Services,2025-12-31,2025-12,0.08676040115466509,ICC calculation,634
Financial Services,2026-01-30,2026-01,0.08788839931422811,ICC calculation,516
Financial Services,2026-02-27,2026-02,0.09087249844561326,ICC calculation,510
Financial Services,2026-03-31,2026-03,0.09362411638939869,ICC calculation,515
Financial Services,2026-04-16,2026-04,0.08969589658682242,ICC calculation,515
Healthcare,2025-10-31,2025-10,0.08263648660258285,ICC calculation,308
Healthcare,2025-11-28,2025-11,0.07826227190362725,ICC calculation,314
Healthcare,2025-12-31,2025-12,0.07873544658942577,ICC calculation,332
Healthcare,2026-01-30,2026-01,0.08316205158608093,ICC calculation,252
Healthcare,2026-02-27,2026-02,0.08571863872683104,ICC calculation,255
Healthcare,2026-03-31,2026-03,0.09070327047341153,ICC calculation,259
Healthcare,2026-04-16,2026-04,0.0944102029204048,ICC calculation,257
Industrials,2025-10-31,2025-10,0.06585117481597783,ICC calculation,434
Industrials,2025-11-28,2025-11,0.0681235266611869,ICC calculation,434
Industrials,2025-12-31,2025-12,0.06786118080699546,ICC calculation,429
Industrials,2026-01-30,2026-01,0.06763859346282759,ICC calculation,377
Industrials,2026-02-27,2026-02,0.06700364862649147,ICC calculation,378
Industrials,2026-03-31,2026-03,0.07174656795159687,ICC calculation,387
Industrials,2026-04-16,2026-04,0.0700104042007966,ICC calculation,383
Real Estate,2025-10-31,2025-10,0.07019930633780548,ICC calculation,183
Real Estate,2025-11-28,2025-11,0.06406659000291177,ICC calculation,180
Real Estate,2025-12-31,2025-12,0.06678382576267076,ICC calculation,174
Real Estate,2026-01-30,2026-01,0.06222909645066061,ICC calculation,166
Real Estate,2026-02-27,2026-02,0.05911652928302005,ICC calculation,164
Real Estate,2026-03-31,2026-03,0.06128118442317076,ICC calculation,164
Real Estate,2026-04-16,2026-04,0.05828893776082633,ICC calculation,164
Technology,2025-10-31,2025-10,0.0662699316460531,ICC calculation,489
Technology,2025-11-28,2025-11,0.07337608840342255,ICC calculation,486
Technology,2025-12-31,2025-12,0.07653995041078078,ICC calculation,492
Technology,2026-01-30,2026-01,0.06984434729169631,ICC calculation,366
Technology,2026-02-27,2026-02,0.0741914127113329,ICC calculation,368
Technology,2026-03-31,2026-03,0.0842497910540855,ICC calculation,373
Technology,2026-04-16,2026-04,0.08157802446736395,ICC calculation,376
Utilities,2025-10-31,2025-10,0.08303810114408884,ICC calculation,91
Utilities,2025-11-28,2025-11,0.08068714200641974,ICC calculation,92
Utilities,2025-12-31,2025-12,0.08348774325238971,ICC calculation,90
Utilities,2026-01-30,2026-01,0.08115716611461118,ICC calculation,81
Utilities,2026-02-27,2026-02,0.0749285882278573,ICC calculation,80
Utilities,2026-03-31,2026-03,0.07834984138646284,ICC calculation,80
Utilities,2026-04-16,2026-04,0.0772369067138059,ICC calculation,80
