family,date,month,label,value,method,n_firms
Basic Materials,2025-10-30,2025-10,Basic Materials,0.09314549637907472,ICC calculation,158.0
Basic Materials,2025-11-28,2025-11,Basic Materials,0.09458724528864364,ICC calculation,159.0
Basic Materials,2025-12-31,2025-12,Basic Materials,0.10006840596182996,ICC calculation,154.0
Basic Materials,2026-01-30,2026-01,Basic Materials,0.09703400799100133,ICC calculation,161.0
Basic Materials,2026-02-27,2026-02,Basic Materials,0.07600533054393632,ICC calculation,165.0
Basic Materials,2026-03-31,2026-03,Basic Materials,0.08283637001403374,ICC calculation,165.0
Basic Materials,2026-04-16,2026-04,Basic Materials,0.08146835236434928,ICC calculation,167.0
Communication Services,2025-10-30,2025-10,Communication Services,0.06076404935895621,ICC calculation,157.0
Communication Services,2025-11-28,2025-11,Communication Services,0.05847491985482143,ICC calculation,160.0
Communication Services,2025-12-31,2025-12,Communication Services,0.05944583056313778,ICC calculation,166.0
Communication Services,2026-01-30,2026-01,Communication Services,0.053222753087121634,ICC calculation,118.0
Communication Services,2026-02-27,2026-02,Communication Services,0.07167510791561736,ICC calculation,121.0
Communication Services,2026-03-31,2026-03,Communication Services,0.07620109253319962,ICC calculation,123.0
Communication Services,2026-04-16,2026-04,Communication Services,0.06914275757751538,ICC calculation,124.0
Consumer Cyclical,2025-10-30,2025-10,Consumer Cyclical,0.08497267329760003,ICC calculation,394.0
Consumer Cyclical,2025-11-28,2025-11,Consumer Cyclical,0.08076901044071406,ICC calculation,390.0
Consumer Cyclical,2025-12-31,2025-12,Consumer Cyclical,0.07829922298957434,ICC calculation,384.0
Consumer Cyclical,2026-01-30,2026-01,Consumer Cyclical,0.08424222649141257,ICC calculation,329.0
Consumer Cyclical,2026-02-27,2026-02,Consumer Cyclical,0.09727118773155727,ICC calculation,330.0
Consumer Cyclical,2026-03-31,2026-03,Consumer Cyclical,0.1016865851964242,ICC calculation,333.0
Consumer Cyclical,2026-04-16,2026-04,Consumer Cyclical,0.09489073738816745,ICC calculation,334.0
Consumer Defensive,2025-10-30,2025-10,Consumer Defensive,0.06799312656394164,ICC calculation,155.0
Consumer Defensive,2025-11-28,2025-11,Consumer Defensive,0.06585566040538396,ICC calculation,158.0
Consumer Defensive,2025-12-31,2025-12,Consumer Defensive,0.07329959879769248,ICC calculation,156.0
Consumer Defensive,2026-01-30,2026-01,Consumer Defensive,0.06957261941623143,ICC calculation,135.0
Consumer Defensive,2026-02-27,2026-02,Consumer Defensive,0.06761981263124323,ICC calculation,132.0
Consumer Defensive,2026-03-31,2026-03,Consumer Defensive,0.07346963678616435,ICC calculation,135.0
Consumer Defensive,2026-04-16,2026-04,Consumer Defensive,0.07434008356070375,ICC calculation,135.0
Energy,2025-10-30,2025-10,Energy,0.10059913945948319,ICC calculation,186.0
Energy,2025-11-28,2025-11,Energy,0.09738940433567828,ICC calculation,185.0
Energy,2025-12-31,2025-12,Energy,0.10383065398626748,ICC calculation,183.0
Energy,2026-01-30,2026-01,Energy,0.08757910996228611,ICC calculation,180.0
Energy,2026-02-27,2026-02,Energy,0.10586075622810628,ICC calculation,180.0
Energy,2026-03-31,2026-03,Energy,0.08273670845327648,ICC calculation,185.0
Energy,2026-04-16,2026-04,Energy,0.08199122121092564,ICC calculation,187.0
Financial Services,2025-10-30,2025-10,Financial Services,0.08497536395148621,ICC calculation,623.0
Financial Services,2025-11-28,2025-11,Financial Services,0.08681286724060583,ICC calculation,629.0
Financial Services,2025-12-31,2025-12,Financial Services,0.08676040115466509,ICC calculation,634.0
Financial Services,2026-01-30,2026-01,Financial Services,0.08788839931422811,ICC calculation,516.0
Financial Services,2026-02-27,2026-02,Financial Services,0.09087249844561326,ICC calculation,510.0
Financial Services,2026-03-31,2026-03,Financial Services,0.09362411638939869,ICC calculation,515.0
Financial Services,2026-04-16,2026-04,Financial Services,0.08969589658682242,ICC calculation,515.0
Healthcare,2025-10-30,2025-10,Healthcare,0.08359080602067034,ICC calculation,305.0
Healthcare,2025-11-28,2025-11,Healthcare,0.07826227190362725,ICC calculation,314.0
Healthcare,2025-12-31,2025-12,Healthcare,0.07873544658942577,ICC calculation,332.0
Healthcare,2026-01-30,2026-01,Healthcare,0.08316205158608093,ICC calculation,252.0
Healthcare,2026-02-27,2026-02,Healthcare,0.08571863872683104,ICC calculation,255.0
Healthcare,2026-03-31,2026-03,Healthcare,0.09070327047341153,ICC calculation,259.0
Healthcare,2026-04-16,2026-04,Healthcare,0.0944102029204048,ICC calculation,257.0
Industrials,2025-10-30,2025-10,Industrials,0.06594072786373502,ICC calculation,435.0
Industrials,2025-11-28,2025-11,Industrials,0.0681235266611869,ICC calculation,434.0
Industrials,2025-12-31,2025-12,Industrials,0.06786118080699546,ICC calculation,429.0
Industrials,2026-01-30,2026-01,Industrials,0.06763859346282759,ICC calculation,377.0
Industrials,2026-02-27,2026-02,Industrials,0.06700364862649147,ICC calculation,378.0
Industrials,2026-03-31,2026-03,Industrials,0.07174656795159687,ICC calculation,387.0
Industrials,2026-04-16,2026-04,Industrials,0.0700104042007966,ICC calculation,383.0
Real Estate,2025-10-30,2025-10,Real Estate,0.06977424493443453,ICC calculation,183.0
Real Estate,2025-11-28,2025-11,Real Estate,0.06406659000291177,ICC calculation,180.0
Real Estate,2025-12-31,2025-12,Real Estate,0.06678382576267076,ICC calculation,174.0
Real Estate,2026-01-30,2026-01,Real Estate,0.06222909645066061,ICC calculation,166.0
Real Estate,2026-02-27,2026-02,Real Estate,0.05911652928302005,ICC calculation,164.0
Real Estate,2026-03-31,2026-03,Real Estate,0.06128118442317076,ICC calculation,164.0
Real Estate,2026-04-16,2026-04,Real Estate,0.05828893776082633,ICC calculation,164.0
Technology,2025-10-30,2025-10,Technology,0.06523833050258772,ICC calculation,490.0
Technology,2025-11-28,2025-11,Technology,0.07337608840342255,ICC calculation,486.0
Technology,2025-12-31,2025-12,Technology,0.07653995041078078,ICC calculation,492.0
Technology,2026-01-30,2026-01,Technology,0.06984434729169631,ICC calculation,366.0
Technology,2026-02-27,2026-02,Technology,0.0741914127113329,ICC calculation,368.0
Technology,2026-03-31,2026-03,Technology,0.0842497910540855,ICC calculation,373.0
Technology,2026-04-16,2026-04,Technology,0.08157802446736395,ICC calculation,376.0
Utilities,2025-10-30,2025-10,Utilities,0.0825975970049667,ICC calculation,91.0
Utilities,2025-11-28,2025-11,Utilities,0.08068714200641974,ICC calculation,92.0
Utilities,2025-12-31,2025-12,Utilities,0.08348774325238971,ICC calculation,90.0
Utilities,2026-01-30,2026-01,Utilities,0.08115716611461118,ICC calculation,81.0
Utilities,2026-02-27,2026-02,Utilities,0.0749285882278573,ICC calculation,80.0
Utilities,2026-03-31,2026-03,Utilities,0.07834984138646284,ICC calculation,80.0
Utilities,2026-04-16,2026-04,Utilities,0.0772369067138059,ICC calculation,80.0
