date,family,value,method,n_firms,source_file,label,yyyymm,year
2025-10-28,all_market,0.07269628690478976,ICC calculation,3182,data/202510/icc_live_usall_2025_1028.csv,all_market,202510,2025
2025-10-29,all_market,0.07303142540019729,ICC calculation,3181,data/202510/icc_live_usall_2025_1029.csv,all_market,202510,2025
2025-10-30,all_market,0.07395380198937707,ICC calculation,3179,data/202510/icc_live_usall_2025_1030.csv,all_market,202510,2025
2025-11-01,all_market,0.07386490949089841,ICC calculation,3180,data/202510/icc_live_usall_2025_1031.csv,all_market,202511,2025
2025-11-03,all_market,0.07419815040449596,ICC calculation,3179,data/202511/icc_live_usall_2025_1103.csv,all_market,202511,2025
2025-11-04,all_market,0.07472731262019144,ICC calculation,3176,data/202511/icc_live_usall_2025_1104.csv,all_market,202511,2025
2025-11-05,all_market,0.07442837098529918,ICC calculation,3175,data/202511/icc_live_usall_2025_1105.csv,all_market,202511,2025
2025-11-06,all_market,0.07504567824091135,ICC calculation,3183,data/202511/icc_live_usall_2025_1106.csv,all_market,202511,2025
2025-11-07,all_market,0.07503593650992313,ICC calculation,3177,data/202511/icc_live_usall_2025_1107.csv,all_market,202511,2025
2025-11-10,all_market,0.0742410446272243,ICC calculation,3182,data/202511/icc_live_usall_2025_1110.csv,all_market,202511,2025
2025-11-11,all_market,0.07441450879538435,ICC calculation,3180,data/202511/icc_live_usall_2025_1111.csv,all_market,202511,2025
2025-11-12,all_market,0.07444105800757969,ICC calculation,3180,data/202511/icc_live_usall_2025_1112.csv,all_market,202511,2025
2025-11-13,all_market,0.0753770185257141,ICC calculation,3177,data/202511/icc_live_usall_2025_1113.csv,all_market,202511,2025
2025-11-14,all_market,0.07559675602209201,ICC calculation,3178,data/202511/icc_live_usall_2025_1114.csv,all_market,202511,2025
2025-11-17,all_market,0.07601520806833256,ICC calculation,3187,data/202511/icc_live_usall_2025_1117.csv,all_market,202511,2025
2025-11-18,all_market,0.07629529848339628,ICC calculation,3187,data/202511/icc_live_usall_2025_1118.csv,all_market,202511,2025
2025-11-19,all_market,0.07599215661156775,ICC calculation,3191,data/202511/icc_live_usall_2025_1119.csv,all_market,202511,2025
2025-11-20,all_market,0.07759747697342051,ICC calculation,3190,data/202511/icc_live_usall_2025_1120.csv,all_market,202511,2025
2025-11-25,all_market,0.0763255195943697,ICC calculation,3186,data/202511/icc_live_usall_2025_1124.csv,all_market,202511,2025
2025-11-26,all_market,0.07569571790870135,ICC calculation,3190,data/202511/icc_live_usall_2025_1126.csv,all_market,202511,2025
2025-11-27,all_market,0.0756675748237738,ICC calculation,3189,data/202511/icc_live_usall_2025_1127.csv,all_market,202511,2025
2025-11-28,all_market,0.07539068714702347,ICC calculation,3189,data/202511/icc_live_usall_2025_1128.csv,all_market,202511,2025
2025-12-01,all_market,0.0756695106214855,ICC calculation,3185,data/202512/icc_live_usall_2025_1201.csv,all_market,202512,2025
2025-12-02,all_market,0.07559060667262835,ICC calculation,3186,data/202512/icc_live_usall_2025_1202.csv,all_market,202512,2025
2025-12-03,all_market,0.07529966277774987,ICC calculation,3188,data/202512/icc_live_usall_2025_1203.csv,all_market,202512,2025
2025-12-04,all_market,0.0753210781161116,ICC calculation,3190,data/202512/icc_live_usall_2025_1204.csv,all_market,202512,2025
2025-12-05,all_market,0.07531879922144602,ICC calculation,3192,data/202512/icc_live_usall_2025_1205.csv,all_market,202512,2025
2025-12-08,all_market,0.07563049794168546,ICC calculation,3191,data/202512/icc_live_usall_2025_1208.csv,all_market,202512,2025
2025-12-09,all_market,0.07566680667618703,ICC calculation,3193,data/202512/icc_live_usall_2025_1209.csv,all_market,202512,2025
2025-12-10,all_market,0.07602759516816808,ICC calculation,3213,data/202512/icc_live_usall_2025_1210.csv,all_market,202512,2025
2025-12-11,all_market,0.07590050860682938,ICC calculation,3214,data/202512/icc_live_usall_2025_1211.csv,all_market,202512,2025
2025-12-12,all_market,0.07658692014125933,ICC calculation,3210,data/202512/icc_live_usall_2025_1212.csv,all_market,202512,2025
2025-12-15,all_market,0.07669034746055634,ICC calculation,3210,data/202512/icc_live_usall_2025_1215.csv,all_market,202512,2025
2025-12-16,all_market,0.07687081387760814,ICC calculation,3208,data/202512/icc_live_usall_2025_1216.csv,all_market,202512,2025
2025-12-17,all_market,0.07752493868476357,ICC calculation,3205,data/202512/icc_live_usall_2025_1217.csv,all_market,202512,2025
2025-12-18,all_market,0.07715568641416702,ICC calculation,3202,data/202512/icc_live_usall_2025_1218.csv,all_market,202512,2025
2025-12-19,all_market,0.07693298727002962,ICC calculation,3202,data/202512/icc_live_usall_2025_1219.csv,all_market,202512,2025
2025-12-22,all_market,0.07679362442370781,ICC calculation,3203,data/202512/icc_live_usall_2025_1222.csv,all_market,202512,2025
2025-12-23,all_market,0.0766851400129024,ICC calculation,3203,data/202512/icc_live_usall_2025_1223.csv,all_market,202512,2025
2025-12-24,all_market,0.07652809579846252,ICC calculation,3202,data/202512/icc_live_usall_2025_1224.csv,all_market,202512,2025
2025-12-25,all_market,0.07652563977569517,ICC calculation,3198,data/202512/icc_live_usall_2025_1225.csv,all_market,202512,2025
2025-12-26,all_market,0.07658182738464599,ICC calculation,3197,data/202512/icc_live_usall_2025_1226.csv,all_market,202512,2025
