family,date,month,value,method,n_items
all_market,2025-10-31,2025-10,0.07386490949089841,ICC calculation,3180
all_market,2025-11-28,2025-11,0.07539068714702347,ICC calculation,3189
all_market,2025-12-31,2025-12,0.07717299134519885,ICC calculation,3197
all_market,2026-01-30,2026-01,0.074875685540565,ICC calculation,2684
all_market,2026-02-27,2026-02,0.08042145131520971,ICC calculation,2686
all_market,2026-03-31,2026-03,0.0846043873892946,ICC calculation,2721
all_market,2026-04-16,2026-04,0.08165551595446656,ICC calculation,2724
sp500,2025-10-31,2025-10,0.06511265513855775,ICC calculation,501
sp500,2025-11-28,2025-11,0.06704505106919476,ICC calculation,502
sp500,2025-12-31,2025-12,0.06846715355482065,ICC calculation,499
sp500,2026-01-30,2026-01,0.06949106104919214,ICC calculation,497
sp500,2026-02-27,2026-02,0.07395991999074679,ICC calculation,496
sp500,2026-03-31,2026-03,0.07889568917176408,ICC calculation,500
sp500,2026-04-16,2026-04,0.0754672706502571,ICC calculation,500
