family,date,month,value,method,n_firms,source_file
all_market,2025-10-30,2025-10,0.07395380198937707,ICC calculation,3179,data/202510/icc_live_usall_2025_1030.csv
all_market,2025-11-28,2025-11,0.07539068714702347,ICC calculation,3189,data/202511/icc_live_usall_2025_1128.csv
all_market,2025-12-31,2025-12,0.07717299134519885,ICC calculation,3197,data/202512/icc_live_usall_2025_1231.csv
all_market,2026-01-30,2026-01,0.074875685540565,ICC calculation,2684,data/202601/icc_live_usall_2026_0130_r1.csv
all_market,2026-02-27,2026-02,0.08042145131520971,ICC calculation,2686,data/202602/icc_live_usall_2026_0227_r1.csv
all_market,2026-03-31,2026-03,0.0846043873892946,ICC calculation,2721,data/202603/icc_live_usall_2026_0331_r1.csv
all_market,2026-04-16,2026-04,0.08165551595446656,ICC calculation,2724,data/202604/icc_live_usall_2026_0416_r1.csv
sp500,2025-10-30,2025-10,0.06508549053558753,ICC calculation,502,data/202510/icc_live_sp500_2025_1030.csv
sp500,2025-11-28,2025-11,0.06704505106919476,ICC calculation,502,data/202511/icc_live_sp500_2025_1128.csv
sp500,2025-12-31,2025-12,0.06846715355482065,ICC calculation,499,data/202512/icc_live_sp500_2025_1231.csv
sp500,2026-01-30,2026-01,0.06949106104919214,ICC calculation,497,data/202601/icc_live_sp500_2026_0130_r1.csv
sp500,2026-02-27,2026-02,0.07395991999074679,ICC calculation,496,data/202602/icc_live_sp500_2026_0227_r1.csv
sp500,2026-03-31,2026-03,0.07889568917176408,ICC calculation,500,data/202603/icc_live_sp500_2026_0331_r1.csv
sp500,2026-04-16,2026-04,0.0754672706502571,ICC calculation,500,data/202604/icc_live_sp500_2026_0416_r1.csv
