date,family,value,method,n_firms,label,yyyymm,year
2025-10-28,growth,0.07253045783214118,ICC calculation,3003,growth,202510,2025
2025-10-29,growth,0.07362472343257265,ICC calculation,3002,growth,202510,2025
2025-10-30,growth,0.07443585532095495,ICC calculation,3002,growth,202510,2025
2025-11-01,growth,0.07448500746144669,ICC calculation,3003,growth,202511,2025
2025-11-03,growth,0.07342234602129526,ICC calculation,3000,growth,202511,2025
2025-11-04,growth,0.07473488273757722,ICC calculation,2998,growth,202511,2025
2025-11-05,growth,0.07459613337078072,ICC calculation,2997,growth,202511,2025
2025-11-06,growth,0.07536714145455545,ICC calculation,3004,growth,202511,2025
2025-11-07,growth,0.07327369299038433,ICC calculation,2997,growth,202511,2025
2025-11-10,growth,0.07136788940707472,ICC calculation,3002,growth,202511,2025
2025-11-11,growth,0.07107251046154148,ICC calculation,3002,growth,202511,2025
2025-11-12,growth,0.07219765541335228,ICC calculation,3002,growth,202511,2025
2025-11-13,growth,0.0720557006457101,ICC calculation,3000,growth,202511,2025
2025-11-14,growth,0.07246636314731972,ICC calculation,3001,growth,202511,2025
2025-11-17,growth,0.07320556332988629,ICC calculation,3012,growth,202511,2025
2025-11-18,growth,0.07347227096479816,ICC calculation,3012,growth,202511,2025
2025-11-19,growth,0.07358169469606429,ICC calculation,3015,growth,202511,2025
2025-11-20,growth,0.07279346921881341,ICC calculation,3014,growth,202511,2025
2025-11-25,growth,0.07269831555197745,ICC calculation,3011,growth,202511,2025
2025-11-26,growth,0.07182213025352793,ICC calculation,3016,growth,202511,2025
2025-11-27,growth,0.07175842271184413,ICC calculation,3015,growth,202511,2025
2025-11-28,growth,0.07227157546386505,ICC calculation,3015,growth,202511,2025
2025-12-01,growth,0.072912395271837,ICC calculation,3011,growth,202512,2025
2025-12-02,growth,0.0723111121667541,ICC calculation,3010,growth,202512,2025
2025-12-03,growth,0.07238205840992246,ICC calculation,3012,growth,202512,2025
2025-12-04,growth,0.07232669890440924,ICC calculation,3014,growth,202512,2025
2025-12-05,growth,0.07301553790431778,ICC calculation,3016,growth,202512,2025
2025-12-08,growth,0.07407850974890491,ICC calculation,3015,growth,202512,2025
2025-12-09,growth,0.0740224302160901,ICC calculation,3015,growth,202512,2025
2025-12-10,growth,0.0705648357282492,ICC calculation,3026,growth,202512,2025
2025-12-11,growth,0.07017125115437618,ICC calculation,3028,growth,202512,2025
2025-12-12,growth,0.07139496458664188,ICC calculation,3022,growth,202512,2025
2025-12-15,growth,0.07152742752747072,ICC calculation,3023,growth,202512,2025
2025-12-16,growth,0.07281705431361576,ICC calculation,3022,growth,202512,2025
2025-12-17,growth,0.07381260510336576,ICC calculation,3019,growth,202512,2025
2025-12-18,growth,0.07230643622160651,ICC calculation,3017,growth,202512,2025
2025-12-19,growth,0.07134957295858683,ICC calculation,3017,growth,202512,2025
2025-12-22,growth,0.07117253910741286,ICC calculation,3018,growth,202512,2025
2025-12-23,growth,0.07130130357530233,ICC calculation,3019,growth,202512,2025
2025-12-24,growth,0.07129802561093357,ICC calculation,3018,growth,202512,2025
2025-12-25,growth,0.07124924545556649,ICC calculation,3014,growth,202512,2025
2025-12-26,growth,0.07162683914258766,ICC calculation,3013,growth,202512,2025
2025-12-29,growth,0.07141391368335995,ICC calculation,3013,growth,202512,2025
2025-12-30,growth,0.07169342481601701,ICC calculation,3013,growth,202512,2025
2025-12-31,growth,0.07207205851171125,ICC calculation,3014,growth,202512,2025
2025-10-28,ivp_bm,0.06450346567326704,ICC calculation,3003,ivp_bm,202510,2025
2025-10-29,ivp_bm,0.0645172395403989,ICC calculation,3002,ivp_bm,202510,2025
2025-10-30,ivp_bm,0.06415697734782852,ICC calculation,3002,ivp_bm,202510,2025
2025-11-01,ivp_bm,0.0636983840101852,ICC calculation,3003,ivp_bm,202511,2025
2025-11-03,ivp_bm,0.06525636086504981,ICC calculation,3000,ivp_bm,202511,2025
2025-11-04,ivp_bm,0.06556975745363003,ICC calculation,2998,ivp_bm,202511,2025
2025-11-05,ivp_bm,0.06413756171491994,ICC calculation,2997,ivp_bm,202511,2025
2025-11-06,ivp_bm,0.06498185939539053,ICC calculation,3004,ivp_bm,202511,2025
2025-11-07,ivp_bm,0.0666693024376997,ICC calculation,2997,ivp_bm,202511,2025
2025-11-10,ivp_bm,0.06786210760266484,ICC calculation,3002,ivp_bm,202511,2025
2025-11-11,ivp_bm,0.0697436777986058,ICC calculation,3002,ivp_bm,202511,2025
2025-11-12,ivp_bm,0.06742210543159004,ICC calculation,3002,ivp_bm,202511,2025
2025-11-13,ivp_bm,0.06815634262652223,ICC calculation,3000,ivp_bm,202511,2025
2025-11-14,ivp_bm,0.06801769748357697,ICC calculation,3001,ivp_bm,202511,2025
2025-11-17,ivp_bm,0.06798349042883381,ICC calculation,3012,ivp_bm,202511,2025
2025-11-18,ivp_bm,0.06801732551441578,ICC calculation,3012,ivp_bm,202511,2025
2025-11-19,ivp_bm,0.06869066146712444,ICC calculation,3015,ivp_bm,202511,2025
2025-11-20,ivp_bm,0.07006538972114368,ICC calculation,3014,ivp_bm,202511,2025
2025-11-25,ivp_bm,0.06729529374984347,ICC calculation,3011,ivp_bm,202511,2025
2025-11-26,ivp_bm,0.06824898802622467,ICC calculation,3016,ivp_bm,202511,2025
2025-11-27,ivp_bm,0.06843654700722435,ICC calculation,3015,ivp_bm,202511,2025
2025-11-28,ivp_bm,0.06648016798710608,ICC calculation,3015,ivp_bm,202511,2025
2025-12-01,ivp_bm,0.06467337357243876,ICC calculation,3011,ivp_bm,202512,2025
2025-12-02,ivp_bm,0.06565154097206036,ICC calculation,3010,ivp_bm,202512,2025
2025-12-03,ivp_bm,0.06510759139432043,ICC calculation,3012,ivp_bm,202512,2025
2025-12-04,ivp_bm,0.0638892478271332,ICC calculation,3014,ivp_bm,202512,2025
2025-12-05,ivp_bm,0.06423181921921808,ICC calculation,3016,ivp_bm,202512,2025
2025-12-08,ivp_bm,0.06110246661375472,ICC calculation,3015,ivp_bm,202512,2025
2025-12-09,ivp_bm,0.05095890198470927,ICC calculation,3015,ivp_bm,202512,2025
2025-12-10,ivp_bm,0.050237022268577444,ICC calculation,3026,ivp_bm,202512,2025
2025-12-11,ivp_bm,0.05174917267167524,ICC calculation,3028,ivp_bm,202512,2025
2025-12-12,ivp_bm,0.050842792379063556,ICC calculation,3022,ivp_bm,202512,2025
2025-12-15,ivp_bm,0.05002911986748472,ICC calculation,3023,ivp_bm,202512,2025
2025-12-16,ivp_bm,0.049579810958033516,ICC calculation,3022,ivp_bm,202512,2025
2025-12-17,ivp_bm,0.04777193371508617,ICC calculation,3019,ivp_bm,202512,2025
2025-12-18,ivp_bm,0.049322253156058524,ICC calculation,3017,ivp_bm,202512,2025
2025-12-19,ivp_bm,0.05100694863796469,ICC calculation,3017,ivp_bm,202512,2025
2025-12-22,ivp_bm,0.051344908193573346,ICC calculation,3018,ivp_bm,202512,2025
2025-12-23,ivp_bm,0.05175731670243243,ICC calculation,3019,ivp_bm,202512,2025
2025-12-24,ivp_bm,0.05187296780432818,ICC calculation,3018,ivp_bm,202512,2025
2025-12-25,ivp_bm,0.05196843604447257,ICC calculation,3014,ivp_bm,202512,2025
2025-12-26,ivp_bm,0.05143808747775222,ICC calculation,3013,ivp_bm,202512,2025
2025-12-29,ivp_bm,0.052113371294486455,ICC calculation,3013,ivp_bm,202512,2025
2025-12-30,ivp_bm,0.05125546183611315,ICC calculation,3013,ivp_bm,202512,2025
2025-12-31,ivp_bm,0.05128515030793647,ICC calculation,3014,ivp_bm,202512,2025
2025-10-28,value,0.13703392350540822,ICC calculation,3003,value,202510,2025
2025-10-29,value,0.13814196297297154,ICC calculation,3002,value,202510,2025
2025-10-30,value,0.13859283266878347,ICC calculation,3002,value,202510,2025
2025-11-01,value,0.1381833914716319,ICC calculation,3003,value,202511,2025
2025-11-03,value,0.13867870688634507,ICC calculation,3000,value,202511,2025
2025-11-04,value,0.14030464019120725,ICC calculation,2998,value,202511,2025
2025-11-05,value,0.13873369508570066,ICC calculation,2997,value,202511,2025
2025-11-06,value,0.14034900084994598,ICC calculation,3004,value,202511,2025
2025-11-07,value,0.13994299542808403,ICC calculation,2997,value,202511,2025
2025-11-10,value,0.13922999700973956,ICC calculation,3002,value,202511,2025
2025-11-11,value,0.14081618826014727,ICC calculation,3002,value,202511,2025
2025-11-12,value,0.13961976084494232,ICC calculation,3002,value,202511,2025
2025-11-13,value,0.14021204327223233,ICC calculation,3000,value,202511,2025
2025-11-14,value,0.1404840606308967,ICC calculation,3001,value,202511,2025
2025-11-17,value,0.1411890537587201,ICC calculation,3012,value,202511,2025
2025-11-18,value,0.14148959647921394,ICC calculation,3012,value,202511,2025
2025-11-19,value,0.14227235616318873,ICC calculation,3015,value,202511,2025
2025-11-20,value,0.1428588589399571,ICC calculation,3014,value,202511,2025
2025-11-25,value,0.13999360930182092,ICC calculation,3011,value,202511,2025
2025-11-26,value,0.1400711182797526,ICC calculation,3016,value,202511,2025
2025-11-27,value,0.14019496971906847,ICC calculation,3015,value,202511,2025
2025-11-28,value,0.13875174345097113,ICC calculation,3015,value,202511,2025
2025-12-01,value,0.13758576884427576,ICC calculation,3011,value,202512,2025
2025-12-02,value,0.13796265313881445,ICC calculation,3010,value,202512,2025
2025-12-03,value,0.13748964980424289,ICC calculation,3012,value,202512,2025
2025-12-04,value,0.13621594673154244,ICC calculation,3014,value,202512,2025
2025-12-05,value,0.13724735712353586,ICC calculation,3016,value,202512,2025
2025-12-08,value,0.13518097636265963,ICC calculation,3015,value,202512,2025
2025-12-09,value,0.12498133220079938,ICC calculation,3015,value,202512,2025
2025-12-10,value,0.12080185799682665,ICC calculation,3026,value,202512,2025
2025-12-11,value,0.12192042382605142,ICC calculation,3028,value,202512,2025
2025-12-12,value,0.12223775696570544,ICC calculation,3022,value,202512,2025
2025-12-15,value,0.12155654739495544,ICC calculation,3023,value,202512,2025
2025-12-16,value,0.12239686527164928,ICC calculation,3022,value,202512,2025
2025-12-17,value,0.12158453881845194,ICC calculation,3019,value,202512,2025
2025-12-18,value,0.12162868937766504,ICC calculation,3017,value,202512,2025
2025-12-19,value,0.12235652159655153,ICC calculation,3017,value,202512,2025
2025-12-22,value,0.12251744730098621,ICC calculation,3018,value,202512,2025
2025-12-23,value,0.12305862027773476,ICC calculation,3019,value,202512,2025
2025-12-24,value,0.12317099341526175,ICC calculation,3018,value,202512,2025
2025-12-25,value,0.12321768150003906,ICC calculation,3014,value,202512,2025
2025-12-26,value,0.12306492662033988,ICC calculation,3013,value,202512,2025
2025-12-29,value,0.1235272849778464,ICC calculation,3013,value,202512,2025
2025-12-30,value,0.12294888665213016,ICC calculation,3013,value,202512,2025
2025-12-31,value,0.12335720881964772,ICC calculation,3014,value,202512,2025
