date,family,value,method,n_firms,label,yyyymm,year
2026-03-02,growth,0.0788940275019947,ICC calculation,2545,growth,202603,2026
2026-03-03,growth,0.0799594220892687,ICC calculation,2543,growth,202603,2026
2026-03-04,growth,0.07927680435296466,ICC calculation,2542,growth,202603,2026
2026-03-05,growth,0.08137529159494225,ICC calculation,2546,growth,202603,2026
2026-03-06,growth,0.08161057415929435,ICC calculation,2548,growth,202603,2026
2026-03-09,growth,0.08245993334576923,ICC calculation,2549,growth,202603,2026
2026-03-10,growth,0.08289188991416696,ICC calculation,2553,growth,202603,2026
2026-03-11,growth,0.08351793155114214,ICC calculation,2554,growth,202603,2026
2026-03-12,growth,0.08383867234367959,ICC calculation,2555,growth,202603,2026
2026-03-13,growth,0.08375814701937143,ICC calculation,2559,growth,202603,2026
2026-03-16,growth,0.08385780276626699,ICC calculation,2559,growth,202603,2026
2026-03-17,growth,0.08242140025544192,ICC calculation,2564,growth,202603,2026
2026-03-18,growth,0.08350817405420644,ICC calculation,2569,growth,202603,2026
2026-03-19,growth,0.08263651536794572,ICC calculation,2569,growth,202603,2026
2026-03-20,growth,0.08536838657743721,ICC calculation,2570,growth,202603,2026
2026-03-23,growth,0.08521016250201341,ICC calculation,2568,growth,202603,2026
2026-03-24,growth,0.08660742339491631,ICC calculation,2568,growth,202603,2026
2026-03-25,growth,0.0860030853724632,ICC calculation,2570,growth,202603,2026
2026-03-26,growth,0.08682427112569097,ICC calculation,2577,growth,202603,2026
2026-03-27,growth,0.08817317866662096,ICC calculation,2579,growth,202603,2026
2026-03-30,growth,0.08906143636642469,ICC calculation,2579,growth,202603,2026
2026-03-31,growth,0.08705299604395006,ICC calculation,2577,growth,202603,2026
2026-03-02,ivp_bm,0.03895773967227928,ICC calculation,2545,ivp_bm,202603,2026
2026-03-03,ivp_bm,0.03917282643346054,ICC calculation,2543,ivp_bm,202603,2026
2026-03-04,ivp_bm,0.038956667633760184,ICC calculation,2542,ivp_bm,202603,2026
2026-03-05,ivp_bm,0.03782414609950292,ICC calculation,2546,ivp_bm,202603,2026
2026-03-06,ivp_bm,0.03991014013346324,ICC calculation,2548,ivp_bm,202603,2026
2026-03-09,ivp_bm,0.03820226102440295,ICC calculation,2549,ivp_bm,202603,2026
2026-03-10,ivp_bm,0.037697342334100645,ICC calculation,2553,ivp_bm,202603,2026
2026-03-11,ivp_bm,0.03764233919275163,ICC calculation,2554,ivp_bm,202603,2026
2026-03-12,ivp_bm,0.03941228847801431,ICC calculation,2555,ivp_bm,202603,2026
2026-03-13,ivp_bm,0.039804738888069235,ICC calculation,2559,ivp_bm,202603,2026
2026-03-16,ivp_bm,0.03890024900755566,ICC calculation,2559,ivp_bm,202603,2026
2026-03-17,ivp_bm,0.041279581113069855,ICC calculation,2564,ivp_bm,202603,2026
2026-03-18,ivp_bm,0.03943087957204047,ICC calculation,2569,ivp_bm,202603,2026
2026-03-19,ivp_bm,0.04081870206447648,ICC calculation,2569,ivp_bm,202603,2026
2026-03-20,ivp_bm,0.03957096838077183,ICC calculation,2570,ivp_bm,202603,2026
2026-03-23,ivp_bm,0.0384168506159408,ICC calculation,2568,ivp_bm,202603,2026
2026-03-24,ivp_bm,0.036443105322039676,ICC calculation,2568,ivp_bm,202603,2026
2026-03-25,ivp_bm,0.03736563557502692,ICC calculation,2570,ivp_bm,202603,2026
2026-03-26,ivp_bm,0.037107528860714195,ICC calculation,2577,ivp_bm,202603,2026
2026-03-27,ivp_bm,0.03694382004656242,ICC calculation,2579,ivp_bm,202603,2026
2026-03-30,ivp_bm,0.036481148246567646,ICC calculation,2579,ivp_bm,202603,2026
2026-03-31,ivp_bm,0.03551502878898988,ICC calculation,2577,ivp_bm,202603,2026
2026-03-02,value,0.11785176717427398,ICC calculation,2545,value,202603,2026
2026-03-03,value,0.11913224852272924,ICC calculation,2543,value,202603,2026
2026-03-04,value,0.11823347198672485,ICC calculation,2542,value,202603,2026
2026-03-05,value,0.11919943769444517,ICC calculation,2546,value,202603,2026
2026-03-06,value,0.12152071429275758,ICC calculation,2548,value,202603,2026
2026-03-09,value,0.12066219437017218,ICC calculation,2549,value,202603,2026
2026-03-10,value,0.1205892322482676,ICC calculation,2553,value,202603,2026
2026-03-11,value,0.12116027074389377,ICC calculation,2554,value,202603,2026
2026-03-12,value,0.1232509608216939,ICC calculation,2555,value,202603,2026
2026-03-13,value,0.12356288590744066,ICC calculation,2559,value,202603,2026
2026-03-16,value,0.12275805177382265,ICC calculation,2559,value,202603,2026
2026-03-17,value,0.12370098136851178,ICC calculation,2564,value,202603,2026
2026-03-18,value,0.12293905362624691,ICC calculation,2569,value,202603,2026
2026-03-19,value,0.1234552174324222,ICC calculation,2569,value,202603,2026
2026-03-20,value,0.12493935495820904,ICC calculation,2570,value,202603,2026
2026-03-23,value,0.12362701311795421,ICC calculation,2568,value,202603,2026
2026-03-24,value,0.12305052871695599,ICC calculation,2568,value,202603,2026
2026-03-25,value,0.12336872094749013,ICC calculation,2570,value,202603,2026
2026-03-26,value,0.12393179998640516,ICC calculation,2577,value,202603,2026
2026-03-27,value,0.12511699871318338,ICC calculation,2579,value,202603,2026
2026-03-30,value,0.12554258461299234,ICC calculation,2579,value,202603,2026
2026-03-31,value,0.12256802483293994,ICC calculation,2577,value,202603,2026
