family,label,date,value,method,source,n_items,coverage_weight,status,__source_file
dow30,Dow 30,2026-04-29,0.0729588882561318,ICC calculation,Constituent ICC aggregation,30,,available,data/library/indices/daily/202604/indices_2026_0429.csv
dow30,Dow 30,2026-05-05,0.0719283605163833,ICC calculation,Constituent ICC aggregation,30,,available,data/library/indices/daily/202605/indices_2026_0505.csv
ndx100,Nasdaq-100,2026-04-29,0.0748301054957411,ICC calculation,Constituent ICC aggregation,100,,available,data/library/indices/daily/202604/indices_2026_0429.csv
ndx100,Nasdaq-100,2026-05-05,0.0685498834431513,ICC calculation,Constituent ICC aggregation,100,,available,data/library/indices/daily/202605/indices_2026_0505.csv
rut1000,Russell 1000,2026-04-29,0.0755875218487472,ICC calculation,Constituent ICC aggregation,976,,available,data/library/indices/daily/202604/indices_2026_0429.csv
rut1000,Russell 1000,2026-05-05,0.0718504116426814,ICC calculation,Constituent ICC aggregation,974,,available,data/library/indices/daily/202605/indices_2026_0505.csv
sp100,S&P 100,2026-04-29,0.0743075487273753,ICC calculation,Constituent ICC aggregation,101,,available,data/library/indices/daily/202604/indices_2026_0429.csv
sp100,S&P 100,2026-05-05,0.0690147139212553,ICC calculation,Constituent ICC aggregation,101,,available,data/library/indices/daily/202605/indices_2026_0505.csv
sp400,S&P 400,2026-04-29,0.0845993901717787,ICC calculation,Constituent ICC aggregation,395,,available,data/library/indices/daily/202604/indices_2026_0429.csv
sp400,S&P 400,2026-05-05,0.0837457434867563,ICC calculation,Constituent ICC aggregation,394,,available,data/library/indices/daily/202605/indices_2026_0505.csv
sp500,S&P 500,2026-04-29,0.075067164226114,ICC calculation,Constituent ICC aggregation,500,,available,data/library/indices/daily/202604/indices_2026_0429.csv
sp500,S&P 500,2026-05-05,0.0711409923668442,ICC calculation,Constituent ICC aggregation,500,,available,data/library/indices/daily/202605/indices_2026_0505.csv
sp600,S&P 600,2026-04-29,0.0923873972871924,ICC calculation,Constituent ICC aggregation,573,,available,data/library/indices/daily/202604/indices_2026_0429.csv
sp600,S&P 600,2026-05-05,0.0917999572488595,ICC calculation,Constituent ICC aggregation,572,,available,data/library/indices/daily/202605/indices_2026_0505.csv
