family,label,date,value,method,source,n_items,coverage_weight,status
Basic Materials,Basic Materials,2026-04-28,0.0827815294848726,ICC calculation,Constituent ICC aggregation,167,,available
Communication Services,Communication Services,2026-04-28,0.06759454143902378,ICC calculation,Constituent ICC aggregation,119,,available
Consumer Cyclical,Consumer Cyclical,2026-04-28,0.09486167957247413,ICC calculation,Constituent ICC aggregation,333,,available
Consumer Defensive,Consumer Defensive,2026-04-28,0.07250837166472657,ICC calculation,Constituent ICC aggregation,137,,available
Energy,Energy,2026-04-28,0.08202232139368038,ICC calculation,Constituent ICC aggregation,186,,available
Financial Services,Financial Services,2026-04-28,0.09253701783617627,ICC calculation,Constituent ICC aggregation,510,,available
Healthcare,Healthcare,2026-04-28,0.0955473250267766,ICC calculation,Constituent ICC aggregation,257,,available
Industrials,Industrials,2026-04-28,0.06819718843982486,ICC calculation,Constituent ICC aggregation,382,,available
Real Estate,Real Estate,2026-04-28,0.05688975553023818,ICC calculation,Constituent ICC aggregation,164,,available
Technology,Technology,2026-04-28,0.0818455619917435,ICC calculation,Constituent ICC aggregation,378,,available
Utilities,Utilities,2026-04-28,0.0771477053234514,ICC calculation,Constituent ICC aggregation,80,,available
