family,label,date,value,method,source,n_items,coverage_weight,status,__source_file
Basic Materials,Basic Materials,2026-04-17,0.0811722011236684,ICC calculation,Constituent ICC aggregation,167,,available,data/library/industry/daily/202604/industry_2026_0417.csv
Communication Services,Communication Services,2026-04-17,0.0682254115071632,ICC calculation,Constituent ICC aggregation,124,,available,data/library/industry/daily/202604/industry_2026_0417.csv
Consumer Cyclical,Consumer Cyclical,2026-04-17,0.0935811641426618,ICC calculation,Constituent ICC aggregation,334,,available,data/library/industry/daily/202604/industry_2026_0417.csv
Consumer Defensive,Consumer Defensive,2026-04-17,0.0736365246117874,ICC calculation,Constituent ICC aggregation,135,,available,data/library/industry/daily/202604/industry_2026_0417.csv
Energy,Energy,2026-04-17,0.0827943833848769,ICC calculation,Constituent ICC aggregation,187,,available,data/library/industry/daily/202604/industry_2026_0417.csv
Financial Services,Financial Services,2026-04-17,0.0892122392583804,ICC calculation,Constituent ICC aggregation,515,,available,data/library/industry/daily/202604/industry_2026_0417.csv
Healthcare,Healthcare,2026-04-17,0.0935047461577998,ICC calculation,Constituent ICC aggregation,256,,available,data/library/industry/daily/202604/industry_2026_0417.csv
Industrials,Industrials,2026-04-17,0.0690278433673493,ICC calculation,Constituent ICC aggregation,383,,available,data/library/industry/daily/202604/industry_2026_0417.csv
Real Estate,Real Estate,2026-04-17,0.0572703470154684,ICC calculation,Constituent ICC aggregation,164,,available,data/library/industry/daily/202604/industry_2026_0417.csv
Technology,Technology,2026-04-17,0.0810630396106924,ICC calculation,Constituent ICC aggregation,376,,available,data/library/industry/daily/202604/industry_2026_0417.csv
Utilities,Utilities,2026-04-17,0.0775287683362039,ICC calculation,Constituent ICC aggregation,80,,available,data/library/industry/daily/202604/industry_2026_0417.csv
