family,label,date,value,method,source,n_items,coverage_weight,status,__source_file
Basic Materials,Basic Materials,2026-05-05,0.0834187914079349,ICC calculation,Constituent ICC aggregation,167,,available,data/library/industry/daily/202605/industry_2026_0505.csv
Communication Services,Communication Services,2026-05-05,0.0475571752945985,ICC calculation,Constituent ICC aggregation,120,,available,data/library/industry/daily/202605/industry_2026_0505.csv
Consumer Cyclical,Consumer Cyclical,2026-05-05,0.0888939252052548,ICC calculation,Constituent ICC aggregation,332,,available,data/library/industry/daily/202605/industry_2026_0505.csv
Consumer Defensive,Consumer Defensive,2026-05-05,0.0712828387148887,ICC calculation,Constituent ICC aggregation,137,,available,data/library/industry/daily/202605/industry_2026_0505.csv
Energy,Energy,2026-05-05,0.0809273747284476,ICC calculation,Constituent ICC aggregation,187,,available,data/library/industry/daily/202605/industry_2026_0505.csv
Financial Services,Financial Services,2026-05-05,0.0917345217120801,ICC calculation,Constituent ICC aggregation,510,,available,data/library/industry/daily/202605/industry_2026_0505.csv
Healthcare,Healthcare,2026-05-05,0.0942868660920179,ICC calculation,Constituent ICC aggregation,254,,available,data/library/industry/daily/202605/industry_2026_0505.csv
Industrials,Industrials,2026-05-05,0.0679531541660025,ICC calculation,Constituent ICC aggregation,382,,available,data/library/industry/daily/202605/industry_2026_0505.csv
Real Estate,Real Estate,2026-05-05,0.0573608884904687,ICC calculation,Constituent ICC aggregation,164,,available,data/library/industry/daily/202605/industry_2026_0505.csv
Technology,Technology,2026-05-05,0.0816174790653743,ICC calculation,Constituent ICC aggregation,376,,available,data/library/industry/daily/202605/industry_2026_0505.csv
Utilities,Utilities,2026-05-05,0.0726301910712198,ICC calculation,Constituent ICC aggregation,80,,available,data/library/industry/daily/202605/industry_2026_0505.csv
