family,label,date,value,method,source,n_items,coverage_weight,status,__source_file
Basic Materials,Basic Materials,2026-04-21,0.0826717188058682,ICC calculation,Constituent ICC aggregation,167,,available,data/library/industry/daily/202604/industry_2026_0421.csv
Communication Services,Communication Services,2026-04-21,0.0696291262664628,ICC calculation,Constituent ICC aggregation,119,,available,data/library/industry/daily/202604/industry_2026_0421.csv
Consumer Cyclical,Consumer Cyclical,2026-04-21,0.0940543812258721,ICC calculation,Constituent ICC aggregation,333,,available,data/library/industry/daily/202604/industry_2026_0421.csv
Consumer Defensive,Consumer Defensive,2026-04-21,0.0742158244950131,ICC calculation,Constituent ICC aggregation,134,,available,data/library/industry/daily/202604/industry_2026_0421.csv
Energy,Energy,2026-04-21,0.0829000707795519,ICC calculation,Constituent ICC aggregation,186,,available,data/library/industry/daily/202604/industry_2026_0421.csv
Financial Services,Financial Services,2026-04-21,0.0900930342317838,ICC calculation,Constituent ICC aggregation,510,,available,data/library/industry/daily/202604/industry_2026_0421.csv
Healthcare,Healthcare,2026-04-21,0.0945507180891365,ICC calculation,Constituent ICC aggregation,255,,available,data/library/industry/daily/202604/industry_2026_0421.csv
Industrials,Industrials,2026-04-21,0.0706467572506025,ICC calculation,Constituent ICC aggregation,382,,available,data/library/industry/daily/202604/industry_2026_0421.csv
Real Estate,Real Estate,2026-04-21,0.0567397261772166,ICC calculation,Constituent ICC aggregation,162,,available,data/library/industry/daily/202604/industry_2026_0421.csv
Technology,Technology,2026-04-21,0.0817486457823757,ICC calculation,Constituent ICC aggregation,376,,available,data/library/industry/daily/202604/industry_2026_0421.csv
Utilities,Utilities,2026-04-21,0.0789916010428917,ICC calculation,Constituent ICC aggregation,80,,available,data/library/industry/daily/202604/industry_2026_0421.csv
