family,label,date,value,method,source,n_items,coverage_weight,status,__source_file
all_market,All market,2026-04-17,0.0810134161026861,ICC calculation,Constituent ICC aggregation,2723,,available,data/library/marketwide/daily/202604/marketwide_2026_0417.csv
all_market,All market,2026-04-21,0.0819290260904396,ICC calculation,Constituent ICC aggregation,2706,,available,data/library/marketwide/daily/202604/marketwide_2026_0421.csv
all_market,All market,2026-04-22,0.0808609958040494,ICC calculation,Constituent ICC aggregation,2709,,available,data/library/marketwide/daily/202604/marketwide_2026_0422.csv
all_market,All market,2026-04-23,0.0814380090436166,ICC calculation,Constituent ICC aggregation,2724,,available,data/library/marketwide/daily/202604/marketwide_2026_0423.csv
all_market,All market,2026-04-27,0.0816038436146909,ICC calculation,Constituent ICC aggregation,2713,,available,data/library/marketwide/daily/202604/marketwide_2026_0427.csv
all_market,All market,2026-04-28,0.0817344885323277,ICC calculation,Constituent ICC aggregation,2715,,available,data/library/marketwide/daily/202604/marketwide_2026_0428.csv
all_market,All market,2026-04-29,0.0817161230034736,ICC calculation,Constituent ICC aggregation,2726,,available,data/library/marketwide/daily/202604/marketwide_2026_0429.csv
all_market,All market,2026-05-01,0.0782496282741883,ICC calculation,Constituent ICC aggregation,2711,,available,data/library/marketwide/daily/202605/marketwide_2026_0501.csv
all_market,All market,2026-05-05,0.0775531692180297,ICC calculation,Constituent ICC aggregation,2711,,available,data/library/marketwide/daily/202605/marketwide_2026_0505.csv
sp500,S&P 500,2026-04-17,0.074973566467402,ICC calculation,Constituent ICC aggregation,500,,available,data/library/marketwide/daily/202604/marketwide_2026_0417.csv
sp500,S&P 500,2026-04-21,0.0758585205854684,ICC calculation,Constituent ICC aggregation,499,,available,data/library/marketwide/daily/202604/marketwide_2026_0421.csv
sp500,S&P 500,2026-04-22,0.0740492839193054,ICC calculation,Constituent ICC aggregation,499,,available,data/library/marketwide/daily/202604/marketwide_2026_0422.csv
sp500,S&P 500,2026-04-23,0.0757900175311006,ICC calculation,Constituent ICC aggregation,500,,available,data/library/marketwide/daily/202604/marketwide_2026_0423.csv
sp500,S&P 500,2026-04-27,0.0748247913636943,ICC calculation,Constituent ICC aggregation,500,,available,data/library/marketwide/daily/202604/marketwide_2026_0427.csv
sp500,S&P 500,2026-04-28,0.0749739373522742,ICC calculation,Constituent ICC aggregation,500,,available,data/library/marketwide/daily/202604/marketwide_2026_0428.csv
sp500,S&P 500,2026-04-29,0.075067164226114,ICC calculation,Constituent ICC aggregation,500,,available,data/library/marketwide/daily/202604/marketwide_2026_0429.csv
sp500,S&P 500,2026-05-01,0.0714345785881318,ICC calculation,Constituent ICC aggregation,500,,available,data/library/marketwide/daily/202605/marketwide_2026_0501.csv
sp500,S&P 500,2026-05-05,0.0711409923668442,ICC calculation,Constituent ICC aggregation,500,,available,data/library/marketwide/daily/202605/marketwide_2026_0505.csv
