family,label,date,value,method,source,n_items,coverage_weight,status,__source_file
growth_icc,Growth ICC,2026-04-17,0.0832484578356076,ICC calculation,Constituent ICC aggregation,2574,,available,data/library/value/daily/202604/value_2026_0417.csv
growth_icc,Growth ICC,2026-04-21,0.0841043322761779,ICC calculation,Constituent ICC aggregation,2558,,available,data/library/value/daily/202604/value_2026_0421.csv
growth_icc,Growth ICC,2026-04-22,0.0832063377968632,ICC calculation,Constituent ICC aggregation,2560,,available,data/library/value/daily/202604/value_2026_0422.csv
growth_icc,Growth ICC,2026-04-23,0.084030544923652,ICC calculation,Constituent ICC aggregation,2576,,available,data/library/value/daily/202604/value_2026_0423.csv
growth_icc,Growth ICC,2026-04-27,0.0849771290412299,ICC calculation,Constituent ICC aggregation,2566,,available,data/library/value/daily/202604/value_2026_0427.csv
growth_icc,Growth ICC,2026-04-28,0.0837628770906334,ICC calculation,Constituent ICC aggregation,2568,,available,data/library/value/daily/202604/value_2026_0428.csv
growth_icc,Growth ICC,2026-04-29,0.0835049995789109,ICC calculation,Constituent ICC aggregation,2577,,available,data/library/value/daily/202604/value_2026_0429.csv
ivp_bm,IVP (B/M),2026-04-17,0.036402715251233,ICC calculation,Constituent ICC aggregation,2574,,available,data/library/value/daily/202604/value_2026_0417.csv
ivp_bm,IVP (B/M),2026-04-21,0.0366252873423074,ICC calculation,Constituent ICC aggregation,2558,,available,data/library/value/daily/202604/value_2026_0421.csv
ivp_bm,IVP (B/M),2026-04-22,0.035327474742386,ICC calculation,Constituent ICC aggregation,2560,,available,data/library/value/daily/202604/value_2026_0422.csv
ivp_bm,IVP (B/M),2026-04-23,0.0371612046254928,ICC calculation,Constituent ICC aggregation,2576,,available,data/library/value/daily/202604/value_2026_0423.csv
ivp_bm,IVP (B/M),2026-04-27,0.0367229342783026,ICC calculation,Constituent ICC aggregation,2566,,available,data/library/value/daily/202604/value_2026_0427.csv
ivp_bm,IVP (B/M),2026-04-28,0.036592366491451,ICC calculation,Constituent ICC aggregation,2568,,available,data/library/value/daily/202604/value_2026_0428.csv
ivp_bm,IVP (B/M),2026-04-29,0.0369889609186377,ICC calculation,Constituent ICC aggregation,2577,,available,data/library/value/daily/202604/value_2026_0429.csv
value_icc,Value ICC,2026-04-17,0.1196511730868407,ICC calculation,Constituent ICC aggregation,2574,,available,data/library/value/daily/202604/value_2026_0417.csv
value_icc,Value ICC,2026-04-21,0.1207296196184854,ICC calculation,Constituent ICC aggregation,2558,,available,data/library/value/daily/202604/value_2026_0421.csv
value_icc,Value ICC,2026-04-22,0.1185338125392493,ICC calculation,Constituent ICC aggregation,2560,,available,data/library/value/daily/202604/value_2026_0422.csv
value_icc,Value ICC,2026-04-23,0.1211917495491448,ICC calculation,Constituent ICC aggregation,2576,,available,data/library/value/daily/202604/value_2026_0423.csv
value_icc,Value ICC,2026-04-27,0.1217000633195325,ICC calculation,Constituent ICC aggregation,2566,,available,data/library/value/daily/202604/value_2026_0427.csv
value_icc,Value ICC,2026-04-28,0.1203552435820845,ICC calculation,Constituent ICC aggregation,2568,,available,data/library/value/daily/202604/value_2026_0428.csv
value_icc,Value ICC,2026-04-29,0.1204939604975486,ICC calculation,Constituent ICC aggregation,2577,,available,data/library/value/daily/202604/value_2026_0429.csv
