sector,vw_icc,ew_icc,n_items,date,source_file
Consumer Cyclical,0.09489073738816745,0.11870799989802247,334.0,2026-04-16,data/202604/icc_live_usall_2026_0416_r1.csv
Healthcare,0.0944102029204048,0.09897371397264591,257.0,2026-04-16,data/202604/icc_live_usall_2026_0416_r1.csv
Financial Services,0.08969589658682242,0.11981261711876963,515.0,2026-04-16,data/202604/icc_live_usall_2026_0416_r1.csv
Energy,0.08199122121092564,0.10871310199622293,187.0,2026-04-16,data/202604/icc_live_usall_2026_0416_r1.csv
Technology,0.08157802446736395,0.09648115072180409,376.0,2026-04-16,data/202604/icc_live_usall_2026_0416_r1.csv
Basic Materials,0.08146835236434928,0.10929233591814967,167.0,2026-04-16,data/202604/icc_live_usall_2026_0416_r1.csv
Utilities,0.0772369067138059,0.08565602848863145,80.0,2026-04-16,data/202604/icc_live_usall_2026_0416_r1.csv
Consumer Defensive,0.07434008356070375,0.10814199103026344,135.0,2026-04-16,data/202604/icc_live_usall_2026_0416_r1.csv
Industrials,0.0700104042007966,0.0901783090557669,383.0,2026-04-16,data/202604/icc_live_usall_2026_0416_r1.csv
Communication Services,0.06914275757751538,0.12920599211036793,124.0,2026-04-16,data/202604/icc_live_usall_2026_0416_r1.csv
Real Estate,0.05828893776082633,0.0927869260196421,164.0,2026-04-16,data/202604/icc_live_usall_2026_0416_r1.csv
