sector,vw_icc,ew_icc,n_items,total_mktcap,date
Basic Materials,0.09314549637907472,0.11899494736076567,158.0,2281345409606.0,2025-10-30
Basic Materials,0.09458724528864364,0.1149421537282136,159.0,2379732888220.0,2025-11-28
Basic Materials,0.10006840596182996,0.11339125199745331,154.0,2454140287416.0,2025-12-31
Basic Materials,0.09703400799100133,0.11121583797634488,161.0,2751128872728.0,2026-01-30
Basic Materials,0.07600533054393632,0.09784795577748837,165.0,3083108008056.0,2026-02-27
Basic Materials,0.08283637001403374,0.11447840494076934,165.0,2723160871243.0,2026-03-31
Basic Materials,0.0810829259016994,0.10982358974848422,166.0,2872997344419.0,2026-04-15
Communication Services,0.06076404935895621,0.12347205671376908,157.0,11438923791532.0,2025-10-30
Communication Services,0.05847491985482143,0.12295406676112719,160.0,12295668947971.0,2025-11-28
Communication Services,0.05944583056313778,0.12033114683197495,166.0,12158655651999.0,2025-12-31
Communication Services,0.053222753087121634,0.12254657628535595,118.0,11770089674420.0,2026-01-30
Communication Services,0.07167510791561736,0.12749703750879718,121.0,10973423086759.0,2026-02-27
Communication Services,0.07620109253319962,0.1264318176324869,123.0,10099146162517.0,2026-03-31
Communication Services,0.068971192307244,0.12579361946736836,124.0,11554911302188.0,2026-04-15
Consumer Cyclical,0.08497267329760003,0.1132869378800753,394.0,9157729776032.0,2025-10-30
Consumer Cyclical,0.08076901044071406,0.10857849974631138,390.0,9253965792457.0,2025-11-28
Consumer Cyclical,0.07829922298957434,0.1055095829225496,384.0,9298204393254.0,2025-12-31
Consumer Cyclical,0.08424222649141257,0.10654323729111081,329.0,7428417639191.0,2026-01-30
Consumer Cyclical,0.09727118773155727,0.113342142333627,330.0,7097475664215.0,2026-02-27
Consumer Cyclical,0.1016865851964242,0.12177420392912533,333.0,6606142275877.0,2026-03-31
Consumer Cyclical,0.09473757812077588,0.11749644482987996,334.0,7251958289219.0,2026-04-15
Consumer Defensive,0.06799312656394164,0.11069237685592433,155.0,4102422400898.0,2025-10-30
Consumer Defensive,0.06585566040538396,0.10843301541646093,158.0,4245072563137.0,2025-11-28
Consumer Defensive,0.07329959879769248,0.10852688412192574,156.0,3266741012623.0,2025-12-31
Consumer Defensive,0.06957261941623143,0.10065708780574377,135.0,3248442347086.0,2026-01-30
Consumer Defensive,0.06761981263124323,0.10286378433627696,132.0,3485805935777.0,2026-02-27
Consumer Defensive,0.07346963678616435,0.11345126979326504,135.0,3150101218151.0,2026-03-31
Consumer Defensive,0.07453143017200735,0.10853370051568678,135.0,3137502210717.0,2026-04-15
Energy,0.10059913945948319,0.12181230436566964,186.0,3440688518028.0,2025-10-30
Energy,0.09738940433567828,0.12223259482878275,185.0,3553006002144.0,2025-11-28
Energy,0.10383065398626748,0.1210738832882264,183.0,3521587425516.0,2025-12-31
Energy,0.08757910996228611,0.1117162746574067,180.0,4002692679328.0,2026-01-30
Energy,0.10586075622810628,0.11487139904800978,180.0,4328791459824.0,2026-02-27
Energy,0.08273670845327648,0.10603229989102754,185.0,4813438377501.0,2026-03-31
Energy,0.08189362446415702,0.10895902103232877,186.0,4500533287532.0,2026-04-15
Financial Services,0.08497536395148621,0.12145951732014468,623.0,13581042449610.0,2025-10-30
Financial Services,0.08681286724060583,0.11824267713640418,629.0,14059411910680.0,2025-11-28
Financial Services,0.08676040115466509,0.11694862505978723,634.0,14462369102700.0,2025-12-31
Financial Services,0.08788839931422811,0.11461446825181518,516.0,13910518889377.0,2026-01-30
Financial Services,0.09087249844561326,0.11997646209800272,510.0,13499217529030.0,2026-02-27
Financial Services,0.09362411638939869,0.1249764427558503,515.0,12770162737891.0,2026-03-31
Financial Services,0.09048234959535006,0.11954409932308509,515.0,13576345220243.0,2026-04-15
Healthcare,0.08359080602067034,0.0931387674898582,305.0,7365925026340.0,2025-10-30
Healthcare,0.07826227190362725,0.087178120218108,314.0,7995751060861.0,2025-11-28
Healthcare,0.07873544658942577,0.08341644443943591,332.0,7962986821391.0,2025-12-31
Healthcare,0.08316205158608093,0.08424773000277863,252.0,7473582273666.0,2026-01-30
Healthcare,0.08571863872683104,0.09536333027280085,255.0,7767706517513.0,2026-02-27
Healthcare,0.09070327047341153,0.10180228537337845,259.0,7088712065168.0,2026-03-31
Healthcare,0.09535799182538172,0.09893465188199205,256.0,7175206043438.0,2026-04-15
Industrials,0.06594072786373502,0.09298896221000995,435.0,6563449804479.0,2025-10-30
Industrials,0.0681235266611869,0.0933193350811759,434.0,6557888993928.0,2025-11-28
Industrials,0.06786118080699546,0.09060311993318011,429.0,6609824844497.0,2025-12-31
Industrials,0.06763859346282759,0.08833375718686237,377.0,6677967281435.0,2026-01-30
Industrials,0.06700364862649147,0.09143839681541081,378.0,7195297792362.0,2026-02-27
Industrials,0.07174656795159687,0.0947909524061731,387.0,6619713935879.0,2026-03-31
Industrials,0.06982600993979975,0.09065118477383018,383.0,7052603092780.0,2026-04-15
Real Estate,0.06977424493443453,0.09308062511389648,183.0,1598402567202.0,2025-10-30
Real Estate,0.06406659000291177,0.09187925236047241,180.0,1641319599714.0,2025-11-28
Real Estate,0.06678382576267076,0.09186071653845812,174.0,1589169615546.0,2025-12-31
Real Estate,0.06222909645066061,0.08887151094375614,166.0,1586241239653.0,2026-01-30
Real Estate,0.05911652928302005,0.08974068412415459,164.0,1657029335958.0,2026-02-27
Real Estate,0.06128118442317076,0.09627770194846573,164.0,1550514281242.0,2026-03-31
Real Estate,0.05848641035208302,0.0931128539073337,164.0,1657203285547.0,2026-04-15
Technology,0.06523833050258772,0.08436455020629455,490.0,27351606903969.0,2025-10-30
Technology,0.07337608840342255,0.08448290731117054,486.0,25991736215337.0,2025-11-28
Technology,0.07653995041078078,0.0825558864298037,492.0,25977032874157.0,2025-12-31
Technology,0.06984434729169631,0.08579016407995477,366.0,18878356341388.0,2026-01-30
Technology,0.0741914127113329,0.09629260450384003,368.0,18744261635380.0,2026-02-27
Technology,0.0842497910540855,0.10123297957283733,373.0,17773900531926.0,2026-03-31
Technology,0.08110708971210549,0.09735571653718333,375.0,19862271317490.0,2026-04-15
Utilities,0.0825975970049667,0.09587789101667325,91.0,1804268956976.0,2025-10-30
Utilities,0.08068714200641974,0.08782802323466223,92.0,1812827473940.0,2025-11-28
Utilities,0.08348774325238971,0.09188266589248327,90.0,1713606281680.0,2025-12-31
Utilities,0.08115716611461118,0.08451534689321648,81.0,1706351693008.0,2026-01-30
Utilities,0.0749285882278573,0.08261290404745084,80.0,1867758934560.0,2026-02-27
Utilities,0.07834984138646284,0.08736421035075508,80.0,1802790834160.0,2026-03-31
Utilities,0.07737848987916464,0.0855469388748178,80.0,1831430135216.0,2026-04-15
