ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
MMM,160.89,3.12,84740759552,526700000,8.867,Industrials,3M Company,8.66115,0.085188456498271,0.055112190694186144,0.0686381427351227,2026-03-04
AOS,73.35,1.4,10143565824,112426758,13.411,Industrials,A.O. Smith Corporation,4.01902,0.08329891366552022,0.14864154062771526,0.06876527250274694,2026-03-04
ABT,113.1,2.52,196531945472,1737682887,30.018,Healthcare,Abbott Laboratories,5.67774,0.09967346162381507,0.26541112579276593,0.07073136840385075,2026-03-04
ABBV,236.19,6.92,417623834624,1768169012,-1.85,Healthcare,AbbVie Inc.,14.5307,0.10878209583846621,,0.08603191536185684,2026-03-04
ACN,210.0,6.52,130229166080,615435159,50.162,Technology,Accenture plc,13.84882,0.07848538720266429,0.23705487315179158,0.08074197115521564,2026-03-04
ADBE,273.12,0.0,114328027136,410500000,28.143,Technology,Adobe Inc.,23.47315,0.12461045918421698,0.10104872610333224,0.09541563077766024,2026-03-04
AMD,202.07,0.0,329457139712,1630410843,38.65,Technology,"Advanced Micro Devices, Inc.",6.63997,0.6324938215082299,0.19127033985979436,0.1518701731059552,2026-03-04
AES,14.29,0.7,10176208896,712120944,5.705,Utilities,The AES Corporation,2.31375,0.029398163155051282,0.3992302071468797,0.11786020951674792,2026-03-04
AFL,112.48,2.44,58952335360,518690000,56.855,Financial Services,AFLAC Incorporated,7.35987,0.05585560614521712,0.5002366703526637,0.06938421079465973,2026-03-04
A,120.54,1.02,34172954624,282839637,24.436,Healthcare,"Agilent Technologies, Inc.",5.96628,0.10080485662758032,0.20224968679992358,0.06490624694429659,2026-03-04
APD,274.2,7.24,61052276736,222656008,69.216,Basic Materials,"Air Products and Chemicals, Inc",13.02908,0.07573443405060054,0.2524288867451942,0.06346194167152508,2026-03-04
ABNB,135.54,0.0,81258119168,423573275,13.62,Consumer Cyclical,"Airbnb, Inc.",4.94809,0.16233536576739716,0.07099681932795582,0.06236119390274596,2026-03-04
AKAM,102.98,0.0,14920578048,144888114,34.395,Technology,"Akamai Technologies, Inc.",6.87495,0.10525022000159989,0.3339968910720583,0.07659236524561838,2026-03-04
ALB,168.35,1.62,19839580160,117847220,61.999,Basic Materials,Albemarle Corporation,7.80516,0.11320587918761449,0.36827441578179043,0.06557843954728462,2026-03-04
ARE,53.58,4.08,9285434368,173300361,90.713,Real Estate,Alexandria Real Estate Equities,0.0479,0.01,1.6930382601777063,0.010000000000000002,2026-03-04
