ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
MMM,146.56,3.12,77193150464,526700000,8.867,Industrials,3M Company,8.66115,0.085188456498271,0.06050081998114625,0.07357409498905099,2026-03-23
AOS,65.07,1.4,8998524928,112376652,13.411,Industrials,A.O. Smith Corporation,4.01111,0.08302190665426767,0.16748114741367529,0.07497504051385018,2026-03-23
ABT,104.85,2.52,182196060160,1737674869,30.018,Healthcare,Abbott Laboratories,5.67656,0.09941232013754808,0.2862933708436673,0.07480167146687011,2026-03-23
ABBV,204.93,6.92,362350837760,1768169012,-1.85,Healthcare,AbbVie Inc.,14.5364,0.10865964062628986,,0.09543987655547903,2026-03-23
ACN,200.02,6.52,124040183808,615435159,50.762,Technology,Accenture plc,13.88258,0.07449263753567403,0.2518596682307006,0.08257034301580238,2026-03-23
ADBE,247.64,0.0,101656223744,407636918,27.885,Technology,Adobe Inc.,23.54754,0.11926638621274233,0.11181760486259362,0.09971633626485665,2026-03-23
AMD,202.68,0.0,330451681280,1630410843,38.65,Technology,"Advanced Micro Devices, Inc.",6.63741,0.6189176199752613,0.19069468443271587,0.1488450844110617,2026-03-23
AES,14.08,0.7,10032828416,712558860,5.705,Utilities,The AES Corporation,2.29304,0.04051826396399538,0.4051846725313318,0.12440833365338178,2026-03-23
AFL,106.65,2.44,55070801920,516369452,56.855,Financial Services,AFLAC Incorporated,7.35702,0.05626462888506478,0.5330989230210941,0.07234061301901751,2026-03-23
A,112.02,1.02,31683696640,282602317,24.436,Healthcare,"Agilent Technologies, Inc.",5.9664,0.09952232502011271,0.21795658179272354,0.06802160987354078,2026-03-23
APD,278.66,7.24,62045323264,222656008,69.216,Basic Materials,"Air Products and Chemicals, Inc",13.04119,0.0762254058103593,0.2483887171343016,0.06281629023183799,2026-03-23
ABNB,132.59,0.0,79489556480,423573275,13.62,Consumer Cyclical,"Airbnb, Inc.",4.9517,0.16197669487246813,0.07257642715557897,0.06324581309188074,2026-03-23
AKAM,114.43,0.0,16579547136,144888114,34.395,Technology,"Akamai Technologies, Inc.",6.87495,0.10525022000159989,0.30057676727546057,0.07153632306256286,2026-03-23
ALB,167.56,1.62,19746480128,117847220,61.999,Basic Materials,Albemarle Corporation,7.90423,0.10730836526771115,0.37001074345496643,0.06490739564001169,2026-03-23
ARE,48.15,4.08,8344413184,173300361,90.713,Real Estate,Alexandria Real Estate Equities,0.18253,0.01,1.8839665894704813,0.010000000000000002,2026-03-23
ALGN,180.86,0.0,12976705536,71282132,56.739,Healthcare,"Align Technology, Inc.",11.29115,0.08880849160625814,0.3116720862878336,0.06904941832959766,2026-03-23
ALLE,143.63,2.08,12373076992,86145484,24.023,Industrials,Allegion plc,8.8022,0.07717161618686252,0.1672561290510072,0.07025550336966357,2026-03-23
LNT,69.17,2.06,17786431488,257140829,28.522,Utilities,Alliant Energy Corporation,3.41998,0.0778045485646115,0.4123463849219084,0.06704494347653112,2026-03-23
ALL,207.76,4.32,53921165312,259535842,110.035,Financial Services,Allstate Corporation (The),25.32751,0.01,0.5296255414590324,0.0796652539413133,2026-03-23
GOOGL,302.06,0.84,3654019973120,5822000000,34.353,Communication Services,Alphabet Inc.,11.4317,0.16484774792900447,0.05473510475347142,0.0655849327522785,2026-03-23
GOOG,299.02,0.84,3617244839936,5438000000,34.353,Communication Services,Alphabet Inc.,11.55353,0.1616856493210299,0.051644724719077974,0.06582898840581675,2026-03-23
MO,64.39,4.24,108089663488,1671898087,-2.092,Consumer Defensive,"Altria Group, Inc.",5.61825,0.03391091532060697,,0.09281403372630181,2026-03-23
AMZN,210.14,0.0,2255836151808,10734920870,38.306,Consumer Cyclical,"Amazon.com, Inc.",7.74894,0.21821694322062113,0.18228800815903373,0.07409206960410175,2026-03-23
AMCR,39.36,2.6,18186119168,462045690,25.184,Consumer Cyclical,Amcor plc,3.97745,0.10893663025305145,0.6398373698900421,0.133237233324078,2026-03-23
AEE,106.9,3.0,29549780992,276424515,48.484,Utilities,Ameren Corporation,5.37667,0.08617415612265589,0.45354536430873593,0.06947437277785118,2026-03-23
AEP,127.92,3.8,69187002368,540861473,57.571,Utilities,American Electric Power Company,6.36064,0.07871220506112597,0.4500547038656606,0.0675157420144411,2026-03-23
AXP,301.91,3.8,207971205120,686614005,48.796,Financial Services,American Express Company,17.56668,0.14557787811925738,0.1610993068422529,0.0857479504059987,2026-03-23
AIG,75.09,1.8,40516763648,536559663,76.441,Financial Services,"American International Group, I",7.8627,0.12524450888371663,1.0123009220507573,0.11861110049945112,2026-03-23
AMT,176.5,6.89,82627878912,466084820,7.833,Real Estate,American Tower Corporation (REI,6.48155,0.06586233231248695,0.04418414756777437,0.054865837885081814,2026-03-23
AWK,135.73,3.31,26495672320,195208666,55.524,Utilities,"American Water Works Company, I",6.09763,0.07904382522389852,0.4090768424397543,0.06132664492305884,2026-03-23
AMP,442.91,6.4,41148870656,91178997,71.759,Financial Services,"Ameriprise Financial, Inc.",43.17091,0.08045371292845127,0.15900591052476343,0.09472308126990503,2026-03-23
AME,212.81,1.36,48747413504,229065429,46.406,Industrials,"AMETEK, Inc.",8.05341,0.08261593536154255,0.2180630629213127,0.04946488371428141,2026-03-23
AMGN,349.77,10.08,188549693440,539067675,16.069,Healthcare,Amgen Inc.,22.38242,0.04027446540633228,0.04594162054329458,0.06576791884397698,2026-03-23
APH,130.67,1.0,160621510656,1229214930,10.935,Technology,Amphenol Corporation,4.38365,0.17388705758899525,0.08368409190433608,0.06450189864315858,2026-03-23
ADI,312.19,4.07,152412454912,488204157,69.207,Technology,"Analog Devices, Inc.",11.42499,0.13140930539107698,0.2216823101039022,0.0613362995731328,2026-03-23
AON,325.97,2.98,70062448640,214500000,43.599,Financial Services,Aon plc,19.10034,0.1269432900147327,0.13348071158707364,0.07962233742388325,2026-03-23
APA,39.03,1.0,13787405312,353251476,17.262,Energy,APA Corporation,2.72964,0.01,0.442275166408918,0.05616642545640216,2026-03-23
APO,110.45,2.04,64107671552,578247338,37.899,Financial Services,"Apollo Global Management, Inc. ",9.23805,0.1737054897949244,0.3418466984109066,0.11734362593027836,2026-03-23
AAPL,251.49,1.04,3696381394944,14681140000,5.998,Technology,Apple Inc.,8.51688,0.09971139666168827,0.023822616854539725,0.04843816852263952,2026-03-23
AMAT,361.79,2.12,287120130048,793609867,27.365,Technology,"Applied Materials, Inc.",11.05067,0.2526018784381401,0.07563779664917393,0.07538714662571933,2026-03-23
