ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
A,111.5,1.02,31536621568.0,282602317.0,24.436,Healthcare,"Agilent Technologies, Inc.",5.96585,0.09882916935558228,0.21897305021471095,0.06806155493365396,2026-03-18
AA,64.23,0.4,16946427904.0,263839742.0,23.253,Basic Materials,Alcoa Corporation,5.67055,0.01,0.36202706289966224,0.06015003540843511,2026-03-18
AAL,10.8,0.0,7131289600.0,660304573.0,-5.644,Industrials,"American Airlines Group, Inc.",1.72989,0.5676083450392801,,0.28085247499945043,2026-03-18
AAMI,50.21,0.4,1793630080.0,35722568.0,1.697,Financial Services,Acadian Asset Management Inc.,4.375,0.2518102857142859,0.03379804931460561,0.13702058591049637,2026-03-18
AAOI,92.63,0.0,7195046912.0,77675124.0,9.786,Technology,"Applied Optoelectronics, Inc.",0.815,0.75,0.10564611638546047,0.0901074421113367,2026-03-18
AAON,78.55,0.4,6412355584.0,81499853.0,10.956,Industrials,"AAON, Inc.",1.994,0.48545636910732215,0.13924873282074057,0.1112941861904454,2026-03-18
AAP,49.36,1.0,2966535936.0,60100000.0,36.633,Consumer Cyclical,Advance Auto Parts Inc.,2.75003,0.4231444747875477,0.7421596594473211,0.16262832392888665,2026-03-18
AAPL,249.94,1.04,3673599508480.0,14681140000.0,5.998,Technology,Apple Inc.,8.51688,0.09971139666168827,0.023970353196294644,0.04866176696566005,2026-03-18
AAT,18.93,1.36,1468446976.0,61390936.0,18.746,Real Estate,"American Assets Trust, Inc.",0.43,0.01,0.7837085744769853,0.02544641244631307,2026-03-18
AB,37.51,3.38,3461586432.0,92284367.0,13.419,Financial Services,AllianceBernstein Holding L.P.,3.62443,0.11110988486465478,0.35774461943956454,0.1466531355524342,2026-03-18
ABBV,208.34,6.92,368380313600.0,1768169012.0,-1.85,Healthcare,AbbVie Inc.,14.5364,0.10865964062628986,,0.09430037460473983,2026-03-18
ABCB,74.04,0.8,5058053120.0,67880297.0,60.122,Financial Services,Ameris Bancorp,6.49667,0.06670032493569789,0.8068517904837662,0.08300182473767045,2026-03-18
ABEO,4.55,0.0,246570704.0,54191361.0,2.893,Healthcare,Abeona Therapeutics Inc.,0.24,0.04,0.6358241462984183,0.0491958221693454,2026-03-18
ABEV,2.83,0.31,44195450880.0,15616768230.0,1.0835441,Consumer Defensive,Ambev S.A.,0.19108,0.10827925476240319,0.3828778016685309,0.11133335375667819,2026-03-18
ABG,189.45,0.0,3683013632.0,19257920.0,202.4,Consumer Cyclical,Asbury Automotive Group Inc,26.7988,0.10297214800662724,1.0583189196297822,0.11954188429602197,2026-03-18
ABM,37.46,1.16,2195095040.0,58598372.0,29.426,Industrials,ABM Industries Incorporated,3.95851,0.09754175182076086,0.7855312244120418,0.11279793633899043,2026-03-18
ABNB,131.13,0.0,78614274048.0,423573275.0,13.62,Consumer Cyclical,"Airbnb, Inc.",4.9517,0.16197669487246813,0.0733844848834646,0.06371559227771373,2026-03-18
ABR,7.71,1.2,1633628672.0,193115316.0,11.866,Real Estate,Arbor Realty Trust,0.7,0.4238142857142857,1.402709427749319,0.2713104122687623,2026-03-18
ABT,108.49,2.52,188521218048.0,1737682887.0,30.018,Healthcare,Abbott Laboratories,5.67656,0.09941232013754808,0.27668909336605774,0.07290659335683747,2026-03-18
ABTC,1.03,0.0,955433088.0,195380091.0,0.625,Financial Services,American Bitcoin Corp.,0.015,0.3333333333333335,0.12780859110774276,0.05450430277808817,2026-03-18
ABX,9.44,0.2,922786944.0,97752855.0,4.294,Financial Services,"Abacus Global Management, Inc.",0.96,0.13194791666666683,0.45487288490505556,0.11765359392311814,2026-03-18
ACA,103.85,0.2,5093325824.0,49044022.0,53.906,Industrials,"Arcosa, Inc.",4.90775,0.09350924558096896,0.5190649766552221,0.05888502761132473,2026-03-18
ACAD,20.32,0.0,3464450304.0,170494613.0,7.207,Healthcare,ACADIA Pharmaceuticals Inc.,0.49653,0.75,0.35467522061791423,0.15340000924722996,2026-03-18
ACCO,3.06,0.3,275921056.0,90170277.0,7.373,Industrials,Acco Brands Corporation,0.86,0.11240697674418598,2.4094770510047625,0.2289956393523248,2026-03-18
ACCS,6.91,0.0,26733594.0,3868826.0,7.96,Communication Services,ACCESS Newswire Inc.,0.555,0.4504504504504505,1.1519534171125663,0.1794658202247309,2026-03-18
ACEL,10.78,0.0,896981632.0,81567065.0,3.277,Consumer Cyclical,"Accel Entertainment, Inc.",0.84706,0.09322834273841285,0.29799414220892323,0.08145861556128436,2026-03-18
ACGL,92.87,0.0,33677072384.0,355803320.0,65.371,Financial Services,Arch Capital Group Ltd.,9.37463,0.07861963618830825,0.6906544181307894,0.09041643697691815,2026-03-18
ACH,2.27,0.0,173511568.0,76436813.0,-6.035,Healthcare,"Accendra Health, Inc.",0.59891,0.75,,0.4,2026-03-18
