ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
A,110.24,1.02,31180242944.0,282602317.0,24.436,Healthcare,"Agilent Technologies, Inc.",5.96865,0.10083184639742648,0.22147583104514762,0.06914613638373429,2026-03-27
AA,58.41,0.4,15412213760.0,263862592.0,23.253,Basic Materials,Alcoa Corporation,5.93657,0.01,0.39809964663869285,0.06653282715242026,2026-03-27
AAL,10.3,0.0,6801137152.0,660304573.0,-5.644,Industrials,"American Airlines Group, Inc.",1.33636,0.75,,0.3108906347734287,2026-03-27
AAMI,52.22,0.4,1865432576.0,35722568.0,1.697,Financial Services,Acadian Asset Management Inc.,4.375,0.2518102857142859,0.032497126230093244,0.13410412030779562,2026-03-27
AAOI,98.21,0.0,7628474368.0,77675124.0,9.786,Technology,"Applied Optoelectronics, Inc.",0.815,0.75,0.09964361506575885,0.08712187793433257,2026-03-27
AAON,81.48,0.4,6651543040.0,81499853.0,10.956,Industrials,"AAON, Inc.",1.994,0.48545636910732215,0.13424139092212803,0.10897826226250418,2026-03-27
AAP,51.57,1.0,3099356928.0,60100000.0,36.633,Consumer Cyclical,Advance Auto Parts Inc.,2.75003,0.4231444747875477,0.7103548739772639,0.15872666158796112,2026-03-27
AAPL,248.8,1.04,3656844050432.0,14681140000.0,5.998,Technology,Apple Inc.,8.51202,0.09959210622155501,0.024080184034535834,0.048783546038969686,2026-03-27
AAT,18.18,1.36,1410267520.0,61390936.0,18.746,Real Estate,"American Assets Trust, Inc.",0.46,0.01,0.8160398434589203,0.027904879587696815,2026-03-27
AB,35.66,3.38,3290860544.0,92284367.0,13.419,Financial Services,AllianceBernstein Holding L.P.,3.62443,0.11110988486465478,0.3763039801339573,0.15274981741217175,2026-03-27
ABBV,209.4,6.92,370378833920.0,1768762377.0,-1.85,Healthcare,AbbVie Inc.,14.5364,0.10865964062628986,,0.09395233141097609,2026-03-27
ABCB,75.89,0.8,5184436224.0,67880297.0,60.122,Financial Services,Ameris Bancorp,6.505,0.06687163720215228,0.787182837227626,0.0817576122012239,2026-03-27
ABEO,4.29,0.0,244740304.0,57049023.0,2.893,Healthcare,Abeona Therapeutics Inc.,0.24,0.04,0.6743589872267216,0.05134821193114181,2026-03-27
ABEV,2.81,0.31,43883118592.0,15616768230.0,1.0748177,Consumer Defensive,Ambev S.A.,0.19108,0.10827925476240319,0.3824974033058273,0.11199388178321634,2026-03-27
ABG,195.56,0.0,3773470976.0,19295721.0,202.4,Consumer Cyclical,Asbury Automotive Group Inc,26.69179,0.10735810524509581,1.0349765389052776,0.11867081223316356,2026-03-27
ABM,37.49,1.16,2196852992.0,58532820.0,29.426,Industrials,ABM Industries Incorporated,3.95851,0.09754175182076086,0.7840245877135141,0.11273760202332517,2026-03-27
ABNB,122.87,0.0,73662283776.0,423573275.0,13.62,Consumer Cyclical,"Airbnb, Inc.",4.95448,0.16254985386962906,0.07831779996182561,0.06667244329788524,2026-03-27
ABR,7.35,1.2,1557350272.0,193115316.0,11.866,Real Estate,Arbor Realty Trust,0.7,0.4238142857142857,1.471413580397153,0.2794531588976964,2026-03-27
ABT,103.99,2.52,180701642752.0,1737674869.0,30.018,Healthcare,Abbott Laboratories,5.47333,0.11875768499250006,0.288661040504374,0.07900713131635775,2026-03-27
ABTC,0.86,0.0,797740288.0,195380091.0,0.625,Financial Services,American Bitcoin Corp.,0.015,0.3333333333333335,0.153073072417022,0.06154379200787213,2026-03-27
ABX,8.34,0.2,815258816.0,96542155.0,4.294,Financial Services,"Abacus Global Management, Inc.",0.982,0.14052953156822823,0.5084912980198916,0.1315826360989255,2026-03-27
ACA,102.85,0.2,5044280832.0,49044022.0,53.906,Industrials,"Arcosa, Inc.",4.90775,0.09350924558096896,0.5241117887728263,0.05928421315995394,2026-03-27
ACAD,20.75,0.0,3537763072.0,170494613.0,7.207,Healthcare,ACADIA Pharmaceuticals Inc.,0.49653,0.75,0.34732531571040154,0.15187969262693868,2026-03-27
ACCO,2.94,0.3,265100624.0,90170277.0,7.373,Industrials,Acco Brands Corporation,0.86,0.11240697674418598,2.507823038247545,0.23496882862089097,2026-03-27
ACCS,8.59,0.0,33150624.0,3859211.0,7.881,Communication Services,ACCESS Newswire Inc.,0.715,0.5664335664335667,0.9174621235183991,0.21319088457159452,2026-03-27
ACEL,10.75,0.0,876912384.0,81573250.0,3.277,Consumer Cyclical,"Accel Entertainment, Inc.",0.84706,0.09322834273841285,0.30483722790029616,0.08160238429601085,2026-03-27
ACGL,93.42,0.0,33283006464.0,356272841.0,65.371,Financial Services,Arch Capital Group Ltd.,9.37967,0.07811042392749412,0.6997538492864861,0.08995087588294093,2026-03-27
ACH,2.09,0.0,159752944.0,76436813.0,-6.035,Healthcare,"Accendra Health, Inc.",0.59891,0.75,,0.4,2026-03-27
ACHC,22.91,0.0,2112571776.0,92034218.0,21.547,Healthcare,"Acadia Healthcare Company, Inc.",1.47341,0.13747700911491023,0.9386953464846441,0.08314174487497084,2026-03-27
ACI,17.07,0.6,9376678912.0,513913121.0,4.868,Consumer Defensive,"Albertsons Companies, Inc.",2.14539,0.07184707675527524,0.26680332093129056,0.11550348203200811,2026-03-27
ACIC,11.13,0.0,542757824.0,48656205.0,7.416,Financial Services,American Coastal Insurance Corp,1.48,0.04391891891891886,0.6648166094055238,0.09361004255634098,2026-03-27
ACIU,2.7,0.0,274788672.0,101773573.0,0.55701387,Healthcare,AC Immune SA,0.6117427,0.04,0.2063014146393106,0.12668499230439723,2026-03-27
ACIW,39.88,0.0,4111149824.0,101719981.0,14.79,Technology,"ACI Worldwide, Inc.",3.34667,0.13246899156474945,0.3659410586808135,0.09631012031651343,2026-03-27
ACLS,97.35,0.0,2990476800.0,30718815.0,33.684,Technology,"Axcelis Technologies, Inc.",3.642,0.23887973640856663,0.346009226508629,0.07900254685371466,2026-03-27
ACM,85.46,1.14,11049006080.0,129288624.0,17.264,Industrials,AECOM,5.96062,0.11142800581147605,0.2020126325006059,0.08594952022853375,2026-03-27
ACMR,40.07,0.0,2633704704.0,60705783.0,22.319,Technology,"ACM Research, Inc.",1.78667,0.27611702216973466,0.5144435398240454,0.09613619373820159,2026-03-27
ACN,192.6,6.52,118532808704.0,613939268.0,50.762,Technology,Accenture plc,13.87887,0.07557675805018715,0.26292117315840097,0.0853284367064975,2026-03-27
ACNB,47.25,1.52,490682400.0,10353502.0,40.49,Financial Services,ACNB Corporation,5.1125,0.011246943765281125,0.8543475290330365,0.07826644643189573,2026-03-27
ACNT,12.88,0.0,121971280.0,9469820.0,9.254,Basic Materials,Ascent Industries Co.,0.8,0.04,0.7184782702944497,0.055351896268795,2026-03-27
ACR,18.82,0.0,137116512.0,7131101.0,64.155,Real Estate,ACRES Commercial Realty Corp.,0.605,0.3388429752066118,3.33654771392522,0.09127491815195932,2026-03-27
ACRE,4.76,0.6,263550128.0,55367672.0,9.273,Real Estate,Ares Commercial Real Estate Cor,0.47,0.32623404255319177,1.9481091751015958,0.2458987050427922,2026-03-27
ACT,40.17,0.84,5684612096.0,141186707.0,37.657,Financial Services,"Enact Holdings, Inc.",4.75899,0.06133864538484013,0.9352736362152299,0.10159625403692496,2026-03-27
ACU,43.86,0.64,167028752.0,3808225.0,30.896,Consumer Defensive,Acme,1.72,0.05232558139534893,0.7044231498538648,0.046160857993775964,2026-03-27
ACVA,4.15,0.0,722397120.0,174071580.0,2.481,Consumer Cyclical,ACV Auctions Inc.,0.19021,0.75,0.5978312731645441,0.20386044994643593,2026-03-27
AD,45.73,0.0,3950151936.0,53374000.0,29.725,Communication Services,"Array Digital Infrastructure, I",7.09,0.01,0.4016407914695461,0.08595437770726433,2026-03-27
ADAM,7.24,0.89,655034240.0,90474341.0,9.816,Real Estate,"Adamas Trust, Inc.",0.97601,0.1383285007325743,1.3558010818732162,0.20314785314540995,2026-03-27
ADBE,234.84,0.0,95729451008.0,404200000.0,28.16,Technology,Adobe Inc.,23.54754,0.11926638621274233,0.11890042071847666,0.10289173712873867,2026-03-27
ADC,74.41,3.11,8957172736.0,120028299.0,50.87,Real Estate,Agree Realty Corporation,1.97137,0.03596483663645067,0.6816704053936423,0.034854018140843546,2026-03-27
ADEA,24.19,0.2,2677923328.0,110703732.0,4.409,Technology,Adeia Inc.,1.43625,0.042067885117493375,0.1822653954594476,0.05657507903975949,2026-03-27
ADI,307.44,4.07,150093496320.0,488204157.0,69.207,Technology,"Analog Devices, Inc.",11.42499,0.13140930539107698,0.22510732258155045,0.06204070439955445,2026-03-27
