ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
MMM,154.55,3.12,81401487360,522396178,8.867,Industrials,3M Company,8.65335,0.08591239231049252,0.056904204831546706,0.07089564742207599,2026-04-17
AXP,331.69,3.8,227743006720,685783466,48.796,Financial Services,American Express Company,17.56409,0.14401201542465336,0.14693531313599406,0.08010216575312865,2026-04-17
AMGN,355.3,10.08,191530729472,539067675,16.069,Healthcare,Amgen Inc.,22.34244,0.042567418777895494,0.04522657274607907,0.06565916690150597,2026-04-17
AMZN,250.56,0.0,2694585253888,10754251799,38.306,Consumer Cyclical,"Amazon.com, Inc.",7.76347,0.22211459566405223,0.15288154969975082,0.06695814496440133,2026-04-17
AAPL,270.23,1.04,3971820552192,14681140000,5.998,Technology,Apple Inc.,8.51457,0.10061224465827401,0.022170557950157675,0.04606306030468739,2026-04-17
BA,223.38,0.0,175541878784,785844140,6.943,Industrials,Boeing Company (The),4.52124,0.04,0.031081562427240608,0.025123093128500126,2026-04-17
CAT,794.65,6.04,371880001536,465287332,45.817,Industrials,"Caterpillar, Inc.",22.94821,0.21225228460084677,0.057325130693214474,0.06587065586602125,2026-04-17
CVX,183.99,7.12,366489468928,1991898801,94.155,Energy,Chevron Corporation,10.87795,0.016666743274238227,0.511739756552187,0.05689415664480879,2026-04-17
CSCO,86.25,1.68,340781891584,3949893042,12.085,Technology,"Cisco Systems, Inc.",4.15766,0.08515847856727121,0.1400733389637983,0.06395192503880465,2026-04-17
KO,75.74,2.06,325996544000,4304152877,7.478,Consumer Defensive,Coca-Cola Company (The),3.22579,0.07048195945799329,0.09873250439797913,0.057993454888651486,2026-04-17
DIS,106.29,1.5,188493299712,1771519851,61.079,Communication Services,Walt Disney Company (The),6.63634,0.10610215872001749,0.5740398260551037,0.07919551867379748,2026-04-17
GS,925.95,18.0,274778374144,294993942,356.473,Financial Services,"Goldman Sachs Group, Inc. (The)",59.25614,0.10326102915242186,0.3826988780108924,0.08186640913362397,2026-04-17
HD,349.4,9.32,348012052480,996027658,12.864,Consumer Cyclical,"Home Depot, Inc. (The)",15.05348,0.08306252109146861,0.036817402446854476,0.06163078194008641,2026-04-17
HON,233.55,4.76,147989692416,633653119,21.886,Industrials,Honeywell International Inc.,10.52393,0.09004715918863004,0.09371012221209697,0.06280843258026683,2026-04-17
IBM,253.47,6.72,237858553856,938409072,34.845,Technology,International Business Machines,12.36048,0.08316505507876704,0.13747188647937358,0.06666400660982247,2026-04-17
JNJ,234.18,5.36,564350156800,2408613219,33.865,Healthcare,Johnson & Johnson,11.57585,0.09704514139350451,0.14453382475153942,0.06959235887099091,2026-04-17
JPM,310.29,6.0,836862214144,2679500000,128.38,Financial Services,JP Morgan Chase & Co.,22.31647,0.05312175267862718,0.41105238614681733,0.07191899208897512,2026-04-17
MCD,311.36,7.44,221323280384,710827631,-2.519,Consumer Cyclical,McDonald's Corporation,13.20212,0.08616570671982982,,0.060724732390821434,2026-04-17
MRK,119.07,3.4,294387712000,2469879206,21.258,Healthcare,"Merck & Company, Inc.",5.12,0.75,0.17835218666038613,0.24323244521477594,2026-04-17
MSFT,422.79,3.64,3142335070208,7425629076,52.615,Technology,Microsoft Corporation,16.71578,0.13091521903255487,0.12433412258861322,0.06256488247955228,2026-04-17
NKE,46.03,1.64,68165230592,1199499281,9.517,Consumer Cyclical,"Nike, Inc.",1.50226,0.25831746834768965,0.16747005119963254,0.0979572375751755,2026-04-17
NVDA,201.68,0.04,4901832228864,24300000000,6.472,Technology,NVIDIA Corporation,8.32074,0.3472936301338583,0.03208383980870093,0.10728864166805893,2026-04-17
PG,146.93,4.26,343336222720,2324000685,22.493,Consumer Defensive,Procter & Gamble Company (The),6.94536,0.04338436020595049,0.15225235191783318,0.054801069312689354,2026-04-17
CRM,182.14,1.76,170665181184,923000000,63.662,Technology,"Salesforce, Inc.",13.20227,0.13263173681495677,0.34430002413116007,0.09244714784850216,2026-04-17
SHW,345.55,3.2,85618565120,247362348,18.671,Basic Materials,Sherwin-Williams Company (The),11.78168,0.1334317346931848,0.053942768055442965,0.05743842926838971,2026-04-17
TRV,300.81,5.0,63965646848,212644693,151.237,Financial Services,"The Travelers Companies, Inc.",27.93337,0.01829961798379509,0.5027658910674571,0.06951667198462472,2026-04-17
UNH,324.63,8.84,294658801664,907675839,103.874,Healthcare,UnitedHealth Group Incorporated,17.86522,0.12632925874968226,0.31997659519364413,0.0847175986516785,2026-04-17
VZ,46.55,2.83,196333191168,4180000000,24.77,Communication Services,Verizon Communications Inc.,4.91147,0.06980191266565816,0.5273616721861524,0.11659136520631475,2026-04-17
V,317.02,2.68,611227074560,1681093942,20.034,Financial Services,Visa Inc.,12.86514,0.13095077084275797,0.055100694055923986,0.0635950365227197,2026-04-17
WMT,127.5,0.99,1016481316864,7972402501,12.501,Consumer Defensive,Walmart Inc.,2.91617,0.1255722403014914,0.09804705901774621,0.04159017765147993,2026-04-17
