ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
ADBE,235.72,0.0,96088178688,404200000,28.16,Technology,Adobe Inc.,23.48673,0.12276336467443527,0.1184565276958619,0.10358426336700755,2026-04-14
AMD,255.07,0.0,415868911616,1630338779,38.65,Technology,"Advanced Micro Devices, Inc.",6.6902,0.6191683357747153,0.1515203277963076,0.13342405953732694,2026-04-14
ABNB,133.85,0.0,80244948992,423573275,13.62,Consumer Cyclical,"Airbnb, Inc.",4.93365,0.16370232991801204,0.07189322291269878,0.06304100032234838,2026-04-14
ALNY,339.41,0.0,45013622784,132623144,5.962,Healthcare,"Alnylam Pharmaceuticals, Inc.",9.24489,0.5270078930090027,0.01756577532810917,0.11820331187310351,2026-04-14
GOOGL,332.91,0.84,4027212365824,5822000000,34.353,Communication Services,Alphabet Inc.,11.43734,0.16521061715398844,0.0496629300449314,0.0614712062165655,2026-04-14
GOOG,330.58,0.84,3999026118656,5438000000,34.353,Communication Services,Alphabet Inc.,11.55917,0.16208170655851584,0.0467142770407271,0.06157813947412871,2026-04-14
AMZN,249.02,0.0,2678023782400,10754251799,38.306,Consumer Cyclical,"Amazon.com, Inc.",7.76633,0.2198297007724368,0.15382700188095758,0.06681211174510346,2026-04-14
AEP,135.46,3.8,73631113216,543563480,57.571,Utilities,American Electric Power Company,6.36349,0.07860309358543827,0.42500366679611656,0.06444936510018573,2026-04-14
AMGN,350.95,10.08,189185802240,539067675,16.069,Healthcare,Amgen Inc.,22.37111,0.03983217640966408,0.04578714875541286,0.06541430893281264,2026-04-14
ADI,348.6,4.07,170187980800,488204157,69.207,Technology,"Analog Devices, Inc.",11.45816,0.1393635627360763,0.19852838569842762,0.05824106755349752,2026-04-14
AAPL,258.83,1.04,3804263874560,14681140000,5.998,Technology,Apple Inc.,8.50885,0.09716354148915518,0.023147047792573195,0.04687177621440697,2026-04-14
AMAT,395.64,2.12,313983827968,793609867,27.365,Technology,"Applied Materials, Inc.",11.06664,0.2656759413878105,0.06916640946446555,0.07360617775619352,2026-04-14
APP,433.51,0.0,146506874880,307070000,6.31,Communication Services,Applovin Corporation,15.76923,0.3068894296043625,0.013225397795066256,0.0914967119455391,2026-04-14
ARM,161.22,0.0,171215421440,1061998569,7.343,Technology,Arm Holdings plc,1.76236,0.21392337547379658,0.04554645502478751,0.031951975269531155,2026-04-14
ASML,1518.3,8.79,596173717504,385417665,58.892403,Technology,ASML Holding N.V. - New York Re,29.93064,0.28234210828769446,0.03807308471351172,0.061876732949650765,2026-04-14
TEAM,59.71,0.0,15748158464,169610457,5.992,Technology,Atlassian Corporation,4.76009,0.15979109638683298,0.06453490169452235,0.10099299181231997,2026-04-14
ADSK,228.59,0.0,48461078528,211000000,14.363,Technology,"Autodesk, Inc.",12.41975,0.13357837315565946,0.06253663954773467,0.07380129095521304,2026-04-14
ADP,195.08,6.8,78899863552,402644364,15.864,Technology,"Automatic Data Processing, Inc.",10.96655,0.09131860065380626,0.08095768361229422,0.0789615492482213,2026-04-14
AXON,380.86,0.0,30620256256,80397675,40.426,Industrials,"Axon Enterprise, Inc.",7.78547,0.3575134192283831,0.10614399769803155,0.07224234694016349,2026-04-14
BKR,61.49,0.92,60983160832,991757347,19.086,Energy,Baker Hughes Company,2.48004,0.1446347639554202,0.31039192568236734,0.06928157273043886,2026-04-14
BKNG,181.12,1.57,143416901632,791833650,-174.891,Consumer Cyclical,Booking Holdings Inc. Common St,10.70596,0.16885921486723277,,0.09078072302384571,2026-04-14
AVGO,380.78,2.6,1805382189056,4734668184,16.865,Technology,Broadcom Inc.,11.40517,0.5641651987651213,0.04422896127324272,0.13975589203319017,2026-04-14
CDNS,292.37,0.0,80721035264,276092068,20.141,Technology,"Cadence Design Systems, Inc.",4.795,0.75,0.06888873914217493,0.12610467538761216,2026-04-14
CHTR,215.57,0.0,27297964032,124637812,126.777,Communication Services,"Charter Communications, Inc.",44.28176,0.11536759153204379,0.5788419925164037,0.15173523514790677,2026-04-14
CTAS,176.14,1.8,70471344128,400087119,11.971,Industrials,Cintas Corporation,4.88745,0.10991621397661366,0.06796298496662329,0.04571507957465093,2026-04-14
CSCO,82.61,1.68,326399918080,3949893042,12.085,Technology,"Cisco Systems, Inc.",4.15544,0.08628448491615814,0.14624531064027527,0.06638029346146535,2026-04-14
CCEP,96.43,2.35,42955968512,445208826,20.15433,Consumer Defensive,Coca-Cola Europacific Partners ,4.45987,0.09513954442618289,0.20888565451876503,0.06684072448320821,2026-04-14
CTSH,60.04,1.32,28978094080,478246920,31.347,Technology,Cognizant Technology Solutions ,5.65449,0.08499617118431546,0.5173427265386255,0.09752447012236962,2026-04-14
CMCSA,28.14,1.32,102539190272,3588401619,26.886,Communication Services,Comcast Corporation,3.55596,0.08259935432344578,0.9408867543474139,0.12588182902168088,2026-04-14
CEG,296.61,1.71,107460214784,362294672,46.476,Utilities,Constellation Energy Corporatio,11.60347,0.18396565854869285,0.15669061531020734,0.07248966778427313,2026-04-14
CPRT,33.29,0.0,32225308672,963308388,10.162,Industrials,"Copart, Inc.",1.57435,0.06706259726236219,0.3037717943524808,0.052066963926776316,2026-04-14
CSGP,37.6,0.0,15935735808,419793301,19.943,Real Estate,"CoStar Group, Inc.",1.31021,0.35527129238824307,0.5253562121455446,0.0990014058544263,2026-04-14
COST,974.8,5.2,432683909120,443652540,37.278,Consumer Defensive,Costco Wholesale Corporation,20.45045,0.10001002422929561,0.03822300537996951,0.03506471693696733,2026-04-14
CRWD,398.49,0.0,101062680576,253614090,17.478,Technology,"CrowdStrike Holdings, Inc.",4.85741,0.27072246320570015,0.04386057286187454,0.04028867820810346,2026-04-14
CSX,42.51,0.56,79068299264,1859992927,7.074,Industrials,CSX Corporation,1.84616,0.13328747237509186,0.16640790415468926,0.0690305279015605,2026-04-14
DDOG,110.57,0.0,39125340160,328483364,10.587,Technology,"Datadog, Inc.",2.15236,0.22494378263859205,0.08888493647458169,0.04919560533046384,2026-04-14
DXCM,62.95,0.0,24551524352,384864842,7.136,Healthcare,"DexCom, Inc.",2.49536,0.19919370351372168,0.11186252524024135,0.07357045332022738,2026-04-14
FANG,186.51,4.2,52467449856,281311730,129.911,Energy,"Diamondback Energy, Inc.",15.24449,0.02636624773934715,0.6965363907781156,0.06909946741259543,2026-04-14
DASH,163.55,0.0,71050436608,409966858,23.104,Consumer Cyclical,"DoorDash, Inc.",2.55876,0.725886757648236,0.1333119786369547,0.11909680978754889,2026-04-14
EA,202.85,0.76,50763968512,250253713,24.593,Communication Services,Electronic Arts Inc.,3.29001,0.7490159604378102,0.12123736075429468,0.13169492146531736,2026-04-14
