ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
MMM,150.55,3.12,79294685184,522396178,8.867,Industrials,3M Company,8.65335,0.08591239231049252,0.05841610821176017,0.07229098144642865,2026-04-16
AOS,63.28,1.42,8750986240,112376652,13.411,Industrials,A.O. Smith Corporation,3.99648,0.08406647850108095,0.17221867783122008,0.0768009659164609,2026-04-16
AAON,91.48,0.4,7487063040,81843712,10.956,Industrials,"AAON, Inc.",1.984,0.492943548387097,0.11976387855711175,0.10300239633453223,2026-04-16
ABT,95.47,2.52,165896585216,1737674869,30.018,Healthcare,Abbott Laboratories,5.47162,0.11591813758996428,0.31442192827373067,0.08329384087455816,2026-04-16
ABBV,208.99,6.92,369653645312,1768762377,-1.85,Healthcare,AbbVie Inc.,14.35596,0.12091841994544428,,0.09734760779985552,2026-04-16
ACHC,26.89,0.0,2479574528,92034218,21.547,Healthcare,"Acadia Healthcare Company, Inc.",1.47341,0.13747700911491023,0.7997586976526644,0.07514455364149156,2026-04-16
ACN,194.0,6.52,119394418688,613939268,50.762,Technology,Accenture plc,13.87887,0.07423298870873496,0.2610238021565767,0.08440711311708438,2026-04-16
AYI,283.46,0.74,8691627008,30315168,91.607,Industrials,Acuity Inc.,19.51632,0.0929309418988824,0.31951228376688295,0.07573396492545814,2026-04-16
ADBE,248.155,0.0,101157142528,404200000,28.16,Technology,Adobe Inc.,23.48511,0.12288807674309377,0.11252069518323356,0.10052897524013249,2026-04-16
ADT,7.09,0.22,5814664192,751309236,4.654,Industrials,ADT Inc.,0.89583,0.0715202661219203,0.601340519226325,0.11384130373274759,2026-04-16
WMS,144.32,0.72,11241890816,77895585,26.394,Industrials,"Advanced Drainage Systems, Inc.",6.11962,0.10039675666136127,0.18288525517111728,0.05719568470308964,2026-04-16
AMD,278.26,0.0,453678137344,1630338779,38.65,Technology,"Advanced Micro Devices, Inc.",6.6902,0.6192042091417298,0.13889272729175156,0.12766586196675667,2026-04-16
ACM,85.63,1.14,11070984192,129288624,17.264,Industrials,AECOM,5.94729,0.11237891543879663,0.20161159712872617,0.08599472494294422,2026-04-16
AES,14.5,0.7,10339538944,713071623,5.705,Utilities,The AES Corporation,2.27612,0.03595592499516709,0.3934482602413998,0.1190593332526074,2026-04-16
AMG,299.41,0.04,8422076416,26684730,109.405,Financial Services,"Affiliated Managers Group, Inc.",33.53245,0.12286904177893354,0.3466416999142555,0.11095165476025168,2026-04-16
AFRM,60.28,0.0,20079910912,292409876,10.677,Financial Services,"Affirm Holdings, Inc.",3.13009,0.19956934145663552,0.1554817777695527,0.08711334562352924,2026-04-16
AFL,113.71,2.44,59596992512,515183672,56.855,Financial Services,AFLAC Incorporated,7.23991,0.0653765032990743,0.49148063412196896,0.07107711909889869,2026-04-16
AGCO,115.29,1.16,8347436032,72403814,58.84,Industrials,AGCO Corporation,5.84853,0.39036817798660506,0.5103651467861886,0.13831783533124714,2026-04-16
A,118.25,1.02,33445787648,282602317,24.436,Healthcare,"Agilent Technologies, Inc.",5.96965,0.10260065497977267,0.20647354132875226,0.0662673669046975,2026-04-16
ADC,78.93,3.2,9507221504,120103687,50.87,Real Estate,Agree Realty Corporation,1.91774,0.04248751134147488,0.64263513321105,0.03370213548417589,2026-04-16
AGNC,10.56,1.44,11861407744,1123239319,9.412,Real Estate,AGNC Investment Corp.,1.55526,0.01,0.8912878385599491,0.14411847604300043,2026-04-16
APD,297.24,7.24,66182266880,222656008,69.216,Basic Materials,"Air Products and Chemicals, Inc",13.0527,0.07782757590383604,0.23286235084197826,0.060086462292316845,2026-04-16
ABNB,137.81,0.0,82619023360,423573275,13.62,Consumer Cyclical,"Airbnb, Inc.",4.92726,0.16354119733888606,0.0698273565927081,0.061733283184359444,2026-04-16
AKAM,96.81,0.0,14252661760,147223048,34.395,Technology,"Akamai Technologies, Inc.",6.85655,0.10795079157885534,0.3552835829003775,0.08027494764436405,2026-04-16
ALK,41.15,0.0,4717495808,113310158,35.644,Industrials,"Alaska Air Group, Inc.",0.50969,0.75,0.8561379672882583,0.10890765841990924,2026-04-16
ALB,215.62,1.62,25418770432,117886887,61.999,Basic Materials,Albemarle Corporation,8.15457,0.08065538710195641,0.287538263373738,0.04936421818404402,2026-04-16
ACI,16.37,0.68,8412758016,506613121,3.603,Consumer Defensive,"Albertsons Companies, Inc.",2.29838,0.0676215421296742,0.21697130376167473,0.12369240677431514,2026-04-16
AA,70.41,0.4,18578565120,263862592,23.253,Basic Materials,Alcoa Corporation,6.64427,0.01,0.3302513844393167,0.06287398647873144,2026-04-16
ARE,47.95,4.08,8309752832,173127082,90.713,Real Estate,Alexandria Real Estate Equities,0.26316,0.01,1.8899331071542995,0.010000000000000002,2026-04-16
ALGN,185.02,0.0,13250627584,71617275,56.739,Healthcare,"Align Technology, Inc.",11.28181,0.09139579553280908,0.3066641591475732,0.06865119445153611,2026-04-16
ALLE,141.52,2.08,12191309824,86145484,24.023,Industrials,Allegion plc,8.80725,0.08095489511482024,0.16974984575143875,0.07212865804914681,2026-04-16
ALGM,38.22,0.0,7081817088,185290870,5.198,Technology,"Allegro MicroSystems, Inc.",0.53033,0.75,0.13600209244206904,0.1156687598142006,2026-04-16
LNT,72.77,2.06,18794778624,258276483,28.522,Utilities,Alliant Energy Corporation,3.42056,0.07612788549243388,0.3919472527715365,0.06387854378288335,2026-04-16
ALSN,125.7,1.16,10449367040,83129419,22.54,Consumer Cyclical,"Allison Transmission Holdings, ",9.208,0.24131190269331015,0.17931584727451588,0.12316086470806267,2026-04-16
ALL,213.87,4.32,55506927616,258227312,110.035,Financial Services,Allstate Corporation (The),26.34455,0.01,0.5119008292530604,0.08000421422534731,2026-04-16
ALLY,41.96,1.2,12969488384,307918244,42.704,Financial Services,Ally Financial Inc.,5.21399,0.2147108068868564,1.0138673402104186,0.16396616153882204,2026-04-16
ALNY,320.13,0.0,42714279936,133427910,5.962,Healthcare,"Alnylam Pharmaceuticals, Inc.",9.24489,0.5270078930090027,0.018623682773346893,0.12189963388570135,2026-04-16
