ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,bm,ICC,date
MMM,150.55,3.12,79294685184,522396178,8.867,Industrials,3M Company,8.65335,0.08591239231049252,0.05841610821176017,0.07229098144642865,2026-04-16
AXP,325.76,3.8,223671386112,685783466,48.796,Financial Services,American Express Company,17.56409,0.14401201542465336,0.14961006228208232,0.0810837879772951,2026-04-16
AMGN,349.39,10.08,188344860672,539067675,16.069,Healthcare,Amgen Inc.,22.34911,0.0432616779818078,0.04599158394165179,0.06679960978472244,2026-04-16
AMZN,249.7,0.0,2685336551424,10754251799,38.306,Consumer Cyclical,"Amazon.com, Inc.",7.76433,0.22126828715420377,0.1534080967221933,0.06695358263271475,2026-04-16
AAPL,263.4,1.04,3871433555968,14681140000,5.998,Technology,Apple Inc.,8.51056,0.09677154029817081,0.022745444664614013,0.046188807083285946,2026-04-16
BA,218.88,0.0,172005572608,785844140,6.943,Industrials,Boeing Company (The),4.59024,0.04,0.03172057614932317,0.025781426139881276,2026-04-16
CAT,772.66,6.04,361589080064,465287332,45.817,Industrials,"Caterpillar, Inc.",22.94821,0.21225228460084677,0.05895661917243401,0.06717630792121743,2026-04-16
CVX,188.15,7.12,374775742464,1991898801,94.155,Energy,Chevron Corporation,10.84983,0.01673943278373935,0.5004252152903688,0.05570089210927398,2026-04-16
CSCO,84.5,1.68,333867483136,3949893042,12.085,Technology,"Cisco Systems, Inc.",4.15544,0.08628448491615814,0.14297426321426307,0.06524457683168952,2026-04-16
KO,75.18,2.06,323586228224,4304152877,7.478,Consumer Defensive,Coca-Cola Company (The),3.22579,0.07048195945799329,0.09946793901230301,0.058353348819881384,2026-04-16
DIS,103.9,1.5,184254906368,1771519851,61.079,Communication Services,Walt Disney Company (The),6.63634,0.10610215872001749,0.5872443948012058,0.08044750784076707,2026-04-16
GS,900.0,18.0,267077632000,294993942,356.473,Financial Services,"Goldman Sachs Group, Inc. (The)",59.21309,0.10390202571762419,0.393733367706982,0.0836759065106506,2026-04-16
HD,337.15,9.32,335810723840,996027658,12.864,Consumer Cyclical,"Home Depot, Inc. (The)",15.05348,0.08306252109146861,0.03815512395195819,0.06344987954009859,2026-04-16
HON,229.38,4.76,145347362816,633653119,21.886,Industrials,Honeywell International Inc.,10.52393,0.09004715918863004,0.09541371713768294,0.06369256061649764,2026-04-16
IBM,251.0,6.72,235540676608,938409072,34.845,Technology,International Business Machines,12.36048,0.08316505507876704,0.13882470146869486,0.06718348490092557,2026-04-16
JNJ,234.54,5.36,565217722368,2408613219,33.865,Healthcare,Johnson & Johnson,11.57349,0.09533770712205225,0.14431197648881963,0.06903662217076822,2026-04-16
JPM,309.95,6.0,835945234432,2679500000,128.38,Financial Services,JP Morgan Chase & Co.,22.2129,0.06309306754183375,0.4115032849415475,0.07502464568076983,2026-04-16
MCD,306.96,7.44,218195656704,710827631,-2.519,Consumer Cyclical,McDonald's Corporation,13.21813,0.08573300459293409,,0.06135849753464162,2026-04-16
MRK,115.46,3.4,285462364160,2469879206,21.258,Healthcare,"Merck & Company, Inc.",5.11913,0.75,0.1839285970872133,0.24703819393287219,2026-04-16
MSFT,420.26,3.64,3123531218944,7425629076,52.615,Technology,Microsoft Corporation,16.71578,0.13091521903255487,0.12508262170205786,0.06283452851605376,2026-04-16
NKE,45.7,1.64,67676536832,1199499281,9.517,Consumer Cyclical,"Nike, Inc.",1.50226,0.25831746834768965,0.1686793561203513,0.09849015954347806,2026-04-16
NVDA,198.35,0.04,4820896841728,24300000000,6.472,Technology,NVIDIA Corporation,8.32074,0.3472936301338583,0.03262247775947605,0.10828802980561025,2026-04-16
PG,143.11,4.26,334409924608,2324000685,22.493,Consumer Defensive,Procter & Gamble Company (The),6.94848,0.043662786681403665,0.1563163756846661,0.05615000972250217,2026-04-16
CRM,181.22,1.76,169803137024,923000000,63.662,Technology,"Salesforce, Inc.",13.20049,0.131264066712675,0.3460479413386506,0.09234914791674623,2026-04-16
SHW,333.34,3.2,82593243136,247362348,18.671,Basic Materials,Sherwin-Williams Company (The),11.79168,0.1330972346603707,0.055918646903149974,0.058943783752602105,2026-04-16
TRV,298.84,4.4,63546736640,212644693,151.237,Financial Services,"The Travelers Companies, Inc.",27.51457,0.03275500943681853,0.5060802038888302,0.07463511134549028,2026-04-16
UNH,316.4,8.84,287188615168,907675839,103.874,Healthcare,UnitedHealth Group Incorporated,17.85117,0.1280269024383276,0.32829964392958844,0.08678275156824589,2026-04-16
VZ,46.78,2.83,197303255040,4180000000,24.77,Communication Services,Verizon Communications Inc.,4.91147,0.06971232645216219,0.5247688386033431,0.11611346564459535,2026-04-16
V,315.1,2.68,607525273600,1681093942,20.034,Financial Services,Visa Inc.,12.86244,0.13078933701537188,0.055436436141095544,0.06382556792304739,2026-04-16
WMT,124.82,0.99,995115270144,7972402501,12.501,Consumer Defensive,Walmart Inc.,2.91802,0.12485863702099387,0.10015222020518193,0.04219626989120499,2026-04-16
